learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.0,0.097187347,4.6060943071626954E-11,3.0,66.66666666666666,0.0,3.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.101364,4.8040424784024554E-11,6.0,66.66666666666666,0.0,6.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.103255247,4.893676183910833E-11,9.0,66.66666666666666,0.0,9.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.105064477,4.979422778098119E-11,12.0,50.0,-16.12903225806451,12.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.105936608,5.020756529437171E-11,15.0,53.333333333333336,-23.529411764705852,15.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.107065529,5.074260578594274E-11,18.0,61.111111111111114,-18.86792452830187,18.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.107646479,5.1017941060579486E-11,21.0,61.904761904761905,-16.66666666666669,21.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.108251108,5.1304498753613895E-11,24.0,62.5,-14.893617021276615,24.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.109048919,5.168261306774285E-11,27.0,62.96296296296296,-13.445378151260487,27.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.109583651,5.1936043796853884E-11,30.0,66.66666666666666,-11.940298507462687,30.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.110214338,5.223495141085651E-11,33.0,63.63636363636363,-11.2359550561798,33.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.111084921,5.2647555265575646E-11,36.0,63.888888888888886,-10.377358490566012,36.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.11162307,5.290260544667641E-11,39.0,66.66666666666666,-9.503239740820733,39.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.112208396,5.318001468148496E-11,42.0,66.66666666666666,-8.888888888888898,42.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.112764414,5.344353369126717E-11,45.0,66.66666666666666,-8.346709470304987,45.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.113387245,5.3738718034906514E-11,48.0,64.58333333333334,-7.9365079365079625,48.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
