learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
3.0,0.102783145,4.8713013954046705E-11,3.0,66.66666666666666,0.0,3.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.108098192,5.1232025788889995E-11,6.0,66.66666666666666,0.0,6.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.10956205,5.1925806225174005E-11,9.0,66.66666666666666,0.0,9.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.111295079,5.274715748719043E-11,12.0,50.0,-16.12903225806451,12.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.112187348,5.3170039198464816E-11,15.0,53.333333333333336,-23.529411764705852,15.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.112991531,5.3551173456427125E-11,18.0,61.111111111111114,-18.86792452830187,18.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.113596507,5.3837895606540974E-11,21.0,61.904761904761905,-16.66666666666669,21.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.114175228,5.41121744695637E-11,24.0,62.5,-14.893617021276615,24.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.120127764,5.693331765631835E-11,27.0,62.96296296296296,-13.445378151260487,27.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.121035503,5.7363531214909426E-11,30.0,66.66666666666666,-11.940298507462687,30.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.121755078,5.770456638187171E-11,33.0,63.63636363636363,-11.2359550561798,33.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.122315468,5.797015745606688E-11,36.0,63.888888888888886,-10.377358490566012,36.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.122866026,5.823108875503143E-11,39.0,66.66666666666666,-9.503239740820733,39.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.123424033,5.849555043089722E-11,42.0,66.66666666666666,-8.888888888888898,42.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.123953791,5.874662378388975E-11,45.0,66.66666666666666,-8.346709470304987,45.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.124566712,5.903711138500109E-11,48.0,64.58333333333334,-7.9365079365079625,48.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51.0,0.125611329,5.953219686324398E-11,51.0,64.70588235294117,-7.494145199063251,51.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.126166041,5.979509690776468E-11,54.0,66.66666666666666,-7.0484581497797265,54.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57.0,0.126940701,6.016223904366296E-11,57.0,66.66666666666666,-6.699507389162568,57.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.12782338,6.058057567311658E-11,60.0,68.33333333333333,-6.343283582089576,60.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.128720594,6.100580101625788E-11,63.0,69.84126984126983,-6.023029229406518,63.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66.0,0.129601803,6.142344095433752E-11,66.0,69.6969696969697,-5.7692307692307505,66.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69.0,0.130480396,6.183984106613531E-11,69.0,69.56521739130434,-5.535324107793136,69.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.13131646,6.223608499599829E-11,72.0,70.83333333333334,-5.29247910863506,72.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75.0,0.13276444,6.292234021756385E-11,75.0,70.66666666666667,-5.095541401273853,75.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78.0,0.133523557,6.32821159085466E-11,78.0,70.51282051282051,-4.912280701754371,78.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81.0,0.133994488,6.350530881020759E-11,81.0,67.90123456790124,-4.776119402985094,81.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84.0,0.134511283,6.375023848273689E-11,84.0,69.04761904761905,-4.597701149425292,84.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
87.0,0.134990174,6.397720394449102E-11,87.0,70.11494252873564,-4.432132963988889,87.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.135403826,6.417325005349186E-11,90.0,71.11111111111111,-4.278074866310092,90.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
93.0,0.135869185,6.439380216308766E-11,93.0,72.04301075268818,-4.134366925064588,93.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
96.0,0.136352343,6.462278992558519E-11,96.0,71.875,-4.012841091492767,96.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99.0,0.136831636,6.484994591110283E-11,99.0,71.71717171717171,-3.8980509745127403,99.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
102.0,0.137795374,6.530669961952502E-11,102.0,72.54901960784314,-3.779069767441872,102.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105.0,0.138510541,6.564564566024476E-11,105.0,72.38095238095238,-3.6772216547497467,105.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
108.0,0.139117643,6.593337540618248E-11,108.0,72.22222222222221,-3.580562659846516,108.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
111.0,0.139509275,6.611898536276487E-11,111.0,72.97297297297297,-3.480422622747069,111.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
114.0,0.13991824,6.631281011634403E-11,114.0,72.80701754385966,-3.3937975424224365,114.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
117.0,0.140567295,6.662042305494349E-11,117.0,72.64957264957265,-3.311258278145732,117.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
120.0,0.141226877,6.693302515687214E-11,120.0,72.5,-3.232533889468201,120.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
123.0,0.141946346,6.727401008622514E-11,123.0,72.35772357723577,-3.157375431672426,123.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
126.0,0.143291703,6.791162819291156E-11,126.0,72.22222222222221,-3.0855539971949355,126.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
129.0,0.144049771,6.82709067211383E-11,129.0,72.86821705426357,-3.01163586584529,129.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
132.0,0.144661151,6.856066398115622E-11,132.0,73.48484848484848,-2.941176470588233,132.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
135.0,0.145277381,6.885271984876858E-11,135.0,74.07407407407408,-2.873938602220742,135.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
138.0,0.145950069,6.917153340453903E-11,138.0,74.63768115942028,-2.8097062579821626,138.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
141.0,0.146602627,6.948080655394329E-11,141.0,74.46808510638297,-2.7530364372469593,141.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
144.0,0.147253178,6.978912850634919E-11,144.0,74.30555555555556,-2.698535080956071,144.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
147.0,0.147601693,6.995430360444717E-11,147.0,74.14965986394559,-2.6460859977948847,147.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
150.0,0.148299009,7.028478934740026E-11,150.0,74.66666666666667,-2.591792656587457,150.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
153.0,0.149390563,7.08021201338205E-11,153.0,73.8562091503268,-2.5469168900804537,153.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
156.0,0.149954565,7.10694230782489E-11,156.0,74.35897435897436,-2.496714848883047,156.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
159.0,0.150620407,7.138499204276337E-11,159.0,74.21383647798741,-2.451673738802516,159.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
162.0,0.151210036,7.166444064014488E-11,162.0,74.07407407407408,-2.4081878386514166,162.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
165.0,0.151766172,7.192801557481289E-11,165.0,74.54545454545455,-2.363367799113695,165.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
168.0,0.15230589,7.218380936731895E-11,168.0,73.80952380952381,-2.3255813953488293,168.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
171.0,0.152860573,7.244669566758805E-11,171.0,74.26900584795322,-2.2838499184339693,171.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
174.0,0.153389469,7.269736048455039E-11,174.0,74.71264367816092,-2.2435897435896996,174.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
177.0,0.154397227,7.317497701901528E-11,177.0,74.57627118644068,-2.207108943924058,177.0,1832.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
