learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.045098211,4.2674864401047425E-9,3.0,100.0,?,3.0,365776.0,50.0,0.0
6.0,0.107234494,1.0268750956702148E-8,6.0,100.0,?,6.0,373336.0,50.0,0.0
9.0,0.141624609,1.3659123435053558E-8,9.0,77.77777777777779,0.0,9.0,381080.0,50.0,0.0
12.0,0.159683257,1.543944732101427E-8,12.0,83.33333333333334,0.0,12.0,381080.0,50.0,0.0
15.0,0.176423657,1.7089810846596955E-8,15.0,86.66666666666667,0.0,15.0,381080.0,50.0,0.0
18.0,0.19300746,1.8724736152243696E-8,18.0,88.88888888888889,0.0,18.0,381080.0,50.0,0.0
21.0,0.207815677,2.0184614125034876E-8,21.0,90.47619047619048,0.0,21.0,381080.0,50.0,0.0
24.0,0.221293353,2.1513319823824696E-8,24.0,91.66666666666666,0.0,24.0,381080.0,50.0,0.0
27.0,0.235493241,2.2915811434371602E-8,27.0,88.88888888888889,0.0,27.0,381784.0,50.0,0.0
30.0,0.248931137,2.4243042776154144E-8,30.0,90.0,0.0,30.0,381784.0,50.0,0.0
33.0,0.262650444,2.559806846156923E-8,33.0,90.9090909090909,0.0,33.0,381784.0,50.0,0.0
36.0,0.27575959,2.6893426767925005E-8,36.0,88.88888888888889,0.0,36.0,381960.0,50.0,0.0
39.0,0.289060788,2.8207762371005696E-8,39.0,89.74358974358975,0.0,39.0,381960.0,50.0,0.0
42.0,0.3029873,2.9583887329699676E-8,42.0,90.47619047619048,0.0,42.0,381960.0,50.0,0.0
45.0,0.316455219,3.091531040137427E-8,45.0,86.66666666666667,0.0,45.0,382136.0,50.0,0.0
48.0,0.330043685,3.2258650611622466E-8,48.0,85.41666666666666,0.0,48.0,382136.0,50.0,0.0
51.0,0.344105089,3.364874493174255E-8,51.0,84.31372549019608,-3.5532994923858094,51.0,382136.0,50.0,0.0
54.0,0.357490722,3.497203330355179E-8,54.0,83.33333333333334,-3.404255319148968,54.0,382136.0,50.0,0.0
57.0,0.371626385,3.6369468783496155E-8,57.0,82.45614035087719,-3.260869565217292,57.0,382136.0,50.0,0.0
60.0,0.385807377,3.777138543654647E-8,60.0,81.66666666666667,-5.7692307692307745,60.0,382136.0,50.0,0.0
63.0,0.400397423,3.92137407002805E-8,63.0,80.95238095238095,-5.586592178770894,63.0,382136.0,50.0,0.0
66.0,0.41459588,4.061738392325946E-8,66.0,77.27272727272727,-5.543710021321929,66.0,382136.0,50.0,0.0
69.0,0.428098432,4.1952230773710954E-8,69.0,76.81159420289855,-7.602339181286645,69.0,382136.0,50.0,0.0
72.0,0.441909901,4.331761680553357E-8,72.0,77.77777777777779,-7.262569832402227,72.0,382136.0,50.0,0.0
75.0,0.456416374,4.4751710138053946E-8,75.0,76.0,-7.1428571428571495,75.0,382136.0,50.0,0.0
78.0,0.470188108,4.6113168013213824E-8,78.0,76.92307692307693,1.9553072625699042,78.0,382136.0,50.0,0.0
81.0,0.484188544,4.749723510657127E-8,81.0,75.30864197530865,-0.49627791563271845,81.0,382136.0,50.0,0.0
84.0,0.49848079,4.8910150202841806E-8,84.0,75.0,5.769230769230756,84.0,382136.0,50.0,0.0
87.0,0.512674517,5.0313325823429557E-8,87.0,75.86206896551724,6.163328197226483,87.0,382136.0,50.0,0.0
90.0,0.527310827,5.176025469330036E-8,90.0,75.55555555555556,5.7142857142856815,90.0,382136.0,50.0,0.0
93.0,0.541335464,5.314671426984378E-8,93.0,73.11827956989248,3.9653035935564094,93.0,382136.0,50.0,0.0
96.0,0.555186777,5.4516039233944484E-8,96.0,73.95833333333334,4.30622009569378,96.0,382136.0,50.0,0.0
99.0,0.569658287,5.594667616426531E-8,99.0,72.72727272727273,7.922838442990038,99.0,382136.0,50.0,0.0
102.0,0.584089757,5.7373354785972176E-8,102.0,73.52941176470588,8.261159227181887,102.0,382136.0,50.0,0.0
105.0,0.597826048,5.873130880668139E-8,105.0,74.28571428571429,8.577878103837502,105.0,382136.0,50.0,0.0
108.0,0.61204017,6.01365006536473E-8,108.0,74.07407407407408,8.19672131147537,108.0,382136.0,50.0,0.0
111.0,0.625574137,6.147445315507551E-8,111.0,74.77477477477478,15.909090909090878,111.0,382136.0,50.0,0.0
114.0,0.639201112,6.282160032102838E-8,114.0,75.43859649122807,16.22047244094491,114.0,382136.0,50.0,0.0
117.0,0.653203287,6.420583932993726E-8,117.0,75.21367521367522,18.769451759636084,117.0,382136.0,50.0,0.0
120.0,0.666576752,6.55279247871807E-8,120.0,75.83333333333333,19.06976744186044,120.0,382136.0,50.0,0.0
123.0,0.680380671,6.68925644346368E-8,123.0,76.42276422764228,19.353380058783667,123.0,382136.0,50.0,0.0
126.0,0.693345735,6.817427583602981E-8,126.0,76.19047619047619,21.544209215442073,126.0,382136.0,50.0,0.0
129.0,0.706399996,6.946480515084539E-8,129.0,76.74418604651163,21.81818181818183,129.0,382136.0,50.0,0.0
132.0,0.719625284,7.077224199931033E-8,132.0,77.27272727272727,22.07792207792206,132.0,382136.0,50.0,0.0
135.0,0.732180195,7.201340614413634E-8,135.0,77.77777777777779,22.324510932105863,135.0,382136.0,50.0,0.0
138.0,0.744641526,7.324531907717178E-8,138.0,76.81159420289855,20.831839368949417,138.0,382136.0,50.0,0.0
141.0,0.757656654,7.453197974835624E-8,141.0,77.30496453900709,21.063680895731267,141.0,382136.0,50.0,0.0
144.0,0.769823907,7.573482046659206E-8,144.0,76.38888888888889,19.711380780583777,144.0,382136.0,50.0,0.0
147.0,0.781660301,7.69049528424276E-8,147.0,75.51020408163265,18.484288354898297,147.0,382136.0,50.0,0.0
150.0,0.79385283,7.811029231712013E-8,150.0,76.0,18.699186991869926,150.0,382136.0,50.0,0.0
153.0,0.805588755,7.927049244250272E-8,153.0,76.47058823529412,18.90459363957593,153.0,382136.0,50.0,0.0
156.0,0.817753708,8.047310578536861E-8,156.0,76.92307692307693,19.10112359550563,156.0,382136.0,50.0,0.0
159.0,0.832376755,8.191872349022575E-8,159.0,75.47169811320755,17.35305877648942,159.0,382136.0,50.0,0.0
162.0,0.844532254,8.312040222146236E-8,162.0,75.30864197530865,21.225382932166333,162.0,382136.0,50.0,0.0
165.0,0.856989047,8.435186653300704E-8,165.0,75.75757575757575,21.4285714285714,165.0,382136.0,50.0,0.0
168.0,0.868828358,8.552228728012698E-8,168.0,76.19047619047619,23.566878980891705,168.0,382136.0,50.0,0.0
171.0,0.885452958,8.71657762257734E-8,171.0,76.0233918128655,26.56331831989105,171.0,382136.0,50.0,0.0
174.0,0.898498284,8.845542223670622E-8,174.0,76.4367816091954,26.770683637856724,174.0,382136.0,50.0,0.0
177.0,0.910966537,8.968801947074631E-8,177.0,76.27118644067797,25.778753993610216,177.0,382136.0,50.0,0.0
180.0,0.924129445,9.098928950374324E-8,180.0,76.66666666666667,25.983943606814197,180.0,382136.0,50.0,0.0
183.0,0.93758969,9.23199539325531E-8,183.0,75.95628415300546,24.817927170868302,183.0,382136.0,50.0,0.0
186.0,0.952164007,9.376075424533335E-8,186.0,75.80645161290323,23.895253682487724,186.0,382136.0,50.0,0.0
189.0,0.96486322,9.501618392086895E-8,189.0,76.19047619047619,24.096385542168687,189.0,382136.0,50.0,0.0
192.0,0.977907427,9.630571930874135E-8,192.0,75.52083333333334,23.02968270214944,192.0,382136.0,50.0,0.0
195.0,1.008225868,9.930296571663887E-8,195.0,75.8974358974359,23.221915054033694,195.0,382136.0,50.0,0.0
198.0,1.038752416,1.023207853445845E-7,198.0,75.75757575757575,22.807017543859637,198.0,382136.0,50.0,0.0
201.0,1.057657207,1.0418969136507557E-7,201.0,75.12437810945273,21.838544097060193,201.0,382136.0,50.0,0.0
