learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.041481307,3.8603288650554085E-9,3.0,100.0,?,3.0,359728.0,50.0,0.0
6.0,0.10507867,9.928078462808495E-9,6.0,100.0,?,6.0,368800.0,50.0,0.0
9.0,0.133276706,1.2712260886923306E-8,9.0,77.77777777777779,0.0,9.0,381664.0,50.0,0.0
12.0,0.152754987,1.4636087729105104E-8,12.0,75.0,-12.49999999999995,12.0,381784.0,50.0,0.0
15.0,0.170316592,1.6370608711259233E-8,15.0,80.0,-9.756097560975547,15.0,381784.0,50.0,0.0
18.0,0.186798433,1.7998483785264607E-8,18.0,83.33333333333334,-7.999999999999963,18.0,381784.0,50.0,0.0
21.0,0.200876172,1.938891100856165E-8,21.0,85.71428571428571,-6.7796610169491,21.0,381784.0,50.0,0.0
24.0,0.214859618,2.077002512027406E-8,24.0,87.5,-5.882352941176448,24.0,381784.0,50.0,0.0
27.0,0.229645413,2.2231731906307655E-8,27.0,81.48148148148148,-9.756097560975558,27.0,382136.0,50.0,0.0
30.0,0.24372017,2.3623146288738483E-8,30.0,83.33333333333334,-8.695652173913107,30.0,382136.0,50.0,0.0
33.0,0.258430178,2.5077360858615073E-8,33.0,84.84848484848484,-7.843137254901962,33.0,382136.0,50.0,0.0
36.0,0.272625877,2.6480731428867827E-8,36.0,80.55555555555556,-10.526315789473667,36.0,382136.0,50.0,0.0
39.0,0.28673059,2.7875107227203748E-8,39.0,82.05128205128204,-9.638554216867597,39.0,382136.0,50.0,0.0
42.0,0.301571198,2.934223276373827E-8,42.0,83.33333333333334,-8.888888888888902,42.0,382136.0,50.0,0.0
45.0,0.315534739,3.072265245958542E-8,45.0,80.0,-9.756097560975547,45.0,382136.0,50.0,0.0
48.0,0.328947071,3.204858026400415E-8,48.0,79.16666666666666,5.138339920948611,48.0,382136.0,50.0,0.0
51.0,0.342851103,3.3423116968160285E-8,51.0,80.3921568627451,5.904059040590419,51.0,382136.0,50.0,0.0
54.0,0.356816023,3.4803672990370536E-8,54.0,79.62962962962963,4.501607717041764,54.0,382136.0,50.0,0.0
57.0,0.371046366,3.621046842684762E-8,57.0,78.94736842105263,12.977099236641235,57.0,382136.0,50.0,0.0
60.0,0.385785727,3.7667584800738835E-8,60.0,80.0,13.669064748201507,60.0,382136.0,50.0,0.0
63.0,0.399752359,3.90483100693114E-8,63.0,79.36507936507937,12.03007518796992,63.0,382136.0,50.0,0.0
66.0,0.414514619,4.050769021215744E-8,66.0,78.78787878787878,24.137931034482776,66.0,382136.0,50.0,0.0
69.0,0.428739928,4.191398799315094E-8,69.0,78.26086956521739,22.004521477015842,69.0,382136.0,50.0,0.0
72.0,0.443312826,4.3354648025213835E-8,72.0,79.16666666666666,22.636103151862457,72.0,382136.0,50.0,0.0
75.0,0.458493787,4.485542047013217E-8,75.0,78.66666666666666,25.925925925925892,75.0,382136.0,50.0,0.0
78.0,0.472956248,4.62851628266606E-8,78.0,78.2051282051282,28.169014084507047,78.0,382136.0,50.0,0.0
81.0,0.487162673,4.7689593757008093E-8,81.0,77.77777777777779,26.659959758551356,81.0,382136.0,50.0,0.0
84.0,0.502039521,4.91603019385019E-8,84.0,77.38095238095238,31.56089193825044,84.0,382136.0,50.0,0.0
87.0,0.516234882,5.0563639094461163E-8,87.0,78.16091954022988,32.17070168239638,87.0,382136.0,50.0,0.0
90.0,0.531410729,5.20639059751874E-8,90.0,77.77777777777779,30.76923076923077,90.0,382136.0,50.0,0.0
93.0,0.54572626,5.347912299993137E-8,93.0,78.49462365591397,38.65435356200527,93.0,382136.0,50.0,0.0
96.0,0.560027371,5.489291447996472E-8,96.0,78.125,37.15710723192022,96.0,382136.0,50.0,0.0
99.0,0.5748597,5.635922156402634E-8,99.0,76.76767676767676,36.05728727885425,99.0,382136.0,50.0,0.0
102.0,0.588912477,5.774846302879146E-8,102.0,76.47058823529412,34.754797441364595,102.0,382136.0,50.0,0.0
105.0,0.604043152,5.924426425725221E-8,105.0,77.14285714285715,35.318275154004134,105.0,382136.0,50.0,0.0
108.0,0.619405163,6.076293509813852E-8,108.0,76.85185185185185,34.210526315789465,108.0,382136.0,50.0,0.0
111.0,0.633165946,6.212331036996096E-8,111.0,76.57657657657657,36.48767605633802,111.0,382136.0,50.0,0.0
114.0,0.647345238,6.352505896295524E-8,114.0,77.19298245614034,37.01657458563537,114.0,382136.0,50.0,0.0
117.0,0.661341799,6.490874297824377E-8,117.0,76.06837606837607,35.91549295774646,117.0,382136.0,50.0,0.0
120.0,0.675269906,6.628565970936996E-8,120.0,76.66666666666667,36.435868331441554,120.0,382136.0,50.0,0.0
123.0,0.689749336,6.771707960183421E-8,123.0,77.23577235772358,36.92307692307691,123.0,382136.0,50.0,0.0
126.0,0.703621165,6.908843275423471E-8,126.0,76.98412698412699,37.410071942446045,126.0,382136.0,50.0,0.0
129.0,0.717324374,7.044311632625344E-8,129.0,76.74418604651163,36.3905325443787,129.0,382136.0,50.0,0.0
132.0,0.73116753,7.181163489866174E-8,132.0,77.27272727272727,36.84210526315789,132.0,382136.0,50.0,0.0
135.0,0.743923741,7.307269933129971E-8,135.0,77.77777777777779,37.26765799256508,135.0,382136.0,50.0,0.0
138.0,0.756861221,7.435168380999523E-8,138.0,77.53623188405797,37.72925764192139,138.0,382136.0,50.0,0.0
141.0,0.770458324,7.569587786418696E-8,141.0,77.30496453900709,36.77130044843051,141.0,382136.0,50.0,0.0
144.0,0.782995827,7.693532107403916E-8,144.0,77.08333333333334,37.20930232558139,144.0,382136.0,50.0,0.0
147.0,0.799959245,7.861230517972468E-8,147.0,76.87074829931973,38.65979381443297,147.0,382136.0,50.0,0.0
150.0,0.81163819,7.976687232746433E-8,150.0,77.33333333333333,39.06810035842294,150.0,382136.0,50.0,0.0
153.0,0.825909805,8.117774786666657E-8,153.0,77.77777777777779,39.45530726256982,153.0,382136.0,50.0,0.0
156.0,0.838328749,8.240547046935186E-8,156.0,78.2051282051282,39.82300884955751,156.0,382136.0,50.0,0.0
