learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.086343031,1.606423709501616E-8,3.0,66.66666666666666,0.0,3.0,719176.0,100.0,0.0
6.0,0.240519168,4.595568982228222E-8,6.0,66.66666666666666,0.0,6.0,749432.0,100.0,0.0
9.0,0.295713498,5.668204811124337E-8,9.0,66.66666666666666,0.0,9.0,751208.0,100.0,0.0
12.0,0.344827181,6.624611971692078E-8,12.0,58.333333333333336,6.250000000000003,12.0,752736.0,100.0,0.0
15.0,0.383440976,7.376551304661564E-8,15.0,53.333333333333336,-10.52631578947367,15.0,752736.0,100.0,0.0
18.0,0.415113306,7.993317170171274E-8,18.0,61.111111111111114,-3.2786885245901796,18.0,752736.0,100.0,0.0
21.0,0.454143774,8.753370515702499E-8,21.0,57.14285714285714,-10.526315789473664,21.0,752736.0,100.0,0.0
24.0,0.488195672,9.416474504017167E-8,24.0,58.333333333333336,-10.091743119266017,24.0,752736.0,100.0,0.0
27.0,0.540819694,1.0441239668923947E-7,27.0,55.55555555555556,-14.893617021276617,27.0,752736.0,100.0,0.0
30.0,0.599983673,1.1593359601841205E-7,30.0,56.666666666666664,-15.38461538461536,30.0,752736.0,100.0,0.0
33.0,0.65559204,1.2676239914162293E-7,33.0,57.57575757575758,-6.451612903225827,33.0,752736.0,100.0,0.0
36.0,0.709098227,1.3718183772892588E-7,36.0,55.55555555555556,-10.344827586206856,36.0,752736.0,100.0,0.0
39.0,0.776405538,1.502888153096868E-7,39.0,58.97435897435898,-7.216494845360834,39.0,752736.0,100.0,0.0
42.0,0.807179018,1.5628143790074523E-7,42.0,59.523809523809526,-7.207207207207183,42.0,752736.0,100.0,0.0
45.0,0.838192995,1.6232089327624277E-7,45.0,55.55555555555556,-13.350125944584379,45.0,752736.0,100.0,0.0
48.0,0.872031165,1.6891031319176987E-7,48.0,56.25,-7.6923076923076925,48.0,752736.0,100.0,0.0
51.0,0.905305814,1.7538999677994187E-7,51.0,54.90196078431373,-10.348071495766701,51.0,752736.0,100.0,0.0
54.0,0.938108814,1.8177783458231226E-7,54.0,55.55555555555556,-10.580204778156995,54.0,752736.0,100.0,0.0
57.0,0.970323328,1.8805107453945612E-7,57.0,54.385964912280706,-12.785388127853869,57.0,752736.0,100.0,0.0
60.0,1.000923442,1.9400993699002599E-7,60.0,56.666666666666664,-10.638297872340415,60.0,752736.0,100.0,0.0
63.0,1.031761514,2.0001513779708082E-7,63.0,58.730158730158735,-8.76494023904378,63.0,752736.0,100.0,0.0
66.0,1.062450726,2.0599135059891477E-7,66.0,57.57575757575758,-10.791366906474813,66.0,752736.0,100.0,0.0
69.0,1.091246402,2.1159882880815202E-7,69.0,57.971014492753625,-10.736026563364701,69.0,752736.0,100.0,0.0
72.0,1.121189267,2.174297029647314E-7,72.0,58.333333333333336,-10.996916752312401,72.0,752736.0,100.0,0.0
75.0,1.151913011,2.2341264029831522E-7,75.0,58.666666666666664,-10.978520286396142,75.0,752736.0,100.0,0.0
78.0,1.182765673,2.2942068226482306E-7,78.0,58.97435897435898,-7.493540051679566,78.0,752736.0,100.0,0.0
81.0,1.212623374,2.3523497215110396E-7,81.0,59.25925925925925,-1.3651877133105925,81.0,752736.0,100.0,0.0
84.0,1.244055461,2.413558474840307E-7,84.0,59.523809523809526,-1.7094017094017113,84.0,752736.0,100.0,0.0
87.0,1.276200217,2.4761550323273573E-7,87.0,60.91954022988506,-0.4073319755600573,87.0,752736.0,100.0,0.0
90.0,1.324750437,2.5706984980559185E-7,90.0,62.22222222222222,0.7782101167315418,90.0,752736.0,100.0,0.0
93.0,1.372436604,2.6635593645049467E-7,93.0,63.44086021505376,1.8621973929236226,93.0,752736.0,100.0,0.0
96.0,1.441232801,2.797528497772002E-7,96.0,62.5,0.05783689994214995,96.0,752736.0,100.0,0.0
99.0,1.478463566,2.87002921053552E-7,99.0,62.62626262626263,-0.21887824897398284,99.0,752736.0,100.0,0.0
102.0,1.505205323,2.9221043275267716E-7,102.0,62.745098039215684,-0.623052959501527,102.0,752736.0,100.0,0.0
105.0,1.528996584,2.9684338450653687E-7,105.0,61.904761904761905,-2.1897810218977765,105.0,752736.0,100.0,0.0
108.0,1.552039697,3.0133064690039393E-7,108.0,62.03703703703704,-2.405180388529123,108.0,752736.0,100.0,0.0
111.0,1.575828988,3.059632150295708E-7,111.0,63.06306306306306,-1.5168414008476447,111.0,752736.0,100.0,0.0
114.0,1.597779752,3.102377606525355E-7,114.0,63.1578947368421,0.6226650062266142,114.0,752736.0,100.0,0.0
117.0,1.620110557,3.145863129293505E-7,117.0,63.24786324786324,0.3565062388591718,117.0,752736.0,100.0,0.0
120.0,1.643145326,3.1907195046820576E-7,120.0,63.33333333333333,2.2584228063680096,120.0,752736.0,100.0,0.0
123.0,1.667980072,3.2390810354295706E-7,123.0,63.41463414634146,1.9833539932707434,123.0,752736.0,100.0,0.0
126.0,1.692895476,3.287599634195699E-7,126.0,64.28571428571429,4.8338368580060385,126.0,752736.0,100.0,0.0
129.0,1.717447195,3.335410017008666E-7,129.0,65.11627906976744,5.563689604685196,129.0,752736.0,100.0,0.0
132.0,1.741740302,3.382716796032423E-7,132.0,65.15151515151516,5.154639175257728,132.0,752736.0,100.0,0.0
135.0,1.764512362,3.4270615894067627E-7,135.0,65.92592592592592,5.823475887170133,135.0,752736.0,100.0,0.0
138.0,1.786773085,3.470410639154498E-7,138.0,66.66666666666666,6.45446507515471,138.0,752736.0,100.0,0.0
141.0,1.812460934,3.520433445880646E-7,141.0,65.95744680851064,5.077138849929843,141.0,752736.0,100.0,0.0
144.0,1.836637464,3.5675132106168416E-7,144.0,65.97222222222221,4.751619870410358,144.0,752736.0,100.0,0.0
147.0,1.86019182,3.6133813951326756E-7,147.0,66.66666666666666,7.261490923136373,147.0,752736.0,100.0,0.0
