learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3.0,0.231969603,6.859175252215317E-8,3.0,66.66666666666666,0.0,3.0,1142992.0,100.0,2.8900000000000006,0.18361961119706582,5744.480000000002,157.66583540046102,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.426668639,1.292853263485142E-7,6.0,66.66666666666666,0.0,6.0,1204984.0,100.0,5.849999999999998,0.25,6364.399999999999,25.671711428667315,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.52983073,1.617344345378027E-7,9.0,44.44444444444444,-21.62162162162162,9.0,1215864.0,100.0,9.019999999999996,0.33694408012504545,6473.199999999999,6.800000000000007,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,0.633363892,1.9430026121261425E-7,12.0,41.66666666666667,-31.250000000000007,12.0,1215864.0,100.0,12.040000000000001,0.3631845678205922,6473.199999999999,6.800000000000007,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.730268725,2.2479822805315463E-7,15.0,40.0,-36.363636363636374,15.0,1216544.0,100.0,14.92,0.38130027404907413,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.819548832,2.5289653500556323E-7,18.0,50.0,-28.571428571428587,18.0,1216544.0,100.0,17.949999999999985,0.43978300434315437,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.933337322,2.8870813993196724E-7,21.0,47.61904761904761,-14.925373134328348,21.0,1216544.0,100.0,20.89000000000001,0.4933691633180282,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.037079089,3.213578321299308E-7,24.0,50.0,-9.090909090909081,24.0,1216544.0,100.0,24.210000000000008,0.5322517441887056,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,1.133419907,3.516782917168591E-7,27.0,48.148148148148145,-5.5865921787709425,27.0,1216544.0,100.0,27.090000000000003,0.5532447902870825,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.229197577,3.8182151691311137E-7,30.0,53.333333333333336,6.666666666666665,30.0,1216544.0,100.0,30.089999999999996,0.5968088538894242,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,1.318412111,4.098991866783156E-7,33.0,57.57575757575758,14.126394052044624,33.0,1216544.0,100.0,33.190000000000005,0.6122808822655486,6480.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
