learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.25536706,7.569624842777847E-8,3.0,66.66666666666666,0.0,3.0,1145808.0,100.0,0.0
6.0,0.514786924,1.5675424805730578E-7,6.0,66.66666666666666,0.0,6.0,1207800.0,100.0,0.0
9.0,0.576974896,1.7636046065551536E-7,9.0,55.55555555555556,0.0,9.0,1218680.0,100.0,0.0
12.0,0.640305529,1.9632692385803283E-7,12.0,50.0,-16.12903225806451,12.0,1218680.0,100.0,0.0
15.0,0.695960136,2.1388313090340747E-7,15.0,46.666666666666664,-17.647058823529402,15.0,1219360.0,100.0,0.0
18.0,0.75614619,2.328687797512755E-7,18.0,55.55555555555556,-9.090909090909076,18.0,1219360.0,100.0,0.0
21.0,0.813667832,2.510139416880388E-7,21.0,57.14285714285714,8.69565217391303,21.0,1219360.0,100.0,0.0
24.0,0.874008564,2.7004838360335885E-7,24.0,54.166666666666664,4.347826086956506,24.0,1219360.0,100.0,0.0
27.0,0.929707666,2.8761862656551723E-7,27.0,59.25925925925925,18.181818181818183,27.0,1219360.0,100.0,0.0
30.0,0.981448422,3.039402120367831E-7,30.0,63.33333333333333,26.66666666666666,30.0,1219360.0,100.0,0.0
33.0,1.031649558,3.1977612545054614E-7,33.0,66.66666666666666,33.14917127071823,33.0,1219360.0,100.0,0.0
36.0,1.080734919,3.352600684170818E-7,36.0,69.44444444444444,38.888888888888886,36.0,1219360.0,100.0,0.0
39.0,1.128939587,3.5046619738968503E-7,39.0,71.7948717948718,43.02788844621514,39.0,1219360.0,100.0,0.0
42.0,1.176888905,3.6559177638249887E-7,42.0,69.04761904761905,37.8132118451025,42.0,1219360.0,100.0,0.0
45.0,1.223671327,3.8034925884421296E-7,45.0,71.11111111111111,42.136498516320486,45.0,1219360.0,100.0,0.0
48.0,1.269964791,3.9495249984511694E-7,48.0,72.91666666666666,45.64459930313588,48.0,1219360.0,100.0,0.0
51.0,1.324742684,4.1223214806933996E-7,51.0,72.54901960784314,45.16129032258065,51.0,1219360.0,100.0,0.0
54.0,1.382570314,4.3047383370775113E-7,54.0,74.07407407407408,48.14814814814814,54.0,1219360.0,100.0,0.0
57.0,1.426229353,4.442460471758309E-7,57.0,75.43859649122807,50.557620817843876,57.0,1219360.0,100.0,0.0
