learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.121338176,1.6682548878987632E-8,3.0,100.0,?,3.0,531456.0,50.0,0.0
6.0,0.264762832,3.7660888181328776E-8,6.0,100.0,?,6.0,565392.0,50.0,0.0
9.0,0.320658366,4.6000151793923644E-8,9.0,100.0,?,9.0,576704.0,50.0,0.0
12.0,0.373127205,5.3904946968317446E-8,12.0,100.0,?,12.0,582360.0,50.0,0.0
15.0,0.417429797,6.057944028910043E-8,15.0,100.0,?,15.0,582360.0,50.0,0.0
18.0,0.460277851,6.703479735334507E-8,18.0,100.0,?,18.0,582360.0,50.0,0.0
21.0,0.503229237,7.350572210139078E-8,21.0,100.0,?,21.0,582360.0,50.0,0.0
24.0,0.538609987,7.883607793157093E-8,24.0,100.0,?,24.0,582360.0,50.0,0.0
27.0,0.569157783,8.343831565993322E-8,27.0,100.0,?,27.0,582360.0,50.0,0.0
30.0,0.600525631,8.816409992021613E-8,30.0,100.0,?,30.0,582360.0,50.0,0.0
33.0,0.633147803,9.3078856806753E-8,33.0,100.0,?,33.0,582360.0,50.0,0.0
36.0,0.664385178,9.778498440299597E-8,36.0,100.0,?,36.0,582360.0,50.0,0.0
39.0,0.696809914,1.0266999618425138E-7,39.0,100.0,?,39.0,582360.0,50.0,0.0
42.0,0.729548769,1.0760233217550856E-7,42.0,100.0,?,42.0,582360.0,50.0,0.0
45.0,0.761190288,1.1236934687354085E-7,45.0,100.0,?,45.0,582360.0,50.0,0.0
48.0,0.794294512,1.1735672824340976E-7,48.0,100.0,?,48.0,582360.0,50.0,0.0
51.0,0.838930824,1.240814988010418E-7,51.0,100.0,?,51.0,582360.0,50.0,0.0
54.0,0.864067501,1.2786851385296424E-7,54.0,100.0,?,54.0,582360.0,50.0,0.0
57.0,0.888783195,1.315921048907418E-7,57.0,100.0,?,57.0,582360.0,50.0,0.0
