learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.238478161,6.910915908238746E-8,3.0,66.66666666666666,0.0,3.0,1120184.0,100.0,0.0
6.0,0.417379261,1.2493431752382673E-7,6.0,66.66666666666666,0.0,6.0,1206200.0,100.0,0.0
9.0,0.515805123,1.558920394787627E-7,9.0,44.44444444444444,-21.62162162162162,9.0,1215800.0,100.0,0.0
12.0,0.637737318,1.943554655329076E-7,12.0,33.33333333333333,-45.454545454545446,12.0,1219360.0,100.0,0.0
15.0,0.731764152,2.2401616488031422E-7,15.0,26.666666666666668,-57.14285714285714,15.0,1219360.0,100.0,0.0
18.0,0.82840686,2.545020398605056E-7,18.0,38.88888888888889,-43.47826086956522,18.0,1219360.0,100.0,0.0
21.0,0.90258336,2.779009651624349E-7,21.0,42.857142857142854,-19.999999999999986,21.0,1219360.0,100.0,0.0
24.0,0.977552973,3.015500774082479E-7,24.0,45.83333333333333,-13.043478260869579,24.0,1219360.0,100.0,0.0
27.0,1.051202551,3.2478278553198817E-7,27.0,48.148148148148145,-4.419889502762413,27.0,1219360.0,100.0,0.0
30.0,1.115004842,3.4490917382478923E-7,30.0,50.0,0.0,30.0,1219360.0,100.0,0.0
33.0,1.178500568,3.649388564016939E-7,33.0,54.54545454545454,8.83977900552486,33.0,1219360.0,100.0,0.0
36.0,1.239211694,3.8409013884653856E-7,36.0,58.333333333333336,16.666666666666675,36.0,1219360.0,100.0,0.0
39.0,1.301536682,4.0375051293611736E-7,39.0,61.53846153846154,22.310756972111555,39.0,1219360.0,100.0,0.0
42.0,1.369152761,4.2475334125100533E-7,42.0,59.523809523809526,18.67881548974942,42.0,1200688.0,100.0,0.0
45.0,1.43736194,4.4613605382689794E-7,45.0,62.22222222222222,24.332344213649858,45.0,1211776.0,100.0,0.0
48.0,1.494923961,4.6409238416702176E-7,48.0,64.58333333333334,28.9198606271777,48.0,1205824.0,100.0,0.0
51.0,1.58199494,4.916188713601687E-7,51.0,66.66666666666666,33.25635103926097,51.0,1222024.0,100.0,0.0
54.0,1.630566198,5.069689884788171E-7,54.0,68.51851851851852,37.037037037037045,54.0,1221616.0,100.0,0.0
57.0,1.679673282,5.228466981243218E-7,57.0,68.42105263157895,36.666666666666686,57.0,1249816.0,100.0,0.0
60.0,1.723118288,5.368394795931834E-7,60.0,70.0,39.73214285714285,60.0,1244992.0,100.0,0.0
63.0,1.768550694,5.515978897600372E-7,63.0,71.42857142857143,42.142857142857146,63.0,1255672.0,100.0,0.0
66.0,1.833687905,5.727653612144311E-7,66.0,71.21212121212122,41.347053320860624,66.0,1256152.0,100.0,0.0
69.0,1.885003101,5.894411281045215E-7,69.0,72.46376811594203,43.22217410134258,69.0,1256152.0,100.0,0.0
72.0,1.937077042,6.065952811041949E-7,72.0,72.22222222222221,42.90245836637589,72.0,1273360.0,100.0,0.0
