learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.254097726,7.64474819696198E-8,1.0,0.0,0.0,1.0,1162960.0,100.0,1.01,0.10963207522979723,5929.920000000001,445.6412815870467,0.6299999999999999,0.04852365870939098,0.6299999999999999,0.04852365870939098,0.6299999999999999,0.04852365870939098,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.599166194,2.0139758729031517E-7,2.0,50.0,0.0,2.0,1399696.0,100.0,2.0500000000000007,0.15464197817585437,8297.279999999997,333.5876793500345,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.8600000000000001,0.0348735088019777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.748568367,2.585198588811192E-7,3.0,33.33333333333333,0.0,3.0,1477920.0,100.0,2.8900000000000006,0.18361961119706582,9079.520000000004,249.76065329701865,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.9299999999999997,0.02564323999762428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.931757723,3.313108731725067E-7,4.0,25.0,-50.0,4.0,1535960.0,100.0,4.019999999999999,0.20791412368639808,9659.919999999998,142.79928110053038,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.9800000000000001,0.014070529413628971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,1.076669324,3.900227305413969E-7,5.0,40.0,-15.384615384615378,5.0,1566120.0,100.0,4.939999999999999,0.2196507788432917,9961.520000000008,30.732828760730122,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,1.176827961,4.3076017929089154E-7,6.0,33.33333333333333,-33.333333333333336,6.0,1572200.0,100.0,5.849999999999998,0.25,10022.320000000002,24.408455564215906,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,1.265045162,4.666580411685962E-7,7.0,42.857142857142854,-16.66666666666665,7.0,1572960.0,100.0,6.920000000000002,0.2676798932540979,10029.919999999996,23.386535364684466,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,1.354548055,5.031287275583173E-7,8.0,50.0,0.0,8.0,1575104.0,100.0,8.050000000000004,0.3062892935006565,10051.36,18.310782384025867,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,1.50164701,5.631094824271898E-7,9.0,55.55555555555556,10.0,9.0,1576176.0,100.0,9.019999999999996,0.33694408012504545,10062.080000000005,15.032622303953946,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,1.65011493,6.236896177203291E-7,10.0,60.0,16.66666666666666,10.0,1577248.0,100.0,9.999999999999998,0.35675303400633784,10072.800000000001,10.693602354358022,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11.0,1.728138336,6.555259126688374E-7,11.0,63.63636363636363,21.428571428571427,11.0,1577248.0,100.0,11.049999999999995,0.35827166488376644,10072.800000000001,10.693602354358022,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,1.802171786,6.857487210852529E-7,12.0,58.333333333333336,11.764705882352947,12.0,1578008.0,100.0,12.040000000000001,0.3631845678205922,10080.400000000005,7.5999999999999925,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13.0,1.878428939,7.168793157758999E-7,13.0,61.53846153846154,15.584415584415593,13.0,1578008.0,100.0,13.009999999999998,0.36195177981202253,10080.400000000005,7.5999999999999925,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.955590027,7.483789254770035E-7,14.0,64.28571428571429,18.604651162790695,14.0,1578008.0,100.0,13.93,0.3657716348883397,10080.400000000005,7.5999999999999925,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,2.028216753,7.780274644254045E-7,15.0,66.66666666666666,21.05263157894737,15.0,1578008.0,100.0,14.92,0.38130027404907413,10080.400000000005,7.5999999999999925,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16.0,2.111711078,8.121289188867084E-7,16.0,62.5,14.285714285714285,16.0,1578768.0,100.0,15.95,0.3993365710396394,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17.0,2.191279542,8.446269401791962E-7,17.0,58.82352941176471,9.160305343511444,17.0,1578768.0,100.0,16.95000000000001,0.4307322869605934,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,2.278714972,8.803380538920086E-7,18.0,61.111111111111114,11.267605633802818,18.0,1578768.0,100.0,17.949999999999985,0.43978300434315437,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19.0,2.355883783,9.118559887235013E-7,19.0,63.1578947368421,13.071895424836605,19.0,1578768.0,100.0,18.890000000000008,0.4458325545164537,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,2.430737485,9.42428367265552E-7,20.0,65.0,14.634146341463428,20.0,1578768.0,100.0,20.0,0.4701171141429559,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,2.501944104,9.715111734942616E-7,21.0,66.66666666666666,15.999999999999998,21.0,1578768.0,100.0,20.89000000000001,0.4933691633180282,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,2.571676058,9.999916846407227E-7,22.0,68.18181818181817,17.20430107526879,22.0,1578768.0,100.0,21.95000000000001,0.5192019906266799,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23.0,2.657367823,1.0349906360288111E-6,23.0,65.21739130434783,10.679611650485452,23.0,1578768.0,100.0,23.05,0.5232715655499841,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,2.738034817,1.0679373281832931E-6,24.0,66.66666666666666,11.926605504587169,24.0,1578768.0,100.0,24.210000000000008,0.5322517441887056,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,2.813456498,1.0987416854856187E-6,25.0,68.0,13.043478260869575,25.0,1578768.0,100.0,25.160000000000004,0.5406169315390211,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26.0,2.892823216,1.1311573079799636E-6,26.0,69.23076923076923,14.049586776859513,26.0,1578768.0,100.0,26.12000000000001,0.5433305447037565,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,2.965839606,1.1609792761019146E-6,27.0,70.37037037037037,14.96062992125985,27.0,1578768.0,100.0,27.090000000000003,0.5532447902870825,10088.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
