learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.080228215,1.0249862944427879E-8,1.0,0.0,0.0,1.0,493848.0,50.0,0.0
2.0,0.238809869,3.6538474766560316E-8,2.0,0.0,0.0,2.0,640792.0,50.0,0.0
3.0,0.304473525,4.820381272852214E-8,3.0,0.0,0.0,3.0,686712.0,50.0,0.0
4.0,0.360767923,5.847217552162086E-8,4.0,25.0,0.0,4.0,705080.0,50.0,0.0
5.0,0.411354079,6.793970418527101E-8,5.0,40.0,0.0,5.0,723448.0,50.0,0.0
6.0,0.460057228,7.71705299916615E-8,6.0,50.0,0.0,6.0,732632.0,50.0,0.0
7.0,0.520567224,8.953166339072087E-8,7.0,42.857142857142854,-27.272727272727266,7.0,789648.0,50.0,0.0
8.0,0.58453584,1.0261707257303098E-7,8.0,37.5,-25.0,8.0,790720.0,50.0,0.0
9.0,0.643100337,1.1459701609410345E-7,9.0,44.44444444444444,-21.62162162162162,9.0,790720.0,50.0,0.0
10.0,0.691399688,1.2449051782178795E-7,10.0,50.0,-19.04761904761907,10.0,791792.0,50.0,0.0
11.0,0.738456304,1.3414251132357036E-7,11.0,54.54545454545454,-17.02127659574468,11.0,792864.0,50.0,0.0
12.0,0.784315704,1.435489384834758E-7,12.0,58.333333333333336,-15.384615384615358,12.0,792864.0,50.0,0.0
13.0,0.858262216,1.5871643912362968E-7,13.0,61.53846153846154,-14.035087719298254,13.0,792864.0,50.0,0.0
14.0,0.902040442,1.676959873527578E-7,14.0,64.28571428571429,-12.903225806451632,14.0,792864.0,50.0,0.0
15.0,0.940754327,1.7563676589171504E-7,15.0,66.66666666666666,-11.940298507462687,15.0,792864.0,50.0,0.0
16.0,0.97710366,1.8309254056769525E-7,16.0,68.75,-11.11111111111111,16.0,792864.0,50.0,0.0
17.0,1.013544273,1.9056703809375976E-7,17.0,70.58823529411765,-10.389610389610338,17.0,792864.0,50.0,0.0
18.0,1.050112038,1.9806761633667265E-7,18.0,72.22222222222221,-9.75609756097561,18.0,792864.0,50.0,0.0
19.0,1.085552022,2.0533687036189352E-7,19.0,73.68421052631578,-9.195402298850578,19.0,792864.0,50.0,0.0
20.0,1.119473194,2.1229459404769454E-7,20.0,75.0,-8.695652173913052,20.0,792864.0,50.0,0.0
21.0,1.151486075,2.188608996100268E-7,21.0,76.19047619047619,-8.247422680412415,21.0,792864.0,50.0,0.0
22.0,1.181000612,2.2491475863236102E-7,22.0,77.27272727272727,-7.843137254901988,22.0,792864.0,50.0,0.0
23.0,1.210457316,2.309567552687517E-7,23.0,78.26086956521739,-7.4766355140186525,23.0,792864.0,50.0,0.0
