learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.108353274,1.5902586334509154E-8,1.0,0.0,0.0,1.0,567320.0,50.0,0.0
2.0,0.271620136,4.490741547803084E-8,2.0,0.0,0.0,2.0,686712.0,50.0,0.0
3.0,0.334767033,5.657573747506365E-8,3.0,0.0,0.0,3.0,714264.0,50.0,0.0
4.0,0.442209084,7.745003438534836E-8,4.0,25.0,0.0,4.0,751000.0,50.0,0.0
5.0,0.504966214,8.964275550956941E-8,5.0,40.0,0.0,5.0,751000.0,50.0,0.0
6.0,0.570537538,1.0253802155994292E-7,6.0,50.0,0.0,6.0,760184.0,50.0,0.0
7.0,0.633462264,1.1529633276862817E-7,7.0,42.857142857142854,-27.272727272727266,7.0,783744.0,50.0,0.0
8.0,0.698425985,1.2846806068035877E-7,8.0,37.5,-25.0,8.0,783744.0,50.0,0.0
9.0,0.758560364,1.4066061471107518E-7,9.0,44.44444444444444,-21.62162162162162,9.0,783744.0,50.0,0.0
10.0,0.804500463,1.499752056081386E-7,10.0,50.0,-19.04761904761907,10.0,783744.0,50.0,0.0
11.0,0.875605216,1.6439205928169604E-7,11.0,54.54545454545454,-17.02127659574468,11.0,783744.0,50.0,0.0
12.0,0.910696566,1.7150701062900737E-7,12.0,58.333333333333336,-15.384615384615358,12.0,783744.0,50.0,0.0
13.0,0.944666774,1.7839464468064818E-7,13.0,61.53846153846154,-14.035087719298254,13.0,783744.0,50.0,0.0
14.0,0.979142553,1.8538478584779216E-7,14.0,64.28571428571429,-12.903225806451632,14.0,783744.0,50.0,0.0
15.0,1.011483985,1.919421772044193E-7,15.0,66.66666666666666,-11.940298507462687,15.0,783744.0,50.0,0.0
16.0,1.043976818,1.9853026589098485E-7,16.0,68.75,-11.11111111111111,16.0,783744.0,50.0,0.0
17.0,1.076065655,2.0503644231471332E-7,17.0,70.58823529411765,-10.389610389610338,17.0,783744.0,50.0,0.0
18.0,1.105848845,2.110751369735888E-7,18.0,72.22222222222221,-9.75609756097561,18.0,783744.0,50.0,0.0
19.0,1.135816319,2.1715119615945134E-7,19.0,73.68421052631578,-9.195402298850578,19.0,783744.0,50.0,0.0
20.0,1.164659489,2.2299929693791184E-7,20.0,75.0,-8.695652173913052,20.0,783744.0,50.0,0.0
21.0,1.194296918,2.2900843780580077E-7,21.0,76.19047619047619,-8.247422680412415,21.0,783744.0,50.0,0.0
22.0,1.222917783,2.3481146510435058E-7,22.0,77.27272727272727,-7.843137254901988,22.0,783744.0,50.0,0.0
23.0,1.250641526,2.404325963121942E-7,23.0,78.26086956521739,-7.4766355140186525,23.0,783744.0,50.0,0.0
24.0,1.277925744,2.4596461157006933E-7,24.0,79.16666666666666,-7.142857142857176,24.0,783744.0,50.0,0.0
25.0,1.307613198,2.5198389526350216E-7,25.0,80.0,-6.837606837606732,25.0,783744.0,50.0,0.0
26.0,1.345344794,2.5963417004051723E-7,26.0,80.76923076923077,-6.5573770491803645,26.0,783744.0,50.0,0.0
27.0,1.386791244,2.68037650535533E-7,27.0,81.48148148148148,-6.299212598425255,27.0,783744.0,50.0,0.0
28.0,1.410807767,2.7290712385806356E-7,28.0,82.14285714285714,-6.060606060605997,28.0,783744.0,50.0,0.0
