learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.810072958,6.05881765260506E-7,7.0,14.285714285714285,-61.53846153846153,7.0,2891120.0,50.0,6.6800000000000015,0.3816612452456353,51647.999999999985,171.4285714285713,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,1.217917031,9.130327362475916E-7,14.0,42.857142857142854,-14.28571428571429,14.0,2911120.0,50.0,13.840000000000002,0.4885296556912343,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,1.412443277,1.0595321689888214E-6,21.0,42.857142857142854,-12.5,21.0,2911120.0,50.0,21.14,0.6490243855674641,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,1.635800256,1.227744281210916E-6,28.0,50.0,0.0,28.0,2911120.0,50.0,27.86,0.722811969226536,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,1.802372399,1.3531912322613721E-6,35.0,45.714285714285715,-4.72440944881889,35.0,2911120.0,50.0,34.96,0.9350150058819858,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,1.941522528,1.457986422543145E-6,42.0,45.23809523809524,-4.319654427645778,42.0,2911120.0,50.0,41.78,1.0270981512226072,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,2.076400268,1.5595640389611324E-6,49.0,44.89795918367347,-6.60757453666399,49.0,2911120.0,50.0,49.34,1.0504071125239092,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,2.213819018,1.6630553124369433E-6,56.0,46.42857142857143,-2.9411764705882275,56.0,2911120.0,50.0,56.03999999999998,1.1345987333477352,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,2.355230049,1.7695532079695206E-6,63.0,49.2063492063492,-4.347826086956533,63.0,2911120.0,50.0,63.32000000000001,1.3426869193022275,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,2.494220052,1.8742278059474296E-6,70.0,51.42857142857142,-1.3628620102214817,70.0,2911120.0,50.0,70.16,1.3679598991616255,52048.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
