learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,1.59904004,2.3776688183730675E-6,7.0,42.857142857142854,-16.66666666666665,7.0,5747704.0,100.0,99.0
14.0,1.991622538,2.9661292258598035E-6,14.0,42.857142857142854,-14.28571428571429,14.0,5794136.0,100.0,66.0
21.0,2.305254779,3.4362473724406483E-6,21.0,52.38095238095239,5.4054054054054115,21.0,5794136.0,100.0,62.0
28.0,2.622366032,3.911580374063684E-6,28.0,53.57142857142857,7.14285714285714,28.0,5794136.0,100.0,52.0
35.0,2.973842637,4.438425221335389E-6,35.0,54.285714285714285,8.79478827361563,35.0,5794136.0,100.0,73.0
42.0,3.236148844,4.8316083567117405E-6,42.0,52.38095238095239,3.8901601830663517,42.0,5794136.0,100.0,75.0
49.0,3.513728453,5.247685514135475E-6,49.0,48.97959183673469,-2.6823134953897747,49.0,5794136.0,100.0,67.0
56.0,3.778495891,5.644557904648154E-6,56.0,44.642857142857146,-10.997442455242972,56.0,5794136.0,100.0,52.0
63.0,4.043210372,6.041350915417829E-6,63.0,47.61904761904761,-4.841149773071107,63.0,5794136.0,100.0,59.0
70.0,4.355860465,6.509996874075787E-6,70.0,50.0,-0.4922067268252725,70.0,5794136.0,100.0,55.0
77.0,4.758991824,7.1142694664515725E-6,77.0,50.649350649350644,1.215395003376102,77.0,5794136.0,100.0,66.0
84.0,5.022089232,7.508638570293751E-6,84.0,53.57142857142857,7.2480181200453035,84.0,5794136.0,100.0,66.0
91.0,5.288209944,7.907539446980772E-6,91.0,52.74725274725275,5.505916445303066,91.0,5794136.0,100.0,65.0
98.0,5.554016104,8.3059688268511E-6,98.0,52.04081632653062,4.081632653061229,98.0,5794136.0,100.0,66.0
105.0,5.828779571,8.717824736314717E-6,105.0,51.42857142857142,2.90117860380779,105.0,5794136.0,100.0,65.0
112.0,6.130258161,9.169725202646576E-6,112.0,52.67857142857143,5.35714285714286,112.0,5794136.0,100.0,68.0
119.0,6.430506425,9.619781475355466E-6,119.0,52.10084033613446,4.154302670623143,119.0,5794136.0,100.0,64.0
126.0,6.731982265,1.0071677819582728E-5,126.0,50.79365079365079,1.5873015873015817,126.0,5794136.0,100.0,59.0
133.0,7.007731709,1.048501165643778E-5,133.0,51.8796992481203,3.797468354430389,133.0,5794136.0,100.0,57.0
140.0,7.312799479,1.0942292113818919E-5,140.0,52.142857142857146,4.363784665579127,140.0,5794136.0,100.0,51.0
147.0,7.61499988,1.1395274536675466E-5,147.0,52.38095238095239,4.616240266963293,147.0,5794136.0,100.0,63.0
154.0,7.89445669,1.1814165519144947E-5,154.0,52.5974025974026,5.1948051948051965,154.0,5794136.0,100.0,60.0
161.0,8.15432225,1.2203690253712632E-5,161.0,53.41614906832298,6.792744114241614,161.0,5794136.0,100.0,63.0
168.0,8.402419495,1.2575574906321461E-5,168.0,53.57142857142857,7.14285714285714,168.0,5794136.0,100.0,59.0
175.0,8.636385901,1.2926278178409172E-5,175.0,52.57142857142857,4.972194962381425,175.0,5794136.0,100.0,52.0
182.0,8.899796377,1.3321116554630507E-5,182.0,53.2967032967033,6.435224386113464,182.0,5794136.0,100.0,57.0
189.0,9.173593135,1.373152341841593E-5,189.0,53.43915343915344,6.656190369289494,189.0,5794136.0,100.0,54.0
196.0,9.43007377,1.4115974329379762E-5,196.0,53.06122448979592,5.965790571547769,196.0,5794136.0,100.0,59.0
203.0,9.725817286,1.4559278223016202E-5,203.0,53.20197044334976,6.068871462666204,203.0,5794136.0,100.0,61.0
210.0,10.01328993,1.4990184516830475E-5,210.0,54.285714285714285,8.3469721767594,210.0,5794136.0,100.0,62.0
217.0,10.282331323,1.5393463339911323E-5,217.0,54.377880184331794,8.524590163934421,217.0,5794136.0,100.0,59.0
224.0,10.546493683,1.5789428750494293E-5,224.0,54.46428571428571,8.877721943048558,224.0,5794136.0,100.0,64.0
231.0,10.825042558,1.6206958786404024E-5,231.0,54.112554112554115,8.202744245332532,231.0,5794136.0,100.0,65.0
238.0,11.16200926,1.6712054056260863E-5,238.0,53.78151260504202,7.517309594460915,238.0,5794136.0,100.0,65.0
245.0,11.559254082,1.7307503040912533E-5,245.0,53.46938775510204,6.918616276744643,245.0,5794136.0,100.0,65.0
252.0,12.004804039,1.7975358868891695E-5,252.0,53.57142857142857,7.096042349382403,252.0,5794136.0,100.0,59.0
259.0,12.352040217,1.8495847540294506E-5,259.0,54.054054054054056,8.125912898321767,259.0,5794136.0,100.0,56.0
266.0,12.706262662,1.9026808256545406E-5,266.0,53.75939849624061,7.518796992481214,266.0,5794136.0,100.0,58.0
273.0,13.02329063,1.950201641835697E-5,273.0,53.11355311355312,6.245975531229883,273.0,5794136.0,100.0,66.0
280.0,13.356081243,2.000085195160517E-5,280.0,52.85714285714286,5.747947161727964,280.0,5794136.0,100.0,66.0
287.0,13.674324716,2.0477882091144337E-5,287.0,53.65853658536586,7.40363389370013,287.0,5794136.0,100.0,65.0
294.0,13.973055301,2.0925663443276472E-5,294.0,53.74149659863946,7.512953367875664,294.0,5794136.0,100.0,64.0
301.0,14.223809888,2.1301531311041653E-5,301.0,54.15282392026578,8.357234258482988,301.0,5794136.0,100.0,63.0
308.0,14.483423544,2.169067845483226E-5,308.0,54.54545454545454,9.15219956177313,308.0,5794136.0,100.0,64.0
315.0,14.753001692,2.2094761845278258E-5,315.0,54.920634920634924,9.923879334649012,315.0,5794136.0,100.0,64.0
322.0,15.045725149,2.2533538830153286E-5,322.0,54.6583850931677,9.37271079924433,322.0,5794136.0,100.0,66.0
329.0,15.330415345,2.2960274381531937E-5,329.0,54.40729483282675,8.827224357079517,329.0,5794136.0,100.0,58.0
336.0,15.651284043,2.3441239594542575E-5,336.0,55.05952380952381,10.13815090329437,336.0,5794136.0,100.0,59.0
343.0,15.994516681,2.3955727171164565E-5,343.0,55.68513119533528,11.378548359680432,343.0,5794136.0,100.0,60.0
350.0,16.357580833,2.4499941138720874E-5,350.0,56.00000000000001,12.020109689213896,350.0,5794136.0,100.0,53.0
357.0,16.672886186,2.4972567191727265E-5,357.0,55.74229691876751,11.511671686746991,357.0,5794136.0,100.0,55.0
364.0,17.000695526,2.5463936060123324E-5,364.0,55.769230769230774,11.538461538461542,364.0,5794136.0,100.0,59.0
371.0,17.428664649,2.610543914748796E-5,371.0,55.525606469002696,11.059613233178842,371.0,5794136.0,100.0,62.0
378.0,17.7318068,2.6559833203801358E-5,378.0,55.29100529100529,10.64204783885859,378.0,5794136.0,100.0,64.0
385.0,17.998900474,2.6960192499082957E-5,385.0,55.58441558441558,11.231713072203863,385.0,5794136.0,100.0,64.0
392.0,18.324268114,2.7447901388279027E-5,392.0,55.86734693877551,11.776031638653274,392.0,5794136.0,100.0,68.0
399.0,18.67215687,2.796936823960008E-5,399.0,56.14035087719298,12.268026988654203,399.0,5794136.0,100.0,57.0
406.0,19.029036778,2.8504312352379933E-5,406.0,56.65024630541872,13.277343560366988,406.0,5794136.0,100.0,63.0
413.0,19.360289087,2.9000842049266885E-5,413.0,56.416464891041166,12.86511322612404,413.0,5794136.0,100.0,63.0
420.0,19.615494536,2.938338152383963E-5,420.0,56.42857142857143,12.892696858425131,420.0,5794136.0,100.0,57.0
427.0,19.861354899,2.9751913208601126E-5,427.0,56.20608899297424,12.48561501956357,427.0,5794136.0,100.0,58.0
434.0,20.102358652,3.0113165091756175E-5,434.0,56.22119815668203,12.492571525596409,434.0,5794136.0,100.0,58.0
441.0,20.352237786,3.0487720701762183E-5,441.0,56.235827664399096,12.545852470639005,441.0,5794136.0,100.0,61.0
448.0,20.597250181,3.085498132732629E-5,448.0,56.02678571428571,12.151616499442575,448.0,5794136.0,100.0,55.0
455.0,20.85430856,3.1240298245999064E-5,455.0,55.824175824175825,11.76470588235294,455.0,5794136.0,100.0,53.0
462.0,21.139735357,3.166813792333041E-5,462.0,55.84415584415584,11.79245283018868,462.0,5794136.0,100.0,55.0
469.0,21.532233823,3.225647237129217E-5,469.0,55.437100213219615,10.98952988930559,469.0,5794136.0,100.0,53.0
476.0,21.786272078,3.2637262283771964E-5,476.0,55.46218487394958,11.049996474155552,476.0,5794136.0,100.0,58.0
483.0,22.019625585,3.298704685266448E-5,483.0,55.27950310559007,10.656664268831577,483.0,5794136.0,100.0,59.0
490.0,22.264333535,3.3353851131270515E-5,490.0,54.89795918367347,9.903988551841197,490.0,5794136.0,100.0,62.0
497.0,22.501976296,3.37100650651233E-5,497.0,54.72837022132797,9.537677466326905,497.0,5794136.0,100.0,59.0
504.0,22.753833595,3.408758583987279E-5,504.0,54.563492063492056,9.22704250165161,504.0,5794136.0,100.0,52.0
511.0,22.99917978,3.445534679899842E-5,511.0,54.794520547945204,9.665495787129505,511.0,5794136.0,100.0,58.0
