learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.877314177,6.45993215002101E-7,7.0,57.14285714285714,8.69565217391303,7.0,2846264.0,50.0,18.0
14.0,1.240556566,9.19706121358977E-7,14.0,57.14285714285714,16.000000000000004,14.0,2912736.0,50.0,42.0
21.0,1.394727691,1.0358782091382457E-6,21.0,61.904761904761905,23.636363636363647,21.0,2912736.0,50.0,39.0
28.0,1.548850443,1.152013846561443E-6,28.0,60.71428571428571,22.222222222222214,28.0,2912736.0,50.0,42.0
35.0,1.712172173,1.2750811612341614E-6,35.0,62.857142857142854,25.53191489361702,35.0,2912736.0,50.0,38.0
42.0,1.825287187,1.3603163655278397E-6,42.0,57.14285714285714,14.28571428571428,42.0,2912736.0,50.0,44.0
49.0,1.920964936,1.4324121218204063E-6,49.0,57.14285714285714,14.321398834304741,49.0,2912736.0,50.0,43.0
56.0,2.01461071,1.502976730318175E-6,56.0,57.14285714285714,14.28571428571428,56.0,2912736.0,50.0,41.0
63.0,2.108616288,1.5738124608037434E-6,63.0,53.96825396825397,7.866868381240541,63.0,2912736.0,50.0,42.0
70.0,2.239484424,1.6724251198402605E-6,70.0,51.42857142857142,2.7777777777777666,70.0,2912736.0,50.0,44.0
77.0,2.364308634,1.7664835181369446E-6,77.0,51.94805194805194,3.652350355089632,77.0,2912736.0,50.0,42.0
84.0,2.472296483,1.8478552657526048E-6,84.0,51.19047619047619,2.0477815699658724,84.0,2912736.0,50.0,44.0
91.0,2.590432272,1.936873758998867E-6,91.0,50.54945054945055,0.9194289862085558,91.0,2912736.0,50.0,43.0
98.0,2.702616913,2.0214079022227535E-6,98.0,47.95918367346938,-4.34237995824636,98.0,2912736.0,50.0,45.0
105.0,2.820419612,2.110175403198457E-6,105.0,50.476190476190474,0.9793253536452671,105.0,2912736.0,50.0,40.0
112.0,2.932331479,2.1945040038794588E-6,112.0,50.89285714285714,1.8483110261312843,112.0,2912736.0,50.0,41.0
119.0,3.044224836,2.2788186567777952E-6,119.0,52.10084033613446,4.235493434985179,119.0,2912736.0,50.0,44.0
126.0,3.152221838,2.360197301425046E-6,126.0,52.38095238095239,4.68986384266264,126.0,2912736.0,50.0,40.0
133.0,3.268601639,2.447892610501281E-6,133.0,52.63157894736842,5.289928789420135,133.0,2912736.0,50.0,35.0
140.0,3.37545827,2.5284119549396697E-6,140.0,54.285714285714285,8.571428571428562,140.0,2912736.0,50.0,34.0
147.0,3.490733483,2.6152749272596156E-6,147.0,53.74149659863946,7.495835646862862,147.0,2912736.0,50.0,36.0
154.0,3.607192409,2.7030298591507293E-6,154.0,53.246753246753244,6.493506493506485,154.0,2912736.0,50.0,34.0
161.0,3.74044753,2.8034411755619514E-6,161.0,53.41614906832298,6.7351510002317205,161.0,2912736.0,50.0,33.0
168.0,3.88387516,2.911517751005845E-6,168.0,52.38095238095239,4.599659284497445,168.0,2912736.0,50.0,37.0
175.0,4.012177544,3.0081970469267734E-6,175.0,52.57142857142857,5.170725337859888,175.0,2912736.0,50.0,38.0
182.0,4.139363559,3.104035128791165E-6,182.0,51.64835164835166,3.2382793620106494,182.0,2912736.0,50.0,38.0
189.0,4.253856296,3.190308484407223E-6,189.0,51.32275132275132,2.4680278214045432,189.0,2912736.0,50.0,37.0
196.0,4.363945203,3.2732634357155676E-6,196.0,52.55102040816326,4.565445026178009,196.0,2912736.0,50.0,36.0
