learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.965542156,7.153564094948768E-7,7.0,57.14285714285714,-23.529411764705912,7.0,2863872.0,50.0,0.0
14.0,1.229412774,9.138071928569467E-7,14.0,57.14285714285714,12.50000000000001,14.0,2907128.0,50.0,0.0
21.0,1.387800064,1.0331562743208102E-6,21.0,52.38095238095239,4.545454545454557,21.0,2912736.0,50.0,0.0
28.0,1.548705832,1.1544030966702393E-6,28.0,53.57142857142857,8.08080808080808,28.0,2912736.0,50.0,0.0
35.0,1.717067476,1.2812681220466187E-6,35.0,57.14285714285714,14.075286415711938,35.0,2912736.0,50.0,0.0
42.0,1.844440354,1.377247010205566E-6,42.0,54.761904761904766,9.523809523809534,42.0,2912736.0,50.0,0.0
49.0,1.957673957,1.4625715744991641E-6,49.0,55.10204081632652,10.316139767054901,49.0,2912736.0,50.0,0.0
56.0,2.068654465,1.5461983711328646E-6,56.0,55.35714285714286,10.71428571428572,56.0,2912736.0,50.0,0.0
63.0,2.175936158,1.6270380112165999E-6,63.0,53.96825396825397,7.773851590106007,63.0,2912736.0,50.0,0.0
70.0,2.282161003,1.7070812879175981E-6,70.0,51.42857142857142,2.618657937806861,70.0,2912736.0,50.0,0.0
77.0,2.389517663,1.787977417651419E-6,77.0,51.94805194805194,2.996254681647947,77.0,2912736.0,50.0,0.0
84.0,2.501560747,1.872404893869861E-6,84.0,52.38095238095239,3.6144578313253106,84.0,2912736.0,50.0,0.0
91.0,2.615384097,1.9581738483840762E-6,91.0,50.54945054945055,0.19497928345112425,91.0,2912736.0,50.0,0.0
98.0,2.727772592,2.0428616010778435E-6,98.0,47.95918367346938,-5.132519983172083,98.0,2912736.0,50.0,0.0
105.0,2.843229172,2.1298612383085774E-6,105.0,49.523809523809526,-1.0532050118031675,105.0,2912736.0,50.0,0.0
112.0,2.940691164,2.203301469673344E-6,112.0,50.89285714285714,1.5974440894568616,112.0,2912736.0,50.0,0.0
119.0,3.038374375,2.276908395502372E-6,119.0,49.57983193277311,-1.3053348467650434,119.0,2912736.0,50.0,0.0
126.0,3.134818757,2.349581830372367E-6,126.0,50.0,-0.60836501901141,126.0,2912736.0,50.0,0.0
133.0,3.243480346,2.4314612591924058E-6,133.0,50.37593984962406,0.38583749432592374,133.0,2912736.0,50.0,0.0
140.0,3.34776231,2.5100405228230144E-6,140.0,52.142857142857146,4.0114613180515795,140.0,2912736.0,50.0,0.0
147.0,3.446608938,2.584524114641526E-6,147.0,50.34013605442177,0.500695410292067,147.0,2912736.0,50.0,0.0
154.0,3.56289577,2.6721493690766675E-6,154.0,50.0,0.0,154.0,2912736.0,50.0,0.0
161.0,3.67927124,2.7598414146279575E-6,161.0,50.31055900621118,0.6785934608266444,161.0,2912736.0,50.0,0.0
168.0,3.787592717,2.8414645599116418E-6,168.0,49.404761904761905,-1.104502973661845,168.0,2912736.0,50.0,0.0
175.0,3.912468138,2.9355615470737E-6,175.0,49.714285714285715,-0.6009929448654241,175.0,2912736.0,50.0,0.0
182.0,4.037873895,3.0300581566705336E-6,182.0,48.9010989010989,-2.148461074230543,182.0,2912736.0,50.0,0.0
189.0,4.144878901,3.110689305660678E-6,189.0,49.2063492063492,-1.5446608462055027,189.0,2912736.0,50.0,0.0
196.0,4.262916377,3.1996337174181667E-6,196.0,50.51020408163265,0.958533027714095,196.0,2912736.0,50.0,0.0
