learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.037933015,3.1792495162754006E-8,7.0,28.57142857142857,-39.99999999999998,7.0,3239736.0,100.0,0.0
14.0,0.255574115,2.168165966322128E-7,14.0,42.857142857142854,-14.28571428571429,14.0,3286168.0,100.0,0.0
21.0,0.395289923,3.3559375699521143E-7,21.0,57.14285714285714,14.479638009049772,21.0,3286168.0,100.0,0.0
28.0,0.526697161,4.473075194120221E-7,28.0,53.57142857142857,7.14285714285714,28.0,3286168.0,100.0,0.0
35.0,0.663735623,5.638085768791392E-7,35.0,51.42857142857142,2.618657937806861,35.0,3286168.0,100.0,0.0
42.0,0.790370254,6.714649837604289E-7,42.0,45.23809523809524,-10.02277904328019,42.0,3286168.0,100.0,0.0
49.0,0.947124398,8.047270130610259E-7,49.0,42.857142857142854,-14.715719063545171,49.0,3286168.0,100.0,0.0
56.0,1.053748646,8.953719127654325E-7,56.0,41.07142857142857,-18.158567774936074,56.0,3286168.0,100.0,0.0
63.0,1.156261473,9.825215536410257E-7,63.0,46.03174603174603,-8.18181818181818,63.0,3286168.0,100.0,0.0
70.0,1.25596584,1.067283627149918E-6,70.0,47.14285714285714,-6.7600989282769905,70.0,3286168.0,100.0,0.0
77.0,1.354848861,1.1513474464887774E-6,77.0,49.35064935064935,-1.9002375296912133,77.0,3286168.0,100.0,0.0
84.0,1.45749562,1.2386109475128353E-6,84.0,52.38095238095239,4.545454545454557,84.0,3286168.0,100.0,0.0
91.0,1.582047391,1.3444966442663657E-6,91.0,52.74725274725275,5.460256100507371,91.0,3286168.0,100.0,0.0
98.0,1.696568915,1.4418552868987226E-6,98.0,52.04081632653062,4.081632653061229,98.0,3286168.0,100.0,0.0
105.0,1.79869737,1.528678160063943E-6,105.0,52.38095238095239,4.753265602322206,105.0,3286168.0,100.0,0.0
112.0,1.898558182,1.6135732327883069E-6,112.0,52.67857142857143,5.35714285714286,112.0,3286168.0,100.0,0.0
119.0,2.002372802,1.7018295721694867E-6,119.0,52.10084033613446,4.208445134867965,119.0,3286168.0,100.0,0.0
126.0,2.102220994,1.786713916202622E-6,126.0,50.79365079365079,1.5873015873015817,126.0,3286168.0,100.0,0.0
133.0,2.200843981,1.8705566717938642E-6,133.0,51.127819548872175,2.239059142824824,133.0,3286168.0,100.0,0.0
140.0,2.320973263,1.9726826602318075E-6,140.0,51.42857142857142,2.837313737497449,140.0,3286168.0,100.0,0.0
147.0,2.440217655,2.074056373584074E-6,147.0,51.70068027210885,3.3879477922799257,147.0,3286168.0,100.0,0.0
154.0,2.559246281,2.175246656921156E-6,154.0,51.94805194805194,3.8961038961038863,154.0,3286168.0,100.0,0.0
161.0,2.67727459,2.275586536753985E-6,161.0,50.931677018633536,1.867139881182008,161.0,3286168.0,100.0,0.0
168.0,2.795612657,2.376189752398032E-6,168.0,51.19047619047619,2.3809523809523725,168.0,3286168.0,100.0,0.0
175.0,2.915739418,2.4783135976481315E-6,175.0,52.0,3.9215686274509833,175.0,3286168.0,100.0,0.0
182.0,3.033776881,2.578661259607704E-6,182.0,51.64835164835166,3.249969795819765,182.0,3286168.0,100.0,0.0
189.0,3.15074,2.6780955851925333E-6,189.0,52.38095238095239,4.69520394441955,189.0,3286168.0,100.0,0.0
196.0,3.256313635,2.7678473230524303E-6,196.0,52.55102040816326,5.082274526140381,196.0,3286168.0,100.0,0.0
203.0,3.370021438,2.864514193786594E-6,203.0,52.70935960591133,5.306122448979592,203.0,3286168.0,100.0,0.0
210.0,3.487005266,2.9639661247966733E-6,210.0,53.333333333333336,6.5904139433551165,210.0,3286168.0,100.0,0.0
217.0,3.604304989,3.063686608890401E-6,217.0,52.53456221198156,4.998512347515617,217.0,3286168.0,100.0,0.0
224.0,3.722891471,3.1645010105749825E-6,224.0,52.67857142857143,5.3495973849956195,224.0,3286168.0,100.0,0.0
231.0,3.828554613,3.2543288413798712E-6,231.0,51.94805194805194,3.8979048761290755,231.0,3286168.0,100.0,0.0
238.0,3.924835139,3.336180191203764E-6,238.0,51.68067226890757,3.3613445378151363,238.0,3286168.0,100.0,0.0
245.0,4.020504737,3.417512170356113E-6,245.0,50.61224489795918,1.226135341352075,245.0,3286168.0,100.0,0.0
252.0,4.11604396,3.4987333132866776E-6,252.0,50.79365079365079,1.581102362204708,252.0,3286168.0,100.0,0.0
259.0,4.216709505,3.584312516904737E-6,259.0,51.35135135135135,2.701252236135954,259.0,3286168.0,100.0,0.0
266.0,4.317527425,3.6700212596928396E-6,266.0,51.127819548872175,2.2556390977443552,266.0,3286168.0,100.0,0.0
273.0,4.426289414,3.7624835257297056E-6,273.0,50.54945054945055,1.0949198937283495,273.0,3286168.0,100.0,0.0
280.0,4.523818828,3.845396597719293E-6,280.0,50.0,-0.005102301137804887,280.0,3286168.0,100.0,0.0
287.0,4.621746303,3.92864807490374E-6,287.0,50.522648083623686,0.9863945578231248,287.0,3286168.0,100.0,0.0
294.0,4.726529707,4.01772801051338E-6,294.0,50.68027210884354,1.3514138936455862,294.0,3286168.0,100.0,0.0
301.0,4.82890018,4.104756631411861E-6,301.0,50.83056478405316,1.6513599434828707,301.0,3286168.0,100.0,0.0
308.0,4.924168107,4.185747136385568E-6,308.0,50.97402597402597,1.923239139603536,308.0,3286168.0,100.0,0.0
