learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.259740053,5.8806859035434E-8,3.0,33.33333333333333,-50.000000000000014,3.0,875168.0,50.0,20.0
6.0,0.412482076,9.588028368722647E-8,6.0,66.66666666666666,-20.000000000000057,6.0,938224.0,50.0,45.0
9.0,0.492501769,1.1547665642445907E-7,9.0,55.55555555555556,5.263157894736842,9.0,946632.0,50.0,24.0
12.0,0.56260031,1.3277033663819027E-7,12.0,58.333333333333336,11.764705882352947,12.0,953632.0,50.0,38.0
15.0,0.631445285,1.4975475550037912E-7,15.0,60.0,18.181818181818183,15.0,953632.0,50.0,25.0
18.0,0.688309603,1.6378348301788792E-7,18.0,50.0,0.0,18.0,953632.0,50.0,23.0
21.0,0.75156946,1.794063891480118E-7,21.0,52.38095238095239,5.4054054054054115,21.0,954632.0,50.0,29.0
24.0,0.801728797,1.9179393870412683E-7,24.0,50.0,2.7027027027026933,24.0,954632.0,50.0,19.0
27.0,0.872636091,2.0930548632117403E-7,27.0,48.148148148148145,-1.612903225806455,27.0,954632.0,50.0,26.0
30.0,0.935509195,2.2483287839070585E-7,30.0,46.666666666666664,-5.263157894736832,30.0,954632.0,50.0,18.0
33.0,0.999138821,2.4054710414516636E-7,33.0,42.42424242424242,-14.625228519195609,33.0,954632.0,50.0,21.0
36.0,1.048976528,2.528552226760321E-7,36.0,41.66666666666667,-15.950920245398766,36.0,954632.0,50.0,15.0
39.0,1.091138105,2.6326761358246414E-7,39.0,43.58974358974359,-12.59842519685039,39.0,954632.0,50.0,24.0
42.0,1.131565775,2.732517919132755E-7,42.0,47.61904761904761,-4.524886877828056,42.0,954632.0,50.0,21.0
45.0,1.172615865,2.8338968556521875E-7,45.0,46.666666666666664,-6.508875739644952,45.0,954632.0,50.0,26.0
48.0,1.212823308,2.933194757593589E-7,48.0,50.0,-0.5235602094240988,48.0,954632.0,50.0,22.0
51.0,1.26042709,3.050758952786898E-7,51.0,52.94117647058824,5.990783410138256,51.0,954632.0,50.0,23.0
54.0,1.320735165,3.199698175746803E-7,54.0,50.0,0.0,54.0,954632.0,50.0,21.0
57.0,1.363612206,3.30558902318904E-7,57.0,50.877192982456144,1.4814814814815116,57.0,954632.0,50.0,20.0
60.0,1.403125022,3.4031714466372716E-7,60.0,53.333333333333336,6.249999999999996,60.0,954632.0,50.0,19.0
63.0,1.46447512,3.554684091082216E-7,63.0,53.96825396825397,7.587253414264042,63.0,954632.0,50.0,28.0
66.0,1.502179242,3.647799691821677E-7,66.0,54.54545454545454,8.83977900552486,66.0,954632.0,50.0,25.0
69.0,1.535333411,3.7296785474930174E-7,69.0,56.52173913043478,12.952060555088302,69.0,954632.0,50.0,21.0
72.0,1.568307535,3.811112756864541E-7,72.0,58.333333333333336,16.666666666666675,72.0,954632.0,50.0,21.0
75.0,1.600428181,3.890439182989238E-7,75.0,58.666666666666664,17.11229946524065,75.0,954632.0,50.0,19.0
78.0,1.630884786,3.9656560272127814E-7,78.0,60.256410256410255,20.40816326530613,78.0,954632.0,50.0,19.0
81.0,1.660961261,4.0399340872548735E-7,81.0,60.49382716049383,20.68543451652387,81.0,954632.0,50.0,22.0
84.0,1.690670302,4.113304717662559E-7,84.0,59.523809523809526,18.863636363636367,84.0,954632.0,50.0,22.0
87.0,1.720559018,4.1871190806033305E-7,87.0,57.47126436781609,14.773629864972193,87.0,954632.0,50.0,24.0
90.0,1.750227902,4.2603905376851154E-7,90.0,56.666666666666664,13.075780089153035,90.0,954632.0,50.0,23.0
93.0,1.779993614,4.333901125050544E-7,93.0,58.06451612903226,15.513626834381581,93.0,954632.0,50.0,23.0
96.0,1.812331071,4.413762996252358E-7,96.0,57.291666666666664,13.910761154855637,96.0,954632.0,50.0,19.0
99.0,1.84168876,4.4862659137730806E-7,99.0,58.58585858585859,16.014897579143387,99.0,954632.0,50.0,19.0
102.0,1.871040146,4.558753265154073E-7,102.0,59.80392156862745,17.90341578327443,102.0,954632.0,50.0,19.0
105.0,1.901091137,4.6329683888952154E-7,105.0,59.04761904761905,16.342412451361863,105.0,954632.0,50.0,21.0
108.0,1.930352004,4.705232190950133E-7,108.0,58.333333333333336,14.915966386554627,108.0,954632.0,50.0,23.0
111.0,1.959541246,4.77731910505357E-7,111.0,58.55855855855856,14.871623874624888,111.0,954632.0,50.0,18.0
114.0,1.988608008,4.849103537672925E-7,114.0,58.77192982456141,14.979371628054603,114.0,954632.0,50.0,25.0
117.0,2.017947092,4.921560507544959E-7,117.0,59.82905982905983,16.44127032365902,117.0,954632.0,50.0,24.0
120.0,2.06222512,5.030911288257442E-7,120.0,60.83333333333333,18.96551724137931,120.0,954632.0,50.0,22.0
