learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.476402311,2.161777447874037E-7,3.0,33.33333333333333,0.0,3.0,1754040.0,100.0,0.0
6.0,0.721358845,3.333010023496859E-7,6.0,50.0,18.18181818181818,6.0,1848232.0,100.0,0.0
9.0,0.870675128,4.056992656173557E-7,9.0,44.44444444444444,-4.651162790697674,9.0,1874232.0,100.0,0.0
12.0,0.979131983,4.5870708382878454E-7,12.0,50.0,0.0,12.0,1889232.0,100.0,0.0
15.0,1.096215492,5.159917210002202E-7,15.0,40.0,-17.391304347826082,15.0,1891232.0,100.0,0.0
18.0,1.249198232,5.908801029198575E-7,18.0,44.44444444444444,-7.1428571428571415,18.0,1892232.0,100.0,0.0
21.0,1.432420353,6.806187198945383E-7,21.0,52.38095238095239,7.894736842105271,21.0,1893232.0,100.0,0.0
24.0,1.60644794,7.658540336633432E-7,24.0,54.166666666666664,11.999999999999991,24.0,1893232.0,100.0,0.0
27.0,1.76440405,8.432178518351706E-7,27.0,51.85185185185185,6.896551724137938,27.0,1893232.0,100.0,0.0
30.0,1.928644019,9.236593814364158E-7,30.0,50.0,2.597402597402593,30.0,1893232.0,100.0,0.0
33.0,2.000112534,9.586632644737387E-7,33.0,51.515151515151516,6.049822064056932,33.0,1893232.0,100.0,0.0
36.0,2.067167895,9.915056708602358E-7,36.0,52.77777777777778,7.2727272727272725,36.0,1893232.0,100.0,0.0
39.0,2.133863678,1.0241719629640338E-6,39.0,56.41025641025641,14.00778210116732,39.0,1893232.0,100.0,0.0
42.0,2.207579358,1.0602764635365828E-6,42.0,59.523809523809526,19.7752808988764,42.0,1893232.0,100.0,0.0
45.0,2.303454806,1.1072163291299135E-6,45.0,60.0,20.275590551181118,45.0,1892504.0,100.0,0.0
48.0,2.407819891,1.1583126542551587E-6,48.0,62.5,24.34325744308231,48.0,1892504.0,100.0,0.0
51.0,2.495160927,1.2007552755287972E-6,51.0,62.745098039215684,25.74712643678161,51.0,1878392.0,100.0,0.0
54.0,2.599544952,1.2520630811428776E-6,54.0,62.96296296296296,25.92592592592593,54.0,1899992.0,100.0,0.0
57.0,2.6871761,1.2955567539755504E-6,57.0,64.91228070175438,29.10447761194031,57.0,1918536.0,100.0,0.0
60.0,2.806159127,1.3552984774600467E-6,60.0,66.66666666666666,32.43243243243242,60.0,1940864.0,100.0,0.0
63.0,2.952357994,1.4312257947830982E-6,63.0,66.66666666666666,32.39652529381706,63.0,2007504.0,100.0,0.0
66.0,3.072831151,1.493792651887735E-6,66.0,66.66666666666666,32.02247191011236,66.0,2007504.0,100.0,0.0
69.0,3.159770499,1.539549614356359E-6,69.0,66.66666666666666,32.26632522407168,69.0,2034432.0,100.0,0.0
72.0,3.245561783,1.584124401693518E-6,72.0,68.05555555555556,35.41341653666147,72.0,2008392.0,100.0,0.0
75.0,3.333562845,1.6306727306292496E-6,75.0,68.0,35.01805054151626,75.0,2044648.0,100.0,0.0
78.0,3.428547008,1.6815501299134746E-6,78.0,69.23076923076923,37.80730897009967,78.0,2070504.0,100.0,0.0
81.0,3.516383497,1.7289154339027798E-6,81.0,67.90123456790124,34.95985176034589,81.0,2084432.0,100.0,0.0
84.0,3.599710136,1.7739307434293255E-6,84.0,67.85714285714286,35.051546391752595,84.0,2088232.0,100.0,0.0
87.0,3.678691202,1.8163398634130507E-6,87.0,65.51724137931035,30.511182108626183,87.0,2075576.0,100.0,0.0
90.0,3.764394793,1.8623086442483443E-6,90.0,65.55555555555556,30.075187969924812,90.0,2073320.0,100.0,0.0
93.0,3.84946264,1.90819012947394E-6,93.0,66.66666666666666,31.698649609097355,93.0,2084848.0,100.0,0.0
96.0,3.939583433,1.9573314801383367E-6,96.0,66.66666666666666,31.182795698924725,96.0,2107776.0,100.0,0.0
99.0,4.029871117,2.006563833654359E-6,99.0,67.67676767676768,32.56704980842912,99.0,2107776.0,100.0,0.0
102.0,4.124971815,2.058420642646785E-6,102.0,68.62745098039215,33.8199513381995,102.0,2107776.0,100.0,0.0
105.0,4.228436502,2.11477780900729E-6,105.0,69.52380952380952,34.95934959349592,105.0,2105520.0,100.0,0.0
108.0,4.330533999,2.1713267561489697E-6,108.0,68.51851851851852,32.59911894273127,108.0,2140976.0,100.0,0.0
111.0,4.426241911,2.2247360154514202E-6,111.0,69.36936936936937,34.34237995824636,111.0,2157104.0,100.0,0.0
114.0,4.52007636,2.277099799316474E-6,114.0,69.2982456140351,33.74294254400533,114.0,2157104.0,100.0,0.0
117.0,4.664233805,2.3575039794292136E-6,117.0,70.08547008547008,34.69940998245893,117.0,2155976.0,100.0,0.0
120.0,4.82432973,2.4478717453042295E-6,120.0,70.83333333333334,36.936936936936945,120.0,2181904.0,100.0,0.0
123.0,4.944270239,2.5151580919750596E-6,123.0,70.73170731707317,36.99487763232783,123.0,2168520.0,100.0,0.0
126.0,5.051514716,2.576277949158084E-6,126.0,70.63492063492063,36.398362892223744,126.0,2202976.0,100.0,0.0
129.0,5.150457079,2.6331819514662466E-6,129.0,71.31782945736434,38.38905382728798,129.0,2223120.0,100.0,0.0
132.0,5.231764189,2.6804284835440856E-6,132.0,71.21212121212122,37.81304240019838,132.0,2246176.0,100.0,0.0
135.0,5.324753691,2.734750451029604E-6,135.0,71.85185185185186,39.14590747330962,135.0,2258104.0,100.0,0.0
138.0,5.417821543,2.7890896816427246E-6,138.0,72.46376811594203,40.42263122017723,138.0,2256920.0,100.0,0.0
141.0,5.513607559,2.846286077131702E-6,141.0,72.3404255319149,40.35144809632282,141.0,2308176.0,100.0,0.0
144.0,5.607069302,2.902494211191153E-6,144.0,70.83333333333334,37.30043541364297,144.0,2324704.0,100.0,0.0
