learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.481558141,2.162081085813087E-7,3.0,33.33333333333333,0.0,3.0,1735504.0,100.0,0.0
6.0,0.722826876,3.3204195110352504E-7,6.0,50.0,18.18181818181818,6.0,1855824.0,100.0,0.0
9.0,0.856061395,3.9702187383446844E-7,9.0,44.44444444444444,-4.651162790697674,9.0,1885232.0,100.0,0.0
12.0,0.949040185,4.4251296216347567E-7,12.0,50.0,0.0,12.0,1891232.0,100.0,0.0
15.0,1.036625799,4.853880271015069E-7,15.0,46.666666666666664,-9.09090909090908,15.0,1892232.0,100.0,0.0
18.0,1.12097882,5.26680667387092E-7,18.0,50.0,0.0,18.0,1892232.0,100.0,0.0
21.0,1.205317678,5.679663745758249E-7,21.0,57.14285714285714,16.000000000000004,21.0,1892232.0,100.0,0.0
24.0,1.293981876,6.113694298644302E-7,24.0,58.333333333333336,18.918918918918916,24.0,1892232.0,100.0,0.0
27.0,1.377216979,6.521363579307476E-7,27.0,55.55555555555556,12.903225806451617,27.0,1893232.0,100.0,0.0
30.0,1.472798273,6.98950209257195E-7,30.0,50.0,2.597402597402593,30.0,1893232.0,100.0,0.0
33.0,1.53849621,7.31127775875746E-7,33.0,48.484848484848484,-0.7181328545781005,33.0,1893232.0,100.0,0.0
36.0,1.59552482,7.590592754209808E-7,36.0,50.0,1.2195121951219567,36.0,1893232.0,100.0,0.0
39.0,1.652775263,7.870994244377461E-7,39.0,51.28205128205128,3.137254901960778,39.0,1893232.0,100.0,0.0
42.0,1.705998033,8.131668978699608E-7,42.0,54.761904761904766,9.932279909706555,42.0,1893232.0,100.0,0.0
45.0,1.759985935,8.396091180145722E-7,45.0,53.333333333333336,6.896551724137937,45.0,1893232.0,100.0,0.0
48.0,1.814781406,8.664468696854866E-7,48.0,56.25,11.88811188811187,48.0,1893232.0,100.0,0.0
51.0,1.868466766,8.927409106664217E-7,51.0,56.86274509803921,13.957055214723923,51.0,1893232.0,100.0,0.0
54.0,1.925171337,9.205137022371655E-7,54.0,55.55555555555556,11.111111111111116,54.0,1893232.0,100.0,0.0
57.0,1.984068583,9.493604232051951E-7,57.0,56.14035087719298,11.54562383612663,57.0,1893232.0,100.0,0.0
60.0,2.039725638,9.766201618946284E-7,60.0,56.666666666666664,12.162162162162153,60.0,1893232.0,100.0,0.0
63.0,2.09379594,1.0031027399501641E-6,63.0,57.14285714285714,13.081246806336221,63.0,1893232.0,100.0,0.0
66.0,2.153148958,1.0321726891436534E-6,66.0,56.060606060606055,10.644257703081227,66.0,1893232.0,100.0,0.0
69.0,2.208073153,1.059073487316095E-6,69.0,56.52173913043478,11.839863713798966,69.0,1893232.0,100.0,0.0
72.0,2.262940086,1.0859462396791268E-6,72.0,58.333333333333336,15.887850467289724,72.0,1893232.0,100.0,0.0
75.0,2.319054266,1.113429869266999E-6,75.0,58.666666666666664,16.21621621621621,75.0,1893232.0,100.0,0.0
78.0,2.376392135,1.141512837831343E-6,78.0,60.256410256410255,19.774386197743866,78.0,1893232.0,100.0,0.0
81.0,2.430807039,1.1681641952172234E-6,81.0,59.25925925925925,17.57631822386678,81.0,1893232.0,100.0,0.0
84.0,2.487216356,1.1957923771443738E-6,84.0,59.523809523809526,18.306636155606412,84.0,1893232.0,100.0,0.0
87.0,2.544732418,1.2239626211604334E-6,87.0,57.47126436781609,14.365522745410994,87.0,1893232.0,100.0,0.0
90.0,2.598264357,1.2501815195315148E-6,90.0,57.77777777777777,14.414414414414395,90.0,1893232.0,100.0,0.0
93.0,2.652106268,1.2765522361351822E-6,93.0,59.13978494623656,16.45390070921987,93.0,1893232.0,100.0,0.0
96.0,2.704600834,1.3022630494682846E-6,96.0,60.416666666666664,18.27956989247311,96.0,1893232.0,100.0,0.0
99.0,2.760343817,1.329564874014149E-6,99.0,61.61616161616161,19.923371647509565,99.0,1893232.0,100.0,0.0
102.0,2.818976415,1.3582819755597229E-6,102.0,62.745098039215684,21.41119221411191,102.0,1893232.0,100.0,0.0
105.0,2.874075969,1.3852686611460213E-6,105.0,63.8095238095238,22.764227642276406,105.0,1893232.0,100.0,0.0
108.0,2.962348189,1.428502670756055E-6,108.0,64.81481481481481,23.99999999999999,108.0,1893232.0,100.0,0.0
111.0,3.065047369,1.4788027236499618E-6,111.0,64.86486486486487,23.691168693812813,111.0,1893232.0,100.0,0.0
114.0,3.129552474,1.5103960644480773E-6,114.0,64.91228070175438,23.206466823846412,114.0,1893232.0,100.0,0.0
117.0,3.192178134,1.5410688897862722E-6,117.0,65.8119658119658,24.247329232761412,117.0,1893232.0,100.0,0.0
120.0,3.255889764,1.5722736020240624E-6,120.0,65.83333333333333,24.77064220183485,120.0,1893232.0,100.0,0.0
123.0,3.317637311,1.60251634476231E-6,123.0,65.04065040650406,23.800605100129665,123.0,1893232.0,100.0,0.0
126.0,3.378796977,1.6324711548666718E-6,126.0,65.07936507936508,23.36190212883605,126.0,1893232.0,100.0,0.0
129.0,3.445911769,1.6653426693964233E-6,129.0,65.89147286821705,25.842696629213474,129.0,1893232.0,100.0,0.0
132.0,3.504450867,1.6940139764678293E-6,132.0,66.66666666666666,26.759142496847403,132.0,1893232.0,100.0,0.0
135.0,3.564504892,1.7234272652009234E-6,135.0,67.4074074074074,28.34740651387212,135.0,1893232.0,100.0,0.0
138.0,3.622990692,1.7520724679527123E-6,138.0,68.11594202898551,29.868329868329873,138.0,1893232.0,100.0,0.0
141.0,3.682441268,1.7811901991495264E-6,141.0,68.08510638297872,30.051813471502587,141.0,1893232.0,100.0,0.0
144.0,3.736065807,1.8074544511923507E-6,144.0,67.36111111111111,28.4263959390863,144.0,1893232.0,100.0,0.0
147.0,3.795183173,1.8364089826379616E-6,147.0,67.3469387755102,28.073394495412842,147.0,1893232.0,100.0,0.0
150.0,3.847051771,1.8618132090683264E-6,150.0,67.33333333333333,27.643236857649146,150.0,1893232.0,100.0,0.0
153.0,3.915589544,1.895381671904452E-6,153.0,66.66666666666666,26.22671835113926,153.0,1893232.0,100.0,0.0
156.0,3.971479674,1.9227555661774864E-6,156.0,66.66666666666666,26.481783578031532,156.0,1893232.0,100.0,0.0
159.0,4.02545985,1.949194002278168E-6,159.0,66.66666666666666,26.80448189003735,159.0,1893232.0,100.0,0.0
162.0,4.081854104,1.976630165298567E-6,162.0,66.66666666666666,27.027027027027025,162.0,1880576.0,100.0,0.0
165.0,4.131828854,2.0009431988197424E-6,165.0,67.27272727272727,27.73722627737226,165.0,1880576.0,100.0,0.0
168.0,4.193370985,2.0308881672314122E-6,168.0,66.07142857142857,25.327510917030573,168.0,1880848.0,100.0,0.0
171.0,4.249674396,2.0584578364937463E-6,171.0,66.08187134502924,25.056672207949234,171.0,1892776.0,100.0,0.0
174.0,4.306218824,2.0863141552959343E-6,174.0,65.51724137931035,24.369747899159652,174.0,1904304.0,100.0,0.0
177.0,4.354043495,2.1098747310963604E-6,177.0,66.10169491525424,25.05292872265349,177.0,1904304.0,100.0,0.0
180.0,4.406583913,2.1357584951660615E-6,180.0,66.66666666666666,25.70170610897081,180.0,1904304.0,100.0,0.0
183.0,4.463574126,2.1638344276334053E-6,183.0,66.12021857923497,24.5411013567438,183.0,1904304.0,100.0,0.0
186.0,4.523469108,2.1933568743379493E-6,186.0,66.12903225806451,24.214202561117574,186.0,1905304.0,100.0,0.0
189.0,4.585599424,2.2239811250113446E-6,189.0,66.13756613756614,23.962786019612786,189.0,1905304.0,100.0,0.0
192.0,4.648241532,2.2548576397566083E-6,192.0,66.14583333333334,24.23506556580865,192.0,1905304.0,100.0,0.0
195.0,4.715093854,2.2875905014755616E-6,195.0,66.15384615384615,23.92717815344602,195.0,1892648.0,100.0,0.0
198.0,4.780270298,2.319720785568609E-6,198.0,65.65656565656566,22.80701754385965,198.0,1905576.0,100.0,0.0
201.0,4.838794279,2.3485715792048204E-6,201.0,66.16915422885572,23.37706020854355,201.0,1905576.0,100.0,0.0
204.0,4.905592097,2.381282454498412E-6,204.0,66.17647058823529,23.715586386299574,204.0,1892920.0,100.0,0.0
207.0,4.97015451,2.4128986525050053E-6,207.0,66.66666666666666,24.82235907153007,207.0,1892920.0,100.0,0.0
210.0,5.041510602,2.4482747082305946E-6,210.0,66.66666666666666,25.06881435416453,210.0,1916376.0,100.0,0.0
213.0,5.108982867,2.4817252874267164E-6,213.0,66.66666666666666,25.351695542721746,213.0,1916376.0,100.0,0.0
216.0,5.170692416,2.5123412473752206E-6,216.0,66.66666666666666,25.115562403697982,216.0,1917776.0,100.0,0.0
219.0,5.234270143,2.5439005141207868E-6,219.0,66.66666666666666,24.82719706587671,219.0,1918776.0,100.0,0.0
222.0,5.293032741,2.5730696051287818E-6,222.0,67.11711711711712,25.324854852087363,222.0,1918776.0,100.0,0.0
225.0,5.345238431,2.598983920944859E-6,225.0,67.11111111111111,25.033768572714987,225.0,1918776.0,100.0,0.0
228.0,5.394459417,2.6234166633524912E-6,228.0,67.10526315789474,25.819885476314404,228.0,1918776.0,100.0,0.0
231.0,5.448157309,2.650071691414482E-6,231.0,67.53246753246754,27.71310552009012,231.0,1918776.0,100.0,0.0
234.0,5.498632862,2.6751271867337306E-6,234.0,67.09401709401709,27.164685908319182,234.0,1918776.0,100.0,0.0
237.0,5.547062707,2.6991672156703018E-6,237.0,67.08860759493672,26.903914590747334,237.0,1918776.0,100.0,0.0
240.0,5.594160483,2.7225460205764117E-6,240.0,67.08333333333333,26.682134570765655,240.0,1918776.0,100.0,0.0
243.0,5.643292907,2.746934801805918E-6,243.0,67.48971193415639,28.398791540785506,243.0,1918776.0,100.0,0.0
246.0,5.690988905,2.7706105573669494E-6,246.0,67.47967479674797,28.143712574850305,246.0,1918776.0,100.0,0.0
249.0,5.738300068,2.7940952851735907E-6,249.0,67.06827309236948,27.2189349112426,249.0,1918776.0,100.0,0.0
252.0,5.784816512,2.8171855234303186E-6,252.0,67.46031746031747,27.672383619180962,252.0,1918776.0,100.0,0.0
255.0,5.832235582,2.840723815054942E-6,255.0,67.05882352941175,27.16763005780345,255.0,1918776.0,100.0,0.0
258.0,5.881881836,2.8653676557022193E-6,258.0,67.05426356589147,26.96329847465529,258.0,1918776.0,100.0,0.0
261.0,5.933198799,2.8908408174572683E-6,261.0,67.04980842911877,27.495316234898898,261.0,1918776.0,100.0,0.0
264.0,5.981107903,2.9146223564335998E-6,264.0,66.66666666666666,26.634244931472246,264.0,1918776.0,100.0,0.0
267.0,6.029590602,2.9386886214997605E-6,267.0,66.66666666666666,26.78620944634439,267.0,1918776.0,100.0,0.0
