learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5.0,0.138016589,1.879682072279768E-8,5.0,20.0,-66.66666666666667,5.0,526448.0,50.0,4.779999999999999,0.2986910218446685,4726.5599999999995,97.04349607579192,0.9799999999999999,0.02,0.9799999999999999,0.02,0.9799999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.266232533,3.6569069046804473E-8,10.0,40.0,-36.363636363636374,10.0,535800.0,50.0,9.880000000000004,0.41170625549817247,4913.599999999999,10.077900656022221,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,0.324835533,4.469759672287024E-8,15.0,46.666666666666664,-11.111111111111112,15.0,536160.0,50.0,14.94,0.5098299036073158,4920.800000000001,7.199999999999989,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,0.375998687,5.179894568221436E-8,20.0,50.0,7.407407407407414,20.0,536520.0,50.0,20.000000000000007,0.6375975315548971,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,0.425429413,5.865983691342589E-8,25.0,56.00000000000001,15.384615384615397,25.0,536520.0,50.0,24.960000000000008,0.6933856599825148,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,0.465670762,6.42452600060631E-8,30.0,50.0,0.8810572687224726,30.0,536520.0,50.0,29.840000000000007,0.765778248927594,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.499107185,6.888617224683778E-8,35.0,54.285714285714285,8.196721311475397,35.0,536520.0,50.0,34.96,0.9350150058819858,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,0.531576998,7.339292084872515E-8,40.0,55.00000000000001,10.000000000000009,40.0,536520.0,50.0,40.00000000000001,0.9868523450954595,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,0.564584755,7.797433505986299E-8,45.0,57.77777777777777,16.422287390029314,45.0,536520.0,50.0,44.81999999999999,1.0212797094322197,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,0.596835245,8.24506420443745E-8,50.0,60.0,21.011058451816748,50.0,536520.0,50.0,50.32,1.0611660894448876,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,0.630557194,8.713118475364933E-8,55.0,60.0,21.018276762402085,55.0,536520.0,50.0,55.02,1.0952550723321888,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,0.66347583,9.170022913863052E-8,60.0,60.0,21.39737991266375,60.0,536520.0,50.0,60.18,1.224141515095208,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65.0,0.697453917,9.641632331761633E-8,65.0,61.53846153846154,24.942263279445722,65.0,536520.0,50.0,65.37999999999997,1.317043690100163,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.729940365,1.0092538082602535E-7,70.0,62.857142857142854,27.60540970564837,70.0,536520.0,50.0,70.16,1.3679598991616255,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,0.762711618,1.0547396872949888E-7,75.0,62.66666666666667,27.536231884057976,75.0,536520.0,50.0,75.42000000000002,1.4237318023061643,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,0.794589444,1.0989855065600116E-7,80.0,65.0,31.70731707317073,80.0,536520.0,50.0,80.08,1.477405337276214,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85.0,0.835614025,1.1559268486813123E-7,85.0,63.52941176470588,28.918262746155914,85.0,536520.0,50.0,85.63999999999996,1.5770703917099465,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.861992957,1.1925403071297124E-7,90.0,62.22222222222222,26.618705035971228,90.0,536520.0,50.0,90.87999999999998,1.63023473957662,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95.0,0.887170635,1.2274864477573995E-7,95.0,61.05263157894737,24.97331910352188,95.0,536520.0,50.0,96.3,1.708382693828121,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,0.911983678,1.261926481905062E-7,100.0,63.0,28.2389449185415,100.0,536520.0,50.0,101.09999999999997,1.750626709938764,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
