learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
5.0,0.116037362,1.583823739915672E-8,5.0,60.0,16.66666666666666,5.0,527608.0,50.0,24.0
10.0,0.222137331,3.06090685145412E-8,10.0,50.0,0.0,10.0,538136.0,50.0,44.0
15.0,0.263171371,3.6321670323330906E-8,15.0,40.0,-19.46902654867256,15.0,538136.0,50.0,43.0
20.0,0.302975387,4.186303290421971E-8,20.0,45.0,-12.244897959183673,20.0,538136.0,50.0,31.0
25.0,0.339664375,4.697073322355126E-8,25.0,40.0,-22.950819672131146,25.0,538136.0,50.0,29.0
30.0,0.375585832,5.1971580818196136E-8,30.0,43.333333333333336,-16.438356164383553,30.0,538136.0,50.0,35.0
35.0,0.409677127,5.671764027227337E-8,35.0,48.57142857142857,-6.779661016949152,35.0,538136.0,50.0,33.0
40.0,0.444122838,6.15130401637695E-8,40.0,50.0,-4.1666666666666705,40.0,538136.0,50.0,30.0
45.0,0.478378153,6.62819338537318E-8,45.0,53.333333333333336,3.669724770642203,45.0,538136.0,50.0,31.0
50.0,0.513036775,7.110697439878559E-8,50.0,54.0,4.958677685950417,50.0,538136.0,50.0,29.0
55.0,0.548352,7.602342469743557E-8,55.0,58.18181818181818,10.600706713780909,55.0,538136.0,50.0,29.0
60.0,0.583020736,8.08498732748131E-8,60.0,56.666666666666664,6.698564593301431,60.0,538136.0,50.0,26.0
65.0,0.617742979,8.568377089169498E-8,65.0,56.92307692307692,8.99999999999999,65.0,538136.0,50.0,30.0
70.0,0.652799118,9.056415223022717E-8,70.0,60.0,15.590008613264406,70.0,538136.0,50.0,30.0
75.0,0.688317519,9.550888791303876E-8,75.0,61.33333333333333,17.955488494907566,75.0,538136.0,50.0,28.0
80.0,0.724352547,1.0052554642710628E-7,80.0,61.25000000000001,16.778523489932887,80.0,538136.0,50.0,26.0
85.0,0.759240726,1.0538254501805124E-7,85.0,61.1764705882353,16.790269949569865,85.0,538136.0,50.0,31.0
90.0,0.791317642,1.0984817034672947E-7,90.0,61.111111111111114,16.88654353562006,90.0,538136.0,50.0,32.0
95.0,0.823927864,1.143880404931307E-7,95.0,61.05263157894737,15.888968652787746,95.0,538136.0,50.0,30.0
100.0,0.857172716,1.1901626139626736E-7,100.0,62.0,17.570498915401295,100.0,538136.0,50.0,32.0
105.0,0.878409161,1.2197271789236822E-7,105.0,62.857142857142854,18.11637672465506,105.0,538136.0,50.0,30.0
110.0,0.898947218,1.2483194748729055E-7,110.0,63.63636363636363,18.578830495928933,110.0,538136.0,50.0,30.0
115.0,0.919298504,1.2766517553928827E-7,115.0,65.21739130434783,21.421250427058443,115.0,538136.0,50.0,30.0
120.0,0.940021471,1.3055014759584643E-7,120.0,65.83333333333333,21.65605095541401,120.0,538136.0,50.0,30.0
125.0,0.960215149,1.3336143406602866E-7,125.0,66.4,23.80261248185778,125.0,538136.0,50.0,28.0
130.0,0.982904934,1.3652021898781676E-7,130.0,66.92307692307692,23.945578231292505,130.0,538136.0,50.0,31.0
135.0,1.003063804,1.393266596216212E-7,135.0,67.4074074074074,24.943138741470815,135.0,538136.0,50.0,28.0
140.0,1.023376317,1.4215448984513476E-7,140.0,67.85714285714286,25.00000000000001,140.0,538136.0,50.0,31.0
145.0,1.042627169,1.4483451969245038E-7,145.0,68.27586206896552,24.971878515185615,145.0,538136.0,50.0,28.0
150.0,1.067135382,1.482464591922901E-7,150.0,66.66666666666666,21.63009404388714,150.0,538136.0,50.0,28.0
155.0,1.086923177,1.5100124018653194E-7,155.0,67.0967741935484,21.693907875185754,155.0,538136.0,50.0,28.0
160.0,1.10703731,1.5380145270662592E-7,160.0,66.25,20.58823529411765,160.0,538136.0,50.0,30.0
165.0,1.128830686,1.568354430024202E-7,165.0,66.06060606060606,19.666145018257698,165.0,538136.0,50.0,29.0
170.0,1.149921243,1.5977158953019524E-7,170.0,67.05882352941175,20.679886685552393,170.0,538136.0,50.0,27.0
175.0,1.171546127,1.627821230154009E-7,175.0,66.85714285714286,19.762845849802368,175.0,538136.0,50.0,28.0
180.0,1.194779703,1.660166124364341E-7,180.0,66.11111111111111,18.0597014925373,180.0,538136.0,50.0,35.0
185.0,1.214680255,1.687870910281378E-7,185.0,65.94594594594595,17.193605683836598,185.0,538136.0,50.0,32.0
190.0,1.234072105,1.7148675007671744E-7,190.0,65.78947368421053,16.407201841072183,190.0,538136.0,50.0,29.0
195.0,1.257082876,1.746902214394262E-7,195.0,66.15384615384615,16.47196261682242,195.0,538136.0,50.0,28.0
200.0,1.277292843,1.7750377560176996E-7,200.0,66.0,16.615573267933804,200.0,538136.0,50.0,29.0
205.0,1.313650059,1.8256528789459216E-7,205.0,65.85365853658537,15.88511137162956,205.0,538136.0,50.0,28.0
210.0,1.338912922,1.8608228687565778E-7,210.0,66.66666666666666,16.666666666666664,210.0,538136.0,50.0,27.0
215.0,1.359235805,1.889115607708341E-7,215.0,66.04651162790698,16.154709119076863,215.0,538136.0,50.0,34.0
