learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
5.0,0.23333451,6.374369475884984E-8,5.0,20.0,-42.85714285714287,5.0,1055992.0,100.0,0.0
10.0,0.415485506,1.1381917785678886E-7,10.0,40.0,-15.384615384615378,10.0,1062664.0,100.0,0.0
15.0,0.503203214,1.3795361083020352E-7,15.0,46.666666666666664,-3.448275862068966,15.0,1063536.0,100.0,0.0
20.0,0.569165031,1.5610218182559642E-7,20.0,55.00000000000001,2.467162276944792E-14,20.0,1063536.0,100.0,0.0
25.0,0.632650685,1.735694674646192E-7,25.0,52.0,-7.142857142857123,25.0,1063536.0,100.0,0.0
30.0,0.694832803,1.9067810143640472E-7,30.0,46.666666666666664,-12.676056338028156,30.0,1063536.0,100.0,0.0
35.0,0.785499325,2.1562386379195585E-7,35.0,45.714285714285715,-15.652173913043491,35.0,1063536.0,100.0,0.0
40.0,0.858736497,2.3577415794688796E-7,40.0,47.5,-15.3846153846154,40.0,1063536.0,100.0,0.0
45.0,0.930442925,2.555032869880729E-7,45.0,48.888888888888886,-8.604407135362013,45.0,1063536.0,100.0,0.0
50.0,1.001612817,2.7508479484278293E-7,50.0,50.0,-6.112054329371827,50.0,1063536.0,100.0,0.0
55.0,1.071351154,2.94272428199595E-7,55.0,52.72727272727272,-3.924418604651161,55.0,1063536.0,100.0,0.0
60.0,1.140095555,3.1318659246654145E-7,60.0,55.00000000000001,-1.7587939698492452,60.0,1063536.0,100.0,0.0
65.0,1.209141409,3.32183697765453E-7,65.0,55.38461538461539,2.077922077922084,65.0,1063536.0,100.0,0.0
70.0,1.267513082,3.4824393533532407E-7,70.0,57.14285714285714,6.997342781222309,70.0,1063536.0,100.0,0.0
75.0,1.339497872,3.680496522079119E-7,75.0,57.333333333333336,6.103286384976514,75.0,1063536.0,100.0,0.0
80.0,1.397033969,3.838799914661878E-7,80.0,56.25,3.4482758620689653,80.0,1063536.0,100.0,0.0
85.0,1.45187394,3.989685252929438E-7,85.0,54.11764705882353,-0.851840584119261,85.0,1063536.0,100.0,0.0
90.0,1.505364768,4.1368585925541406E-7,90.0,53.333333333333336,-1.340482573726572,90.0,1063536.0,100.0,0.0
95.0,1.559300212,4.285255237631707E-7,95.0,53.68421052631579,-1.7031630170316434,95.0,1063536.0,100.0,0.0
100.0,1.620805448,4.454479220975646E-7,100.0,56.00000000000001,2.3524189968930433,100.0,1063536.0,100.0,0.0
105.0,1.673595112,4.599723395332901E-7,105.0,57.14285714285714,3.1166700840680757,105.0,1063536.0,100.0,0.0
110.0,1.714673507,4.7127454741568204E-7,110.0,58.18181818181818,3.9483675018982463,110.0,1063536.0,100.0,0.0
115.0,1.754673652,4.822800882630258E-7,115.0,57.391304347826086,1.880550235068791,115.0,1063536.0,100.0,0.0
120.0,1.793244121,4.928922715958788E-7,120.0,58.333333333333336,2.597402597402614,120.0,1063536.0,100.0,0.0
