learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
3.0,0.478418205,2.5017792950353275E-7,3.0,33.33333333333333,0.0,3.0,2021360.0,100.0,2.18,0.16041612554021284,14467.84,561.3033661330771,0.8699999999999998,0.03379976689896311,0.8699999999999998,0.03379976689896311,0.8699999999999998,0.03379976689896311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.837542926,4.5697365443603654E-7,6.0,33.33333333333333,-33.333333333333336,6.0,2225864.0,100.0,4.5500000000000025,0.23457462037750915,16512.880000000012,296.78029600525986,0.97,0.01714466079977653,0.97,0.01714466079977653,0.97,0.01714466079977653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,1.005477955,5.567134409677879E-7,9.0,44.44444444444444,0.0,9.0,2295776.0,100.0,7.209999999999998,0.32233209551327613,17212.000000000004,39.79949748426478,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,1.16942697,6.540858584768884E-7,12.0,58.333333333333336,16.666666666666675,12.0,2295776.0,100.0,8.499999999999998,0.3568945745927463,17212.000000000004,39.79949748426478,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15.0,1.30324366,7.339733863403421E-7,15.0,60.0,11.764705882352942,15.0,2307656.0,100.0,12.039999999999997,0.4177670318841506,17330.80000000001,13.199999999999937,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,1.463944459,8.299653960317767E-7,18.0,61.111111111111114,8.695652173913055,18.0,2308976.0,100.0,15.659999999999998,0.4697345048540771,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,1.599642942,9.110226787354487E-7,21.0,66.66666666666666,27.58620689655172,21.0,2308976.0,100.0,18.259999999999998,0.5420909760018389,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,1.709754887,9.7679625893764E-7,24.0,66.66666666666666,28.888888888888882,24.0,2308976.0,100.0,21.020000000000003,0.5952641379584309,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,1.821330069,1.043443879973224E-6,27.0,70.37037037037037,36.470588235294116,27.0,2308976.0,100.0,23.550000000000004,0.6067590672223742,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.928886095,1.1076907235135863E-6,30.0,70.0,38.356164383561634,30.0,2308976.0,100.0,26.14,0.68328085533895,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,2.029930741,1.1680481000696268E-6,33.0,72.72727272727273,44.692737430167604,33.0,2308976.0,100.0,27.209999999999997,0.7156680851350072,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,2.137118293,1.2320748416565504E-6,36.0,75.0,49.056603773584904,36.0,2308976.0,100.0,30.969999999999995,0.7252244514979518,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39.0,2.239151119,1.293022491470267E-6,39.0,76.92307692307693,52.75908479138628,39.0,2308976.0,100.0,32.040000000000006,0.7472400395908111,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,2.349435283,1.3588989438922602E-6,42.0,78.57142857142857,55.10688836104514,42.0,2308976.0,100.0,33.839999999999996,0.808880008831266,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,2.460619675,1.4253131328746078E-6,45.0,80.0,56.96068012752391,45.0,2308976.0,100.0,34.01999999999998,0.8206895351661997,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,2.582121225,1.4978901084571892E-6,48.0,81.25,60.439560439560445,48.0,2308976.0,100.0,36.859999999999985,0.941095428774684,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
51.0,2.762463194,1.6056144517320499E-6,51.0,82.35294117647058,62.65256305939787,51.0,2308976.0,100.0,41.37000000000001,1.0089153091365501,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,2.941535769,1.7125805431381675E-6,54.0,83.33333333333334,64.62882096069869,54.0,2308976.0,100.0,43.6,1.0510216290098242,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
57.0,3.136052498,1.828771948853046E-6,57.0,84.21052631578947,66.9671603348358,57.0,2308976.0,100.0,45.47999999999999,1.0576780362108442,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,3.334184534,1.9471228994285666E-6,60.0,83.33333333333334,64.74735605170389,60.0,2308976.0,100.0,49.120000000000005,1.0758393481511555,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,3.533463878,2.066159175785542E-6,63.0,84.12698412698413,66.84210526315789,63.0,2308976.0,100.0,51.43,1.116474881766787,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,3.729043927,2.182985738415509E-6,66.0,84.84848484848484,68.98496240601504,66.0,2308976.0,100.0,51.75,1.130868531865502,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
69.0,3.872110519,2.2684442412433916E-6,69.0,84.05797101449275,67.12862711130359,69.0,2308976.0,100.0,54.43999999999999,1.1859718769554752,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,3.98863548,2.338048532293656E-6,72.0,84.72222222222221,68.06451612903226,72.0,2308976.0,100.0,57.57,1.2185647295076287,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75.0,4.166018027,2.4440051129495825E-6,75.0,85.33333333333334,69.2737430167598,75.0,2308976.0,100.0,59.60000000000001,1.2567394079099852,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78.0,4.291975045,2.519243489907249E-6,78.0,85.8974358974359,70.02096436058699,78.0,2308976.0,100.0,59.99999999999999,1.26650716699133,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81.0,4.416258425,2.593482146414764E-6,81.0,86.41975308641975,70.68114511352418,81.0,2308976.0,100.0,60.209999999999994,1.276144366615488,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,4.575247006,2.6884513905202614E-6,84.0,85.71428571428571,69.32440657334143,84.0,2308976.0,100.0,78.79,1.5850497873198903,17344.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
