learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.346365133,9.179485155955577E-8,3.0,33.33333333333333,0.0,3.0,1024440.0,50.0,0.0
6.0,0.5252208,1.4415408423266684E-7,6.0,33.33333333333333,-33.333333333333336,6.0,1131600.0,50.0,0.0
9.0,0.619947033,1.7254683158082268E-7,9.0,44.44444444444444,0.0,9.0,1158616.0,50.0,0.0
12.0,0.69307875,1.9446695125789072E-7,12.0,58.333333333333336,16.666666666666675,12.0,1158616.0,50.0,0.0
15.0,0.757998142,2.1401422742344233E-7,15.0,60.0,11.764705882352942,15.0,1163896.0,50.0,0.0
18.0,0.816525312,2.316368008939115E-7,18.0,61.111111111111114,8.695652173913055,18.0,1163896.0,50.0,0.0
21.0,0.877321351,2.4994253247107483E-7,21.0,61.904761904761905,14.285714285714285,21.0,1163896.0,50.0,0.0
24.0,0.936434924,2.677416723115018E-7,24.0,62.5,18.181818181818187,24.0,1163896.0,50.0,0.0
27.0,0.990412751,2.839944352946389E-7,27.0,66.66666666666666,27.027027027027025,27.0,1163896.0,50.0,0.0
30.0,1.044307263,3.0022211207065733E-7,30.0,70.0,38.356164383561634,30.0,1163896.0,50.0,0.0
33.0,1.097224049,3.161553948366973E-7,33.0,72.72727272727273,44.692737430167604,33.0,1163896.0,50.0,0.0
36.0,1.149388691,3.3186220649708887E-7,36.0,72.22222222222221,43.74999999999999,36.0,1163896.0,50.0,0.0
39.0,1.199494704,3.4694916346775367E-7,39.0,74.35897435897436,47.860962566844925,39.0,1163896.0,50.0,0.0
42.0,1.249630309,3.620450306111491E-7,42.0,76.19047619047619,50.588235294117645,42.0,1163896.0,50.0,0.0
45.0,1.31509077,3.817552230462742E-7,45.0,77.77777777777779,52.73109243697479,45.0,1163896.0,50.0,0.0
48.0,1.382480523,4.020463267063225E-7,48.0,79.16666666666666,56.442831215970955,48.0,1163896.0,50.0,0.0
51.0,1.455605303,4.2406425116878827E-7,51.0,80.3921568627451,58.8709677419355,51.0,1163896.0,50.0,0.0
54.0,1.508671054,4.400423874047129E-7,54.0,81.48148148148148,61.03896103896103,54.0,1163896.0,50.0,0.0
57.0,1.547137862,4.5162477128137107E-7,57.0,82.45614035087719,63.554987212276224,57.0,1163896.0,50.0,0.0
60.0,1.586363911,4.634357631755413E-7,60.0,83.33333333333334,64.74735605170389,60.0,1163896.0,50.0,0.0
63.0,1.648972014,4.822871085415346E-7,63.0,84.12698412698413,66.84210526315789,63.0,1163896.0,50.0,0.0
66.0,1.689306637,4.944318928736863E-7,66.0,84.84848484848484,68.98496240601504,66.0,1163896.0,50.0,0.0
69.0,1.725683721,5.053850593334934E-7,69.0,84.05797101449275,67.12862711130359,69.0,1163896.0,50.0,0.0
72.0,1.761978473,5.16313435568197E-7,72.0,84.72222222222221,68.06451612903226,72.0,1163896.0,50.0,0.0
75.0,1.798518257,5.27315591116382E-7,75.0,85.33333333333334,69.2737430167598,75.0,1163896.0,50.0,0.0
78.0,1.834416388,5.381245444794103E-7,78.0,85.8974358974359,70.02096436058699,78.0,1163896.0,50.0,0.0
81.0,1.869259299,5.486157703326767E-7,81.0,86.41975308641975,70.68114511352418,81.0,1163896.0,50.0,0.0
84.0,1.90381649,5.590209656860576E-7,84.0,84.52380952380952,66.98911729141474,84.0,1163896.0,50.0,0.0
87.0,1.93822258,5.693806644183997E-7,87.0,81.60919540229885,61.03023516237401,87.0,1163896.0,50.0,0.0
90.0,1.972217532,5.796165691998042E-7,90.0,81.11111111111111,59.63060686015831,90.0,1163896.0,50.0,0.0
93.0,2.006367816,5.898992445594258E-7,93.0,81.72043010752688,60.38586820345779,93.0,1163896.0,50.0,0.0
96.0,2.040825389,6.002744448605262E-7,96.0,82.29166666666666,61.58192090395479,96.0,1163896.0,50.0,0.0
99.0,2.080903749,6.123420682169248E-7,99.0,80.8080808080808,58.320407711056944,99.0,1163896.0,50.0,0.0
102.0,2.116150482,6.229548851682059E-7,102.0,81.37254901960785,58.992805755395686,102.0,1163896.0,50.0,0.0
105.0,2.151070651,6.33469373461484E-7,105.0,81.9047619047619,61.073170731707314,105.0,1163896.0,50.0,0.0
108.0,2.187260292,6.443661006976105E-7,108.0,81.48148148148148,60.352422907488965,108.0,1163896.0,50.0,0.0
111.0,2.221406323,6.546474954758378E-7,111.0,81.98198198198197,60.97046413502108,111.0,1163896.0,50.0,0.0
114.0,2.257934803,6.656462473813983E-7,114.0,81.57894736842105,60.24576552640318,114.0,1163896.0,50.0,0.0
117.0,2.295082361,6.768314041231904E-7,117.0,82.05128205128204,61.227710272999836,117.0,1163896.0,50.0,0.0
120.0,2.330079168,6.873689681740291E-7,120.0,82.5,62.52230814991076,120.0,1163896.0,50.0,0.0
123.0,2.373076382,7.00315460593541E-7,123.0,82.11382113821138,61.84433164128597,123.0,1163896.0,50.0,0.0
126.0,2.409831274,7.113823853170355E-7,126.0,82.53968253968253,62.377850162866444,126.0,1163896.0,50.0,0.0
129.0,2.444124178,7.217080036624252E-7,129.0,82.94573643410853,63.54059609455294,129.0,1163896.0,50.0,0.0
132.0,2.478846623,7.321629571154424E-7,132.0,83.33333333333334,64.33308769344143,132.0,1163896.0,50.0,0.0
135.0,2.513883372,7.427125477315423E-7,135.0,83.7037037037037,65.0916784203103,135.0,1163896.0,50.0,0.0
138.0,2.549151763,7.533318859223814E-7,138.0,84.05797101449275,66.08579088471849,138.0,1163896.0,50.0,0.0
141.0,2.584629863,7.640143676457015E-7,141.0,84.39716312056737,67.01403658017865,141.0,1163896.0,50.0,0.0
144.0,2.619244829,7.744369590936186E-7,144.0,84.72222222222221,67.43421052631578,144.0,1163896.0,50.0,0.0
147.0,2.657524686,7.85963051888154E-7,147.0,84.35374149659864,66.72571597283734,147.0,1163896.0,50.0,0.0
150.0,2.69234245,7.964467059614239E-7,150.0,84.66666666666667,67.360454115421,150.0,1163896.0,50.0,0.0
153.0,2.726431314,8.067108877143573E-7,153.0,84.9673202614379,67.9712387366888,153.0,1163896.0,50.0,0.0
156.0,2.761647741,8.173145795069882E-7,156.0,84.61538461538461,67.31272917757988,156.0,1163896.0,50.0,0.0
