learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
190.0,0.248830882,3.6251115046909285E-8,190.0,73.15789473684211,31.63538873994638,190.0,563144.0,50.0,191.29999999999995,1.9525493539452048,5456.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.434090323,6.350264844203574E-8,380.0,75.78947368421053,34.52938312296342,380.0,568608.0,50.0,379.53999999999996,3.053563993307573,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
570.0,0.530923665,7.774676490395846E-8,570.0,75.96491228070175,38.320458746031015,570.0,568608.0,50.0,567.26,3.723045713895429,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
760.0,0.615517584,9.019047085605147E-8,760.0,75.0,37.58212877792377,760.0,568608.0,50.0,755.7200000000001,4.095297452504493,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
950.0,0.692428597,1.0150402674237472E-7,950.0,74.21052631578947,36.6173402974832,950.0,568608.0,50.0,946.64,4.242617597855439,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
1140.0,0.769212439,1.1279887586409432E-7,1140.0,74.6,37.0289567631892,1140.0,568608.0,50.0,1135.2600000000002,4.158277704697909,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
1330.0,0.870465436,1.2769312046619337E-7,1330.0,72.89999999999999,33.66362808549802,1330.0,568608.0,50.0,1323.88,4.533110838877761,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
1520.0,0.970579353,1.424198072019178E-7,1520.0,72.0,31.096936766674528,1520.0,568608.0,50.0,1514.3199999999995,5.007377414518357,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
1710.0,1.058454331,1.5534615462387187E-7,1710.0,71.8,31.734996223638085,1710.0,568608.0,50.0,1703.06,5.23959883181598,5564.8,108.80000000000003,1.0400000000000003,0.04,1.02,0.020000000000000004,1.02,0.020000000000000004,0.019999999999999997,0.019999999999999993,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,1.145834485,1.685673665183617E-7,1900.0,70.89999999999999,28.89953088350272,1900.0,584872.0,50.0,1893.9199999999996,4.923483087640877,5888.480000000001,206.9212099681758,1.2000000000000006,0.08571428571428572,1.0999999999999999,0.04285714285714286,1.0999999999999999,0.04285714285714286,0.10000000000000003,0.04285714285714286,0.0,0.0,0.0,0.0,1.0,0.0
2090.0,1.226337958,1.813054017335135E-7,2090.0,70.39999999999999,27.436396530675257,2090.0,611632.0,50.0,2082.9599999999996,4.83118779496348,6421.28,327.6054259848177,1.3999999999999997,0.127775312999988,1.2000000000000002,0.063887656499994,1.2000000000000002,0.063887656499994,0.2,0.06388765649999399,0.0,0.0,0.0,0.0,1.0,0.0
2280.0,1.31823432,1.9625218364616234E-7,2280.0,70.5,28.023500936914438,2280.0,628712.0,50.0,2273.8600000000006,5.326024669066991,6761.600000000002,398.09138116153935,1.4799999999999998,0.14635712542703655,1.2400000000000002,0.07317856271351827,1.2400000000000002,0.07317856271351827,0.24000000000000005,0.07317856271351827,0.0,0.0,0.0,0.0,1.0,0.0
2470.0,1.405413609,2.1139305567060287E-7,2470.0,71.8,30.708444724013184,2470.0,671336.0,50.0,2466.200000000001,5.756983337031396,7610.080000000003,533.5544972184573,1.84,0.20674345731572047,1.42,0.10337172865786023,1.42,0.10337172865786023,0.42000000000000004,0.10337172865786023,0.0,0.0,0.0,0.0,1.0,0.0
2660.0,1.485766148,2.2571165247610667E-7,2660.0,71.0,29.8785205818632,2660.0,688816.0,50.0,2659.259999999999,5.817763789481677,7958.400000000002,606.1714285714286,1.92,0.22285714285714286,1.46,0.11142857142857143,1.46,0.11142857142857143,0.46,0.11142857142857143,0.0,0.0,0.0,0.0,1.0,0.0
2850.0,1.572889647,2.4159725761224414E-7,2850.0,72.0,31.865853599186266,2850.0,704808.0,50.0,2850.6800000000007,6.189091127103536,8276.8,643.3658837770023,2.04,0.23726330848030505,1.5200000000000002,0.11863165424015253,1.5200000000000002,0.11863165424015253,0.5200000000000002,0.11863165424015255,0.0,0.0,0.0,0.0,1.0,0.0
3040.0,1.673387533,2.603580457988009E-7,3040.0,72.89999999999999,34.51891944135696,3040.0,721600.0,50.0,3042.42,6.339258309799916,8611.2,696.6599170326938,2.1600000000000006,0.256124969497314,1.5800000000000003,0.128062484748657,1.5800000000000003,0.128062484748657,0.5799999999999997,0.128062484748657,0.0,0.0,0.0,0.0,1.0,0.0
3230.0,1.768688607,2.782834131962475E-7,3230.0,72.5,35.834017770477104,3230.0,727064.0,50.0,3233.2,6.413824355027416,8720.0,695.0977027199347,2.2000000000000006,0.25555062599997597,1.6000000000000003,0.12777531299998798,1.6000000000000003,0.12777531299998798,0.5999999999999999,0.12777531299998798,0.0,0.0,0.0,0.0,1.0,0.0
