learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
190.0,0.204791582,2.8378061893934178E-8,190.0,100.0,?,190.0,535640.0,50.0,97.52000000000001,2.035048011267367,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,0.37125209,5.144456957353073E-8,380.0,100.0,?,380.0,535640.0,50.0,192.76,3.4034268444781195,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
570.0,0.452647364,6.272354940701691E-8,570.0,100.0,?,570.0,535640.0,50.0,288.54,4.930224153533146,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
760.0,0.521794513,7.230530103444019E-8,760.0,100.0,?,760.0,535640.0,50.0,384.44000000000005,7.1925221939319774,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
950.0,0.59139378,8.194970285706223E-8,950.0,100.0,?,950.0,535640.0,50.0,481.54,9.270370179518512,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1140.0,0.647627035,8.974197036778142E-8,1140.0,100.0,?,1140.0,535640.0,50.0,577.9199999999998,11.570893814803995,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1330.0,0.697104672,9.659810884495578E-8,1330.0,100.0,?,1330.0,535640.0,50.0,674.4599999999999,13.042449062619355,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1520.0,0.746793188,1.0348346892028222E-7,1520.0,100.0,?,1520.0,535640.0,50.0,770.62,14.947387731640607,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1710.0,0.795508082,1.102339137558929E-7,1710.0,100.0,?,1710.0,535640.0,50.0,867.0200000000001,17.031746827615773,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,0.848415575,1.1756532892610672E-7,1900.0,100.0,?,1900.0,535640.0,50.0,965.0599999999998,19.075604893182714,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2090.0,0.897711329,1.2439626379392835E-7,2090.0,100.0,?,2090.0,535640.0,50.0,1061.6,21.006024403120406,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2280.0,0.94687396,1.3120875174759164E-7,2280.0,100.0,?,2280.0,535640.0,50.0,1158.1200000000001,22.761167073122856,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2470.0,0.994434437,1.3779922849878462E-7,2470.0,100.0,?,2470.0,535640.0,50.0,1256.2599999999998,24.73404346487748,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2660.0,1.040830118,1.442282989428482E-7,2660.0,100.0,?,2660.0,535640.0,50.0,1354.8200000000002,26.111154704455338,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2850.0,1.086435749,1.5054789180204066E-7,2850.0,100.0,?,2850.0,535640.0,50.0,1452.0399999999995,27.729362025970723,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3040.0,1.131142606,1.5674294114263936E-7,3040.0,100.0,?,3040.0,535640.0,50.0,1549.8999999999996,29.320456743943627,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3230.0,1.174719045,1.627813479510757E-7,3230.0,100.0,?,3230.0,535640.0,50.0,1645.9800000000002,31.31928388161426,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3420.0,1.218455516,1.6884193046593833E-7,3420.0,100.0,?,3420.0,535640.0,50.0,1742.0,33.277313470842785,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3610.0,1.261883103,1.7485971078559137E-7,3610.0,100.0,?,3610.0,535640.0,50.0,1839.7800000000002,35.32007915954797,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,1.30403951,1.8070134311924794E-7,3800.0,100.0,?,3800.0,535640.0,50.0,1935.2999999999997,36.98467691532011,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3990.0,1.34625755,1.8655151596551557E-7,3990.0,100.0,?,3990.0,535640.0,50.0,2034.4400000000005,38.87975350555945,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4180.0,1.388226454,1.9236716592388439E-7,4180.0,100.0,?,4180.0,535640.0,50.0,2129.0800000000004,40.53872766647132,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4370.0,1.430151852,1.9817678723620875E-7,4370.0,100.0,?,4370.0,535640.0,50.0,2225.0599999999995,42.60788860561586,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4560.0,1.472035803,2.0398066521904747E-7,4560.0,100.0,?,4560.0,535640.0,50.0,2321.1799999999994,44.51983909976977,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4750.0,1.513900966,2.0978193974025138E-7,4750.0,100.0,?,4750.0,535640.0,50.0,2418.1200000000003,46.66308806492666,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4940.0,1.555729357,2.155781187488284E-7,4940.0,100.0,?,4940.0,535640.0,50.0,2514.7200000000003,48.16520922400149,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5130.0,1.597571145,2.2137615418573846E-7,5130.0,100.0,?,5130.0,535640.0,50.0,2611.3599999999997,50.20744525649231,4888.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
