learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
190.0,0.689453263,1.9915193302124325E-7,190.0,65.78947368421053,18.352505619463187,190.0,1116560.0,100.0,67.0
380.0,1.021198858,2.9497826391429537E-7,380.0,70.0,25.080419217598838,380.0,1116560.0,100.0,68.0
570.0,1.244959244,3.5961254124235776E-7,570.0,71.2280701754386,32.02640993572031,570.0,1116560.0,100.0,66.0
760.0,1.450597844,4.1901225242159435E-7,760.0,69.86842105263158,31.418753842031432,760.0,1116560.0,100.0,64.0
950.0,1.673137081,4.83608363183921E-7,950.0,68.94736842105263,30.454570270042254,950.0,1122024.0,100.0,65.0
1140.0,1.922948359,5.564738043692563E-7,1140.0,69.6,32.07007508044331,1140.0,1127488.0,100.0,68.0
1330.0,2.123684231,6.150248353399357E-7,1330.0,68.89999999999999,31.140455757189265,1330.0,1127488.0,100.0,64.0
1520.0,2.27491207,6.591352666081344E-7,1520.0,67.0,26.983396466881448,1520.0,1127488.0,100.0,64.0
1710.0,2.448863787,7.098738429671713E-7,1710.0,67.7,29.68906458157376,1710.0,1127488.0,100.0,65.0
1900.0,2.650797739,7.68774332250839E-7,1900.0,65.8,25.693527080581248,1900.0,1127488.0,100.0,65.0
2090.0,2.814915456,8.166445082944322E-7,2090.0,66.9,27.773413633586465,2090.0,1127488.0,100.0,64.0
2280.0,2.96685077,8.609612972515842E-7,2280.0,65.8,26.155600082913015,2280.0,1127488.0,100.0,65.0
2470.0,3.122571306,9.063821671502479E-7,2470.0,69.39999999999999,33.54760250173731,2470.0,1127488.0,100.0,64.0
2660.0,3.302987218,9.590062325246488E-7,2660.0,68.89999999999999,32.817184975243876,2660.0,1127488.0,100.0,65.0
2850.0,3.513008928,1.020265774848629E-6,2850.0,71.6,37.83571994554058,2850.0,1127488.0,100.0,65.0
3040.0,3.705954217,1.0765444333630655E-6,3040.0,72.1,39.27019755687705,3040.0,1127488.0,100.0,63.0
3230.0,3.935351612,1.1551327634240127E-6,3230.0,72.1,40.57963606624411,3230.0,1324256.0,100.0,58.0
3420.0,4.40480019,1.3927427126618577E-6,3420.0,72.5,40.645773979107304,3420.0,1956496.0,100.0,56.0
3610.0,4.882866411,1.6650764365977338E-6,3610.0,72.39999999999999,40.35063453093122,3610.0,2201992.0,100.0,48.0
3800.0,5.337353047,1.940504372174181E-6,3800.0,71.6,38.030234263170755,3800.0,2342552.0,100.0,54.0
3990.0,5.62270991,2.1167334903014037E-6,3990.0,72.39999999999999,40.44767810675401,3990.0,2387216.0,100.0,49.0
4180.0,5.872563877,2.2714252671622215E-6,4180.0,73.5,41.54704029504407,4180.0,2393224.0,100.0,47.0
4370.0,6.144960513,2.4410423874835564E-6,4370.0,74.5,43.83655777566339,4370.0,2406968.0,100.0,49.0
4560.0,6.435398771,2.622842868688949E-6,4560.0,76.6,48.452926948545446,4560.0,2419600.0,100.0,43.0
4750.0,6.723748749,2.8041436171728143E-6,4750.0,77.7,50.965733183225446,4750.0,2430424.0,100.0,45.0
4940.0,6.955614877,2.949373356985129E-6,4940.0,78.3,51.338745122662246,4940.0,2421144.0,100.0,45.0
5130.0,7.229567979,3.121302260895518E-6,5130.0,77.7,50.41755974350537,5130.0,2425912.0,100.0,44.0
5320.0,7.520416405,3.3042130408248614E-6,5320.0,77.60000000000001,50.36890966698425,5320.0,2430944.0,100.0,50.0
5510.0,7.775190409,3.465065607310962E-6,5510.0,77.4,49.42510215681799,5510.0,2440480.0,100.0,43.0
5700.0,8.035531377,3.6291397894311922E-6,5700.0,77.10000000000001,48.41087471727357,5700.0,2436128.0,100.0,42.0
5890.0,8.30203072,3.797509365227181E-6,5890.0,77.7,51.08576442202237,5890.0,2442136.0,100.0,45.0
6080.0,8.558154244,3.962032363693747E-6,6080.0,77.4,50.461410315424914,6080.0,2483016.0,100.0,46.0
6270.0,8.822780793,4.132055685504035E-6,6270.0,78.4,51.375663519591555,6270.0,2483576.0,100.0,49.0
6460.0,9.083825132,4.300660210019313E-6,6460.0,76.5,47.29570919790797,6460.0,2496648.0,100.0,46.0
6650.0,9.329814883,4.4599601984159934E-6,6650.0,75.7,47.16931907122359,6650.0,2503232.0,100.0,48.0
6840.0,9.584562084,4.627810060948402E-6,6840.0,75.0,44.60889448215963,6840.0,2546912.0,100.0,44.0
7030.0,9.875563492,4.829851419006193E-6,7030.0,73.4,42.064843814659774,7030.0,2683784.0,100.0,43.0
7220.0,10.14108029,5.020439735680102E-6,7220.0,73.8,43.54543299790989,7220.0,2774640.0,100.0,45.0
7410.0,10.428999836,5.234220602244851E-6,7410.0,73.2,43.41001136022907,7410.0,2870120.0,100.0,41.0
7600.0,10.702009547,5.443707764445479E-6,7600.0,75.3,47.50667324072972,7600.0,2966072.0,100.0,51.0
7790.0,10.997840654,5.6787574899706904E-6,7790.0,74.5,46.3907295906354,7790.0,3071272.0,100.0,38.0
7980.0,11.325876985,5.947249145713827E-6,7980.0,74.8,46.36175167193825,7980.0,3163816.0,100.0,50.0
8170.0,11.601766876,6.177927539620393E-6,8170.0,75.0,46.49430699426419,8170.0,3232016.0,100.0,49.0
8360.0,11.944158022,6.47265242928061E-6,8360.0,76.3,48.783334053680264,8360.0,3327336.0,100.0,52.0
8550.0,12.264514207,6.75330166771135E-6,8550.0,75.1,45.864857813722935,8550.0,3386360.0,100.0,42.0
8740.0,12.697212726,7.143795605174218E-6,8740.0,74.1,44.35229509182945,8740.0,3488440.0,100.0,39.0
8930.0,13.045182798,7.458879660926127E-6,8930.0,76.2,48.83414955047146,8930.0,3500152.0,100.0,40.0
9120.0,13.389942047,7.775388810114839E-6,9120.0,77.0,50.55401006978334,9120.0,3548728.0,100.0,36.0
9310.0,13.746928001,8.111119040138626E-6,9310.0,75.7,48.18807515500934,9310.0,3635312.0,100.0,38.0
9500.0,14.092190661,8.443042467349043E-6,9500.0,75.9,48.45052105614402,9500.0,3716128.0,100.0,44.0
9690.0,14.424229668,8.766111708660687E-6,9690.0,77.3,50.83344884945939,9690.0,3761048.0,100.0,43.0
9880.0,14.741510053,9.076180276000815E-6,9880.0,77.7,51.466030574224334,9880.0,3777608.0,100.0,43.0
10070.0,15.069439014,9.39901787384946E-6,10070.0,77.4,50.96848097750626,10070.0,3805456.0,100.0,49.0
10260.0,15.43737673,9.764935503944072E-6,10260.0,78.3,52.41311555937615,10260.0,3844248.0,100.0,43.0
10450.0,15.768163144,1.0097827862395408E-5,10450.0,77.9,51.40080045740424,10450.0,3890080.0,100.0,37.0
10640.0,16.112345441,1.0449137777484001E-5,10640.0,78.60000000000001,52.390275157512555,10640.0,3945520.0,100.0,42.0
10830.0,16.440773456,1.0786334936841525E-5,10830.0,78.0,51.25690711782093,10830.0,3968680.0,100.0,41.0
11020.0,16.761610566,1.1119847382444981E-5,11020.0,77.2,50.21486217377634,11020.0,4018184.0,100.0,40.0
11210.0,17.111239262,1.1484289615260273E-5,11210.0,77.5,51.26030032319837,11210.0,4029248.0,100.0,40.0
11400.0,17.55510327,1.1947598291300297E-5,11400.0,77.4,51.63002534073009,11400.0,4034808.0,100.0,42.0
11590.0,17.90801009,1.2319088979348932E-5,11590.0,77.0,51.292031799950024,11590.0,4069024.0,100.0,38.0
11780.0,18.292351335,1.2731859208058502E-5,11780.0,76.8,50.7658875509849,11780.0,4151392.0,100.0,39.0
11970.0,18.610672525,1.3077670895644876E-5,11970.0,77.2,50.764446747862145,11970.0,4199296.0,100.0,38.0
12160.0,18.961494439,1.3461612305343017E-5,12160.0,77.4,50.95677686201494,12160.0,4230392.0,100.0,42.0
12350.0,19.302718211,1.384001120812329E-5,12350.0,77.2,50.14955134596212,12350.0,4286600.0,100.0,48.0
12540.0,19.623744262,1.4196777304931776E-5,12540.0,77.60000000000001,50.57369814651368,12540.0,4295816.0,100.0,46.0
12730.0,19.974548947,1.4591940215064724E-5,12730.0,78.0,50.40062765751183,12730.0,4354248.0,100.0,48.0
12920.0,20.34785698,1.5016827191951166E-5,12920.0,78.0,50.982358105067085,12920.0,4399552.0,100.0,42.0
13110.0,20.717850514,1.544123669701152E-5,13110.0,78.10000000000001,51.70765268320221,13110.0,4433976.0,100.0,45.0
13300.0,21.06645456,1.5847806171761288E-5,13300.0,78.10000000000001,51.838917673138,13300.0,4508216.0,100.0,44.0
13490.0,21.411382392,1.6252613095555636E-5,13490.0,78.9,52.69312862088139,13490.0,4536512.0,100.0,49.0
13680.0,21.808053579,1.672657058305345E-5,13680.0,78.3,52.027660364678205,13680.0,4618608.0,100.0,41.0
13870.0,22.165340749,1.715854760180184E-5,13870.0,79.0,52.88437376601932,13870.0,4673536.0,100.0,50.0
14060.0,22.52760844,1.760078239981522E-5,14060.0,78.9,52.631106321839084,14060.0,4718736.0,100.0,41.0
14250.0,22.964054863,1.813746869317555E-5,14250.0,78.4,52.54436881813508,14250.0,4753264.0,100.0,36.0
14440.0,23.35462653,1.8625638999876713E-5,14440.0,77.5,50.96971017650904,14440.0,4831400.0,100.0,39.0
14630.0,23.831196114,1.9228570998338197E-5,14630.0,78.10000000000001,51.84527160146355,14630.0,4890400.0,100.0,39.0
14820.0,24.322159233,1.9858603852981227E-5,14820.0,78.2,52.919834139599175,14820.0,4960400.0,100.0,41.0
15010.0,24.778919172,2.0454130235414566E-5,15010.0,79.0,53.84635671931113,15010.0,5039824.0,100.0,41.0
15200.0,25.136811267,2.0926494734827137E-5,15200.0,79.3,53.71115762357108,15200.0,5101848.0,100.0,37.0
15390.0,25.506176679,2.1418252602169397E-5,15390.0,78.5,51.85158643424046,15390.0,5146328.0,100.0,45.0
15580.0,25.855027538,2.18873644210697E-5,15580.0,79.10000000000001,53.26601253991395,15580.0,5198032.0,100.0,39.0
15770.0,26.23150557,2.239692330669596E-5,15770.0,78.4,51.940192239231045,15770.0,5231872.0,100.0,34.0
15960.0,26.573602673,2.2862039432228728E-5,15960.0,78.9,53.28385702646216,15960.0,5255504.0,100.0,41.0
16150.0,26.927983401,2.3345852065409827E-5,16150.0,78.8,53.092363790845056,16150.0,5277272.0,100.0,39.0
16340.0,27.280923494,2.383140710368097E-5,16340.0,79.4,55.560541212204896,16340.0,5317896.0,100.0,38.0
