learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
190.0,0.221535257,3.073950464850706E-8,190.0,100.0,?,190.0,536360.0,50.0,0.0
380.0,0.364875423,5.0628915294663366E-8,380.0,100.0,?,380.0,536360.0,50.0,0.0
570.0,0.437219458,6.066713598372622E-8,570.0,100.0,?,570.0,536360.0,50.0,0.0
760.0,0.502481946,6.972274446977924E-8,760.0,100.0,?,760.0,536360.0,50.0,0.0
950.0,0.563972096,7.82549157248603E-8,950.0,100.0,?,950.0,536360.0,50.0,0.0
1140.0,0.62338141,8.64983570109018E-8,1140.0,100.0,?,1140.0,536360.0,50.0,0.0
1330.0,0.682784214,9.474089499072482E-8,1330.0,100.0,?,1330.0,536360.0,50.0,0.0
1520.0,0.743009626,1.0309757535484516E-7,1520.0,100.0,?,1520.0,536360.0,50.0,0.0
1710.0,0.802235986,1.1131563054474278E-7,1710.0,100.0,?,1710.0,536360.0,50.0,0.0
1900.0,0.862901995,1.1973344670148154E-7,1900.0,100.0,?,1900.0,536360.0,50.0,0.0
2090.0,0.92143973,1.278559505481066E-7,2090.0,100.0,?,2090.0,536360.0,50.0,0.0
2280.0,0.980217765,1.3601179763348775E-7,2280.0,100.0,?,2280.0,536360.0,50.0,0.0
2470.0,1.037318,1.439348387014535E-7,2470.0,100.0,?,2470.0,536360.0,50.0,0.0
2660.0,1.092993202,1.5166014687073316E-7,2660.0,100.0,?,2660.0,536360.0,50.0,0.0
2850.0,1.148658865,1.5938413143970282E-7,2850.0,100.0,?,2850.0,536360.0,50.0,0.0
3040.0,1.202995852,1.669237532908304E-7,3040.0,100.0,?,3040.0,536360.0,50.0,0.0
3230.0,1.256260814,1.743146244739286E-7,3230.0,100.0,?,3230.0,536360.0,50.0,0.0
3420.0,1.308307696,1.81536478876902E-7,3420.0,100.0,?,3420.0,536360.0,50.0,0.0
3610.0,1.358206212,1.8846023306983213E-7,3610.0,100.0,?,3610.0,536360.0,50.0,0.0
3800.0,1.406897951,1.9521653884979378E-7,3800.0,100.0,?,3800.0,536360.0,50.0,0.0
3990.0,1.455118819,2.0190750811632928E-7,3990.0,100.0,?,3990.0,536360.0,50.0,0.0
4180.0,1.503310621,2.0859444428016948E-7,4180.0,100.0,?,4180.0,536360.0,50.0,0.0
4370.0,1.5514246,2.1527058198013238E-7,4370.0,100.0,?,4370.0,536360.0,50.0,0.0
4560.0,1.599430612,2.2193173853378328E-7,4560.0,100.0,?,4560.0,536360.0,50.0,0.0
4750.0,1.647849658,2.286502063287008E-7,4750.0,100.0,?,4750.0,536360.0,50.0,0.0
4940.0,1.698645039,2.3569840656335774E-7,4940.0,100.0,?,4940.0,536360.0,50.0,0.0
5130.0,1.765668652,2.449983829701526E-7,5130.0,100.0,?,5130.0,536360.0,50.0,0.0
5320.0,1.822669103,2.5290757833801004E-7,5320.0,100.0,?,5320.0,536360.0,50.0,0.0
5510.0,1.878772185,2.60692257730756E-7,5510.0,100.0,?,5510.0,536360.0,50.0,0.0
5700.0,1.933220652,2.6824734818053745E-7,5700.0,100.0,?,5700.0,536360.0,50.0,0.0
