learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
9.0,0.063988733,7.153284659391891E-9,9.0,55.55555555555556,-28.57142857142857,9.0,432120.0,50.0,8.94,0.40849150067345213,2855.9999999999995,5.598833697790124,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.146207668,1.6353027137141264E-8,18.0,50.0,-17.391304347826086,18.0,432520.0,50.0,18.04,0.5938184976600723,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,0.173007528,1.93517501252186E-8,27.0,59.25925925925925,16.806722689075624,27.0,432520.0,50.0,27.18,0.7231958551443443,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.199467505,2.2312442505473483E-8,36.0,63.888888888888886,26.415094339622623,36.0,432520.0,50.0,35.9,0.9477147594641134,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,0.222178167,2.4853611907621645E-8,45.0,66.66666666666666,33.23442136498516,45.0,432520.0,50.0,44.81999999999999,1.0212797094322197,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,0.244003234,2.729568922180269E-8,54.0,70.37037037037037,40.659340659340664,54.0,432520.0,50.0,54.180000000000014,1.0822086260070567,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.265697932,2.9723179127048293E-8,63.0,71.42857142857143,42.90030211480364,63.0,432520.0,50.0,63.32000000000001,1.3426869193022275,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,0.286906822,3.209631040439838E-8,72.0,72.22222222222221,44.315545243619496,72.0,432520.0,50.0,72.08,1.367804736034485,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81.0,0.307693379,3.442218547683831E-8,81.0,72.8395061728395,45.63758389261745,81.0,432520.0,50.0,81.19999999999999,1.548139106759322,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,0.329150908,3.682313777582928E-8,90.0,74.44444444444444,48.939319190922554,90.0,432520.0,50.0,90.87999999999998,1.63023473957662,2864.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
