learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1301.0,0.38202938,1.7169047953432632E-7,1301.0,75.3,16.259831841605642,1301.0,1737208.0,100.0,1301.06,3.0430852233822945,21200.0,0.0
2602.0,0.74217145,3.335444309209577E-7,2602.0,82.69999999999999,47.32162432096659,2602.0,1737208.0,100.0,2599.63,4.485141687794933,21200.0,0.0
3903.0,1.065278633,4.787542762743578E-7,3903.0,79.60000000000001,44.967493053494856,3903.0,1737208.0,100.0,3895.039999999999,5.488204431213172,21200.0,0.0
5204.0,1.397957697,6.282658872116915E-7,5204.0,81.10000000000001,47.556522414730814,5204.0,1737208.0,100.0,5195.01,6.399581662464001,21200.0,0.0
6505.0,1.718986203,7.725415398835577E-7,6505.0,82.8,49.97818816344336,6505.0,1737208.0,100.0,6496.890000000002,7.181048219818143,21200.0,0.0
7806.0,1.989498335,8.941142777262152E-7,7806.0,80.9,45.10737113165037,7806.0,1737208.0,100.0,7796.829999999999,7.833353384887305,21200.0,0.0
9107.0,2.27137818,1.0207958584965517E-6,9107.0,80.10000000000001,43.02108506178923,9107.0,1737208.0,100.0,9097.019999999999,8.765658197555073,21200.0,0.0
10408.0,2.547573332,1.1449226418657684E-6,10408.0,81.8,50.18611780162031,10408.0,1737208.0,100.0,10396.09,9.574293180125103,21200.0,0.0
11709.0,2.805017457,1.2606223958337617E-6,11709.0,82.5,43.24226148776625,11709.0,1737208.0,100.0,11697.550000000003,9.868554027103349,21200.0,0.0
13010.0,3.091667094,1.3894476019864156E-6,13010.0,78.10000000000001,39.47132765082419,13010.0,1737208.0,100.0,12994.169999999998,10.47750890857618,21200.0,0.0
14311.0,3.373308093,1.5160218413154345E-6,14311.0,82.39999999999999,47.45139253809773,14311.0,1737208.0,100.0,14293.439999999999,10.985916788177853,21200.0,0.0
15612.0,3.64182153,1.636696331743213E-6,15612.0,82.1,47.163974685935564,15612.0,1737208.0,100.0,15594.280000000004,11.911093886614983,21200.0,0.0
16913.0,3.915012028,1.759472772669933E-6,16913.0,84.0,51.83943266851683,16913.0,1737208.0,100.0,16890.1,12.192732559714722,21200.0,0.0
18214.0,4.19312031,1.8844593490925307E-6,18214.0,79.9,42.3242467718795,18214.0,1737208.0,100.0,18193.850000000002,12.461004831639453,21200.0,0.0
19515.0,4.450424674,2.0000962920978956E-6,19515.0,81.5,42.97867094069781,19515.0,1737208.0,100.0,19494.329999999994,13.653164468356769,21200.0,0.0
20816.0,4.7149611,2.118983446363981E-6,20816.0,78.9,37.280034243317814,20816.0,1737208.0,100.0,20790.81,13.897981068406281,21200.0,0.0
22117.0,4.99796368,2.246169603275922E-6,22117.0,78.7,38.23079064587975,22117.0,1737208.0,100.0,22086.089999999993,13.864358017316354,21200.0,0.0
23418.0,5.267193,2.3671658236595496E-6,23418.0,82.5,44.24691924405194,23418.0,1737208.0,100.0,23384.22,14.302903427788582,21200.0,0.0
24719.0,5.528615437,2.484653498480691E-6,24719.0,80.0,41.706937457373236,24719.0,1737208.0,100.0,24685.749999999996,14.298579254138113,21200.0,0.0
26020.0,5.812269417,2.6121324055951652E-6,26020.0,80.5,41.44355158372674,26020.0,1737208.0,100.0,25987.62,15.14506140127815,21200.0,0.0
27321.0,6.077140443,2.7311699347733896E-6,27321.0,78.2,35.823839382966824,27321.0,1737208.0,100.0,27286.059999999998,15.889243041896188,21200.0,0.0
28622.0,6.325986003,2.843005347867503E-6,28622.0,83.3,47.841838965581836,28622.0,1737208.0,100.0,28583.16,16.385819935221328,21200.0,0.0
29923.0,6.582971102,2.958498807769687E-6,29923.0,79.9,42.77742982406198,29923.0,1737208.0,100.0,29878.38,16.673003522600432,21200.0,0.0
31224.0,6.866066028,3.0857264665394774E-6,31224.0,80.4,40.25519566423421,31224.0,1737208.0,100.0,31184.07999999999,16.55265049422114,21200.0,0.0
32525.0,7.132639874,3.205529271891908E-6,32525.0,80.0,44.49378330373005,32525.0,1737208.0,100.0,32490.309999999998,17.203192650602325,21200.0,0.0
33826.0,7.382180099,3.3176768792129827E-6,33826.0,81.5,38.35634696380015,33826.0,1737208.0,100.0,33784.25999999998,17.24621826501238,21200.0,0.0
