learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
1301.0,0.08994905,6.934425302056803E-10,1301.0,75.1,15.314187764430617,1301.0,29800.0
2602.0,0.143630021,1.107284236751083E-9,2602.0,82.69999999999999,47.32162432096659,2602.0,29800.0
3903.0,0.186184266,1.4353468824798862E-9,3903.0,79.60000000000001,44.967493053494856,3903.0,29800.0
5204.0,0.221107026,1.7045762635146578E-9,5204.0,81.10000000000001,47.556522414730814,5204.0,29800.0
6505.0,0.25140091,1.9381203373066253E-9,6505.0,82.8,49.97818816344336,6505.0,29800.0
7806.0,0.280658279,2.163673625379387E-9,7806.0,80.9,45.10737113165037,7806.0,29800.0
9107.0,0.310573033,2.3942948793475E-9,9107.0,80.10000000000001,43.02108506178923,9107.0,29800.0
10408.0,0.33930753,2.615817200082044E-9,10408.0,81.8,50.18611780162031,10408.0,29800.0
11709.0,0.368680757,2.8422636700690622E-9,11709.0,82.5,43.24226148776625,11709.0,29800.0
13010.0,0.398101607,3.0690772791600066E-9,13010.0,78.10000000000001,39.47132765082419,13010.0,29800.0
14311.0,0.427178168,3.293236667497291E-9,14311.0,82.39999999999999,47.45139253809773,14311.0,29800.0
15612.0,0.455795827,3.5138582512218926E-9,15612.0,82.1,47.163974685935564,15612.0,29800.0
16913.0,0.484022112,3.731462622682254E-9,16913.0,84.0,51.83943266851683,16913.0,29800.0
18214.0,0.512533462,3.951264640419848E-9,18214.0,79.9,42.3242467718795,18214.0,29800.0
19515.0,0.541202084,4.172279112247958E-9,19515.0,81.5,42.97867094069781,19515.0,29800.0
20816.0,0.570088865,4.394975433177833E-9,20816.0,78.9,37.280034243317814,20816.0,29800.0
22117.0,0.598319558,4.612613787150219E-9,22117.0,78.7,38.23079064587975,22117.0,29800.0
23418.0,0.62630669,4.828374460856949E-9,23418.0,82.5,44.24691924405194,23418.0,29800.0
24719.0,0.654093245,5.042588830045943E-9,24719.0,80.0,41.706937457373236,24719.0,29800.0
26020.0,0.682391415,5.260747383193425E-9,26020.0,80.5,41.44355158372674,26020.0,29800.0
27321.0,0.710162675,5.474843838924751E-9,27321.0,77.60000000000001,33.25188474030811,27321.0,29800.0
28622.0,0.737412368,5.684919387929971E-9,28622.0,82.39999999999999,42.86270817777486,28622.0,29800.0
29923.0,0.76519284,5.899086861560743E-9,29923.0,78.5,37.06310082783978,29923.0,29800.0
31224.0,0.792339375,6.1083671365243704E-9,31224.0,80.30000000000001,38.711764852286024,31224.0,29800.0
32525.0,0.820704229,6.3270397753868674E-9,32525.0,79.2,41.132519754567895,32525.0,29800.0
33826.0,0.847349125,6.532452774182377E-9,33826.0,80.80000000000001,33.94980184940555,33826.0,29800.0
35127.0,0.873881113,6.7369953334435E-9,35127.0,80.2,37.04492702934725,35127.0,29800.0
36428.0,0.900121986,6.939293605275453E-9,36428.0,79.2,33.96783471641091,36428.0,29800.0
37729.0,0.92666736,7.14393936097622E-9,37729.0,80.60000000000001,37.53823368427833,37729.0,29800.0
39030.0,0.953373329,7.349823188709303E-9,39030.0,80.9,38.06101800446221,39030.0,29800.0
40331.0,0.978783404,7.54571660504573E-9,40331.0,77.8,33.36494996368089,40331.0,29800.0
41632.0,1.009254694,7.780628351598151E-9,41632.0,81.6,48.746803638976935,41632.0,29800.0
42933.0,1.040654897,8.022701349782035E-9,42933.0,81.6,48.300665347959,42933.0,29800.0
44234.0,1.072861414,8.270990449417798E-9,44234.0,82.1,51.95662676472166,44234.0,29800.0
45535.0,1.104325066,8.513552593791653E-9,45535.0,80.9,46.255923103762655,45535.0,29800.0
46836.0,1.134464245,8.745904003218232E-9,46836.0,83.2,56.568497683653206,46836.0,29800.0
48137.0,1.168756865,9.010275457727E-9,48137.0,81.5,53.07379336235147,48137.0,29800.0
49438.0,1.200537377,9.255280364977405E-9,49438.0,83.0,55.460071263885965,49438.0,29800.0
50739.0,1.228285733,9.469200247329559E-9,50739.0,79.80000000000001,48.32702343190422,50739.0,29800.0
