learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1.0,0.006746999,3.913585944577224E-10,1.0,100.0,?,1.0,224216.0,100.0,0.52,0.07847022210734309,6153.5999999999985,74.15042314461361
2.0,0.061315405,4.511456375041356E-9,2.0,50.0,0.0,2.0,291856.0,100.0,1.4199999999999995,0.12486760665568628,6824.240000000003,75.23218352795456
3.0,0.085320943,6.480751443052044E-9,3.0,66.66666666666666,0.0,3.0,317104.0,100.0,2.2700000000000014,0.16008520458578523,7074.64,60.05283115135313
4.0,0.108594484,8.484452706178029E-9,4.0,75.0,50.0,4.0,332792.0,100.0,3.45,0.1966255735188486,7230.5599999999995,47.30300419699164
5.0,0.128055778,1.0198851954353351E-8,5.0,80.0,54.545454545454554,5.0,340520.0,100.0,4.539999999999997,0.2253706262846141,7307.3600000000015,37.55383884666402
6.0,0.147146861,1.1924930138339598E-8,6.0,83.33333333333334,66.66666666666667,6.0,349488.0,100.0,5.709999999999999,0.24956325487102102,7396.399999999998,10.225655988934914
7.0,0.166383812,1.3665908610851814E-8,7.0,71.42857142857143,46.15384615384616,7.0,349832.0,100.0,6.190000000000001,0.25690268565935603,7399.839999999998,9.773502830395955
8.0,0.185950254,1.5440189162734897E-8,8.0,62.5,33.33333333333333,8.0,350520.0,100.0,6.68,0.2685087888635486,7406.720000000002,8.758927105553738
9.0,0.204838952,1.7161221394470584E-8,9.0,66.66666666666666,37.20930232558139,9.0,352200.0,100.0,8.620000000000001,0.3259113097426688,7423.5199999999995,6.666007240114027
10.0,0.22487883,1.898838693123932E-8,10.0,70.0,39.99999999999999,10.0,352440.0,100.0,9.060000000000004,0.34284018717092357,7425.919999999999,6.273620899601704
11.0,0.244037529,2.073639919708173E-8,11.0,72.72727272727273,42.10526315789474,11.0,352680.0,100.0,9.56,0.3514242306657153,7428.319999999998,5.845051088076335
12.0,0.264663134,2.2619530472190434E-8,12.0,75.0,43.74999999999999,12.0,352920.0,100.0,10.01,0.34945701026049264,7430.720000000003,5.371644219060064
13.0,0.2851613,2.4494674871408693E-8,13.0,69.23076923076923,34.99999999999999,13.0,353608.0,100.0,12.440000000000001,0.37072683182956123,7437.5999999999985,2.400000000000012
14.0,0.304519903,2.6266775534620717E-8,14.0,71.42857142857143,36.363636363636374,14.0,353848.0,100.0,13.690000000000003,0.3575152748025904,7440.0,0.0
15.0,0.324528749,2.8098399917160472E-8,15.0,73.33333333333333,37.499999999999986,15.0,353848.0,100.0,14.01,0.35689315946474415,7440.0,0.0
16.0,0.343698628,2.9853224647519076E-8,16.0,68.75,31.03448275862069,16.0,353848.0,100.0,15.769999999999994,0.3889522314935838,7440.0,0.0
17.0,0.363697929,3.168397527378466E-8,17.0,64.70588235294117,26.086956521739136,17.0,353848.0,100.0,16.429999999999996,0.42361002649306423,7440.0,0.0
18.0,0.384078473,3.3549625162829957E-8,18.0,61.111111111111114,16.0,18.0,353848.0,100.0,18.329999999999995,0.43740626701528,7440.0,0.0
19.0,0.403383012,3.531677676797948E-8,19.0,63.1578947368421,17.391304347826072,19.0,353848.0,100.0,18.800000000000004,0.4364688425363837,7440.0,0.0
20.0,0.423370498,3.71464458405123E-8,20.0,65.0,18.60465116279069,20.0,353848.0,100.0,19.27,0.44559686450486347,7440.0,0.0
21.0,0.442425956,3.889079638892785E-8,21.0,61.904761904761905,15.151515151515166,21.0,353848.0,100.0,21.179999999999996,0.49510329500748895,7440.0,0.0
22.0,0.462197686,4.0700714999576E-8,22.0,59.09090909090909,7.476635514018692,22.0,353848.0,100.0,22.28000000000001,0.5220549914917145,7440.0,0.0
23.0,0.48218093,4.252999575632935E-8,23.0,60.86956521739131,15.510204081632658,23.0,353848.0,100.0,23.449999999999996,0.5366139631565188,7440.0,0.0
24.0,0.501151644,4.426658877706569E-8,24.0,62.5,21.739130434782602,24.0,353848.0,100.0,24.0,0.5397343154859909,7440.0,0.0
25.0,0.520852692,4.6070037105789204E-8,25.0,64.0,26.710097719869708,25.0,353848.0,100.0,24.43,0.5461074375370959,7440.0,0.0
26.0,0.539996365,4.782246291976008E-8,26.0,61.53846153846154,20.731707317073184,26.0,353848.0,100.0,26.650000000000002,0.5612711043027716,7440.0,0.0
27.0,0.559814646,4.963664284296127E-8,27.0,59.25925925925925,17.270194986072422,27.0,353848.0,100.0,27.78000000000001,0.5767516139920408,7440.0,0.0
28.0,0.579647315,5.145213985419522E-8,28.0,60.71428571428571,21.42857142857142,28.0,353848.0,100.0,28.350000000000012,0.5895341423959304,7440.0,0.0
29.0,0.59866888,5.319338781262644E-8,29.0,62.06896551724138,24.941176470588232,29.0,353848.0,100.0,28.72,0.6005182946607224,7440.0,0.0
30.0,0.618472814,5.500625440096482E-8,30.0,60.0,19.999999999999996,30.0,353848.0,100.0,30.970000000000013,0.614053431031548,7440.0,0.0
31.0,0.639939712,5.69713499289275E-8,31.0,61.29032258064516,21.848739495798316,31.0,353848.0,100.0,31.77,0.6297113335778258,7440.0,0.0
32.0,0.658755279,5.8693740679923854E-8,32.0,59.375,17.46031746031746,32.0,353848.0,100.0,32.13,0.6319210729388938,7440.0,0.0
33.0,0.67792219,6.044829371739386E-8,33.0,60.60606060606061,19.20903954802261,33.0,353848.0,100.0,32.45,0.6238322424070967,7440.0,0.0
34.0,0.696805431,6.217687939579702E-8,34.0,61.76470588235294,20.78853046594982,34.0,353848.0,100.0,32.770000000000024,0.6243954652059038,7440.0,0.0
35.0,0.73821133,6.596720564396638E-8,35.0,60.0,17.785234899328863,35.0,353848.0,100.0,35.15999999999999,0.6395579281303169,7440.0,0.0
36.0,0.761858984,6.81319291695642E-8,36.0,58.333333333333336,15.09433962264151,36.0,353848.0,100.0,35.90000000000001,0.6294939445797921,7440.0,0.0
37.0,0.781504644,6.993030724029781E-8,37.0,56.75675675675676,11.377245508982027,37.0,353848.0,100.0,37.849999999999994,0.6632297772067667,7440.0,0.0
38.0,0.799747215,7.160024551878788E-8,38.0,57.89473684210527,12.893982808022916,38.0,353848.0,100.0,38.510000000000005,0.6757704170542362,7440.0,0.0
39.0,0.818516418,7.331839207534783E-8,39.0,58.97435897435898,14.285714285714302,39.0,353848.0,100.0,38.69000000000002,0.6816046130161154,7440.0,0.0
40.0,0.83917984,7.520993682320128E-8,40.0,60.0,15.567282321899734,40.0,353848.0,100.0,38.92000000000001,0.6886790165808654,7440.0,0.0
41.0,0.85492821,7.66515541197339E-8,41.0,58.536585365853654,13.200498132004961,41.0,353848.0,100.0,41.42000000000001,0.7363820922989543,7440.0,0.0
42.0,0.870691077,7.809449848223893E-8,42.0,57.14285714285714,11.058823529411761,42.0,353848.0,100.0,42.29,0.749585070407474,7440.0,0.0
43.0,0.886338087,7.952683721031168E-8,43.0,58.139534883720934,12.244897959183675,43.0,353848.0,100.0,44.23000000000001,0.7643383617960906,7440.0,0.0
44.0,0.902163296,8.097548840504763E-8,44.0,56.81818181818182,10.300429184549367,44.0,353848.0,100.0,45.139999999999986,0.7786312777346327,7440.0,0.0
45.0,0.918004057,8.242556324122683E-8,45.0,55.55555555555556,8.536585365853654,45.0,353848.0,100.0,45.77999999999999,0.78168168881346,7440.0,0.0
46.0,0.933766927,8.386850787835405E-8,46.0,56.52173913043478,11.538461538461535,46.0,353848.0,100.0,46.330000000000005,0.7917574110671766,7440.0,0.0
47.0,0.948996548,8.526263851239659E-8,47.0,55.319148936170215,8.526413345690461,47.0,353848.0,100.0,48.45000000000001,0.8047052286710363,7440.0,0.0
48.0,0.964120285,8.664707644771374E-8,48.0,56.25,11.267605633802821,48.0,353848.0,100.0,49.51999999999999,0.8057219612173163,7440.0,0.0
49.0,0.979602103,8.806429337940699E-8,49.0,55.10204081632652,8.488964346349738,49.0,353848.0,100.0,50.70999999999999,0.822081000703198,7440.0,0.0
50.0,0.995172719,8.948963894490156E-8,50.0,56.00000000000001,11.003236245954696,50.0,353848.0,100.0,51.53000000000001,0.8393666443434382,7440.0,0.0
51.0,1.010607329,9.090253442178173E-8,51.0,54.90196078431373,8.430913348946152,51.0,353848.0,100.0,52.47999999999999,0.8388881530533935,7440.0,0.0
52.0,1.026141246,9.232452053400174E-8,52.0,55.769230769230774,10.746268656716406,52.0,353848.0,100.0,53.35,0.8482155958066894,7440.0,0.0
53.0,1.041453538,9.372621893178882E-8,53.0,56.60377358490566,12.866333095067912,53.0,353848.0,100.0,53.860000000000014,0.8511453958334526,7440.0,0.0
54.0,1.05687292,9.513772042642248E-8,54.0,55.55555555555556,10.497237569060799,54.0,353848.0,100.0,55.32,0.8700261229097979,7440.0,0.0
55.0,1.072342452,9.655381268869882E-8,55.0,54.54545454545454,8.272181454302862,55.0,353848.0,100.0,56.07,0.8782736740132009,7440.0,0.0
56.0,1.0876503,9.795510427947884E-8,56.0,53.57142857142857,6.54685494223362,56.0,353848.0,100.0,57.43999999999999,0.8671700170000337,7440.0,0.0
57.0,1.103066681,9.936633106037978E-8,57.0,52.63157894736842,4.469273743016761,57.0,353848.0,100.0,58.629999999999995,0.85181386974319,7440.0,0.0
58.0,1.118230903,1.0075447502217776E-7,58.0,53.44827586206896,5.776173285198551,58.0,353848.0,100.0,59.07000000000001,0.8649464279551209,7440.0,0.0
59.0,1.133520124,1.0215406148376774E-7,59.0,54.23728813559322,7.759119861030681,59.0,353848.0,100.0,60.38,0.877183279053189,7440.0,0.0
60.0,1.148697203,1.0354338238473985E-7,60.0,53.333333333333336,5.829596412556047,60.0,353848.0,100.0,61.5,0.8642740867165329,7440.0,0.0
61.0,1.163869643,1.0493227862826241E-7,61.0,52.459016393442624,4.01519262072709,61.0,353848.0,100.0,62.200000000000024,0.8638649351968315,7440.0,0.0
62.0,1.179091882,1.063257335086312E-7,62.0,51.61290322580645,2.4134312696747164,62.0,353848.0,100.0,63.85999999999999,0.8900141866988708,7440.0,0.0
63.0,1.194309944,1.0771880602336801E-7,63.0,52.38095238095239,4.25531914893617,63.0,353848.0,100.0,64.54999999999995,0.8868711315858713,7440.0,0.0
64.0,1.209872791,1.0914344040892606E-7,64.0,53.125,5.974534769833497,64.0,353848.0,100.0,65.10000000000002,0.8889330797096147,7440.0,0.0
65.0,1.225145941,1.1054155571943357E-7,65.0,53.84615384615385,7.58293838862559,65.0,353848.0,100.0,65.48,0.8919935679434721,7440.0,0.0
66.0,1.241069871,1.1199924390664119E-7,66.0,54.54545454545454,9.090909090909083,66.0,353848.0,100.0,65.88000000000002,0.8951361275631136,7440.0,0.0
67.0,1.256530143,1.1341448850175161E-7,67.0,53.73134328358209,7.400802496656257,67.0,353848.0,100.0,68.58999999999999,0.9005155650116677,7440.0,0.0
68.0,1.271986562,1.1482938039042679E-7,68.0,54.41176470588235,8.823529411764696,68.0,353848.0,100.0,69.52000000000001,0.911706137309649,7440.0,0.0
69.0,1.287714997,1.1626917282249367E-7,69.0,53.62318840579711,7.226890756302515,69.0,353848.0,100.0,70.93,0.9214892426080865,7440.0,0.0
70.0,1.303396506,1.1770466961423351E-7,70.0,52.85714285714286,5.714285714285716,70.0,353848.0,100.0,71.77999999999997,0.9237145039721337,7440.0,0.0
71.0,1.318652258,1.1910119229910897E-7,71.0,52.112676056338024,4.206349206349202,71.0,353848.0,100.0,73.13000000000001,0.9575489543621254,7440.0,0.0
72.0,1.338242474,1.2089449498557177E-7,72.0,52.77777777777778,5.555555555555558,72.0,353848.0,100.0,73.95000000000002,0.9626746201299919,7440.0,0.0
73.0,1.354246999,1.2235956089796706E-7,73.0,52.054794520547944,4.127579737335831,73.0,353848.0,100.0,74.97999999999999,0.9776264804891157,7440.0,0.0
74.0,1.370954477,1.2388897564160328E-7,74.0,52.702702702702695,5.405405405405395,74.0,353848.0,100.0,76.03999999999999,0.9855439968347278,7440.0,0.0
75.0,1.387354005,1.253902004172322E-7,75.0,52.0,4.0511727078891235,75.0,353848.0,100.0,77.09999999999998,1.0009591359886738,7440.0,0.0
76.0,1.404652556,1.2697372241516288E-7,76.0,52.63157894736842,5.263157894736836,76.0,353848.0,100.0,78.00999999999999,1.0078976018215224,7440.0,0.0
77.0,1.42140902,1.285076213730313E-7,77.0,53.246753246753244,6.414584740040519,77.0,353848.0,100.0,78.72,1.0083569994718333,7440.0,0.0
78.0,1.43673968,1.299110011909592E-7,78.0,53.84615384615385,7.509881422924895,78.0,353848.0,100.0,79.27,1.0135301842290807,7440.0,0.0
79.0,1.452363019,1.3134117305839644E-7,79.0,54.43037974683544,8.553054662379424,79.0,353848.0,100.0,79.77000000000001,1.015421990200044,7440.0,0.0
80.0,1.467676159,1.3274294908272313E-7,80.0,55.00000000000001,9.547738693467336,80.0,353848.0,100.0,80.30999999999999,1.018782696073202,7440.0,0.0
81.0,1.482885594,1.3413523187557652E-7,81.0,55.55555555555556,10.497237569060779,81.0,353848.0,100.0,80.7,1.0124976618005168,7440.0,0.0
82.0,1.49794901,1.355141479824794E-7,82.0,54.87804878048781,9.216038300418917,82.0,353848.0,100.0,83.53999999999999,1.0325431974234565,7440.0,0.0
83.0,1.512939559,1.3688639379096116E-7,83.0,54.21686746987952,7.992998833138847,83.0,353848.0,100.0,84.47000000000001,1.0430583430809164,7440.0,0.0
84.0,1.527878092,1.3825387801679682E-7,84.0,53.57142857142857,6.613454960091213,84.0,353848.0,100.0,85.74000000000001,1.063406001126721,7440.0,0.0
85.0,1.542933221,1.3963203552566471E-7,85.0,52.94117647058824,5.450500556173525,85.0,353848.0,100.0,86.56999999999998,1.0590881345608951,7440.0,0.0
86.0,1.55788537,1.4100076617008906E-7,86.0,52.32558139534884,4.132680804785218,86.0,353848.0,100.0,87.75,1.0753787211672892,7440.0,0.0
87.0,1.572858507,1.4237141807136854E-7,87.0,52.87356321839081,5.057226510513714,87.0,353848.0,100.0,88.55999999999999,1.078000393545776,7440.0,0.0
88.0,1.58799739,1.437572424825923E-7,88.0,52.27272727272727,3.9501039501039426,88.0,353848.0,100.0,89.74999999999997,1.0851034489621234,7440.0,0.0
89.0,1.602986248,1.451293334956985E-7,89.0,52.80898876404494,5.223123732251509,89.0,353848.0,100.0,90.54,1.0857590558096795,7440.0,0.0
90.0,1.617990462,1.4650283020826475E-7,90.0,52.22222222222223,3.970223325062048,90.0,353848.0,100.0,91.63999999999997,1.0975197013946922,7440.0,0.0
91.0,1.633190581,1.478942602076713E-7,91.0,52.74725274725275,5.185364671674333,91.0,353848.0,100.0,92.75999999999998,1.1049128125025627,7440.0,0.0
92.0,1.648268434,1.4927449788810276E-7,92.0,53.2608695652174,6.344696969696975,92.0,353848.0,100.0,93.67999999999999,1.1069003039245595,7440.0,0.0
93.0,1.663224907,1.506436243546465E-7,93.0,53.76344086021505,7.451978708632266,93.0,353848.0,100.0,94.19000000000001,1.1059704820069602,7440.0,0.0
94.0,1.678316396,1.5202511028448124E-7,94.0,54.25531914893617,8.51063829787233,94.0,353848.0,100.0,94.57,1.101170635131889,7440.0,0.0
95.0,1.693314739,1.5339806956141777E-7,95.0,54.736842105263165,9.523809523809538,95.0,353848.0,100.0,94.93999999999997,1.111993387088832,7440.0,0.0
96.0,1.708419526,1.5478077279988888E-7,96.0,55.208333333333336,10.49436253252386,96.0,353848.0,100.0,95.31999999999998,1.116350475360845,7440.0,0.0
97.0,1.72356404,1.5616711267696698E-7,97.0,54.63917525773196,9.30726731831703,97.0,353848.0,100.0,98.12000000000003,1.1575208617794088,7440.0,0.0
98.0,1.738681187,1.5755094735886906E-7,98.0,54.08163265306123,8.163265306122458,98.0,353848.0,100.0,99.20999999999998,1.1633541719067884,7440.0,0.0
99.0,1.753625934,1.5891900041880506E-7,99.0,53.535353535353536,7.061224489795917,99.0,353848.0,100.0,99.88999999999999,1.1606246141408056,7440.0,0.0
