learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1.0,0.09451802,7.668109370602501E-11,1.0,0.0,0.0,1.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.100185764,8.127925190660687E-11,2.0,0.0,0.0,2.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3.0,0.102582857,8.322397856248749E-11,3.0,33.33333333333333,0.0,3.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.103916686,8.430609461334015E-11,4.0,50.0,0.0,4.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5.0,0.105078187,8.52484034664101E-11,5.0,60.0,0.0,5.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.10623397,8.618607338931825E-11,6.0,66.66666666666666,0.0,6.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7.0,0.107452842,8.71749264995257E-11,7.0,71.42857142857143,0.0,7.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.10861384,8.811682727601792E-11,8.0,75.0,0.0,8.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9.0,0.109852996,8.912213650014664E-11,9.0,77.77777777777779,0.0,9.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.110539973,8.967947093976868E-11,10.0,80.0,0.0,10.0,3136.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11.0,0.111251169,9.030061076084772E-11,11.0,72.72727272727273,-13.793103448275918,11.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.111944045,9.090575037731064E-11,12.0,66.66666666666666,-20.000000000000057,12.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
13.0,0.112699865,9.156586362255944E-11,13.0,61.53846153846154,-22.641509433962234,13.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.113349691,9.21334045049217E-11,14.0,64.28571428571429,-20.68965517241378,14.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15.0,0.113972041,9.267694857385424E-11,15.0,60.0,-21.621621621621625,15.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.114664563,9.328177901605766E-11,16.0,56.25,-21.73913043478261,16.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
17.0,0.115293134,9.383075634224548E-11,17.0,52.94117647058824,-21.42857142857141,17.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.115909126,9.436874750173755E-11,18.0,50.0,-20.895522388059685,18.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
19.0,0.116508271,9.489202493594753E-11,19.0,47.368421052631575,-20.25316455696205,19.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.117235416,9.552709419280292E-11,20.0,45.0,-19.565217391304355,20.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.117884176,9.609370405889222E-11,21.0,42.857142857142854,-18.867924528301906,21.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.11887369,9.695791947758863E-11,22.0,40.909090909090914,-18.181818181818176,22.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
23.0,0.119863472,9.782236896041369E-11,23.0,43.47826086956522,-9.523809523809518,23.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.120476992,9.835820114033092E-11,24.0,45.83333333333333,-2.631578947368422,24.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25.0,0.121062627,9.886967929701013E-11,25.0,48.0,2.985074626865654,25.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.12218084,9.984629702650841E-11,26.0,50.0,7.650273224043715,26.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.12272811,1.003242682044705E-10,27.0,48.148148148148145,5.970149253731346,27.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.123295261,1.0081960292326082E-10,28.0,50.0,9.677419354838715,28.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
29.0,0.123850167,1.013042431821426E-10,29.0,51.724137931034484,12.875536480686694,29.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.124346429,1.017376653187805E-10,30.0,53.333333333333336,15.66265060240964,30.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
31.0,0.125220735,1.0250126111010713E-10,31.0,51.61290322580645,10.40462427745665,31.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32.0,0.126125599,1.0329154545234312E-10,32.0,53.125,13.043478260869565,32.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.12702369,1.0407591443508866E-10,33.0,54.54545454545454,15.384615384615374,33.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.0,0.127917522,1.048565637196104E-10,34.0,55.88235294117647,17.475728155339805,34.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35.0,0.128846605,1.0566800029741396E-10,35.0,57.14285714285714,19.35483870967742,35.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.129528415,1.0626347516145974E-10,36.0,58.333333333333336,21.052631578947377,36.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37.0,0.13009957,1.0676230686820218E-10,37.0,56.75675675675676,16.853932584269653,37.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.130583086,1.0718459698475071E-10,38.0,57.89473684210527,18.49865951742627,38.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.1312188,1.0773981281866632E-10,39.0,58.97435897435898,20.000000000000007,39.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.132060105,1.0847458640734357E-10,40.0,60.0,21.375921375921365,40.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41.0,0.13281552,1.0913434593627852E-10,41.0,60.97560975609756,22.641509433962266,41.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.133281786,1.0954157035797836E-10,42.0,59.523809523809526,19.047619047619047,42.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43.0,0.133766317,1.0996474694874553E-10,43.0,60.46511627906976,20.283533260632485,43.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.134222104,1.103628192883399E-10,44.0,61.36363636363637,21.428571428571434,44.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.13466294,1.107478338190251E-10,45.0,62.22222222222222,22.492401215805472,45.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.135089041,1.1111997918950188E-10,46.0,63.04347826086957,23.48336594911939,46.0,3376.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
