learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.073740957,1.3719604270799706E-8,1.0,0.0,0.0,1.0,719176.0,100.0,0.0
2.0,0.217982709,4.3793762792243314E-8,2.0,0.0,0.0,2.0,805944.0,100.0,0.0
3.0,0.296130533,6.105527373902707E-8,3.0,0.0,0.0,3.0,853816.0,100.0,0.0
4.0,0.373070574,7.893057876939162E-8,4.0,0.0,-60.0,4.0,898056.0,100.0,0.0
5.0,0.434807321,9.330670187136988E-8,5.0,0.0,-47.05882352941178,5.0,900120.0,100.0,0.0
6.0,0.501595403,1.0887097471649656E-7,6.0,16.666666666666664,-36.36363636363637,6.0,900808.0,100.0,0.0
7.0,0.569271038,1.2471351418276215E-7,7.0,14.285714285714285,-61.53846153846153,7.0,904888.0,100.0,0.0
8.0,0.635399269,1.4019381384233427E-7,8.0,12.5,-55.55555555555556,8.0,904888.0,100.0,0.0
9.0,0.702245771,1.5584225727573244E-7,9.0,22.22222222222222,-46.51162790697674,9.0,904888.0,100.0,0.0
10.0,0.77012178,1.7175698911192517E-7,10.0,20.0,-60.0,10.0,906328.0,100.0,0.0
11.0,0.84832724,1.900984992187553E-7,11.0,27.27272727272727,-41.93548387096773,11.0,906568.0,100.0,0.0
12.0,0.905271695,2.0345873794929023E-7,12.0,25.0,-42.10526315789473,12.0,906912.0,100.0,0.0
13.0,0.959972941,2.1629267771423693E-7,13.0,30.76923076923077,-34.482758620689665,13.0,906912.0,100.0,0.0
14.0,0.998530106,2.2534370073011355E-7,14.0,28.57142857142857,-42.85714285714286,14.0,907392.0,100.0,0.0
15.0,1.034336605,2.3374902426899312E-7,15.0,33.33333333333333,-31.578947368421044,15.0,907392.0,100.0,0.0
16.0,1.070946702,2.423429867805127E-7,16.0,37.5,-23.076923076923077,16.0,907392.0,100.0,0.0
17.0,1.106887568,2.5077985202661E-7,17.0,41.17647058823529,-16.43835616438357,17.0,907392.0,100.0,0.0
18.0,1.141761198,2.5896929464631205E-7,18.0,38.88888888888889,-19.277108433734938,18.0,907736.0,100.0,0.0
19.0,1.176312867,2.670831305357918E-7,19.0,36.84210526315789,-25.274725274725263,19.0,907736.0,100.0,0.0
20.0,1.208085671,2.7454440013190325E-7,20.0,40.0,-19.999999999999996,20.0,907736.0,100.0,0.0
21.0,1.238877495,2.817753042793627E-7,21.0,42.857142857142854,-15.596330275229372,21.0,907736.0,100.0,0.0
22.0,1.269720445,2.890182144452198E-7,22.0,45.45454545454545,-11.86440677966101,22.0,907736.0,100.0,0.0
23.0,1.298939179,2.958797067966996E-7,23.0,43.47826086956522,-14.55938697318007,23.0,907736.0,100.0,0.0
24.0,1.328500992,3.0282176505957226E-7,24.0,41.66666666666667,-19.148936170212753,24.0,907736.0,100.0,0.0
25.0,1.373283887,3.1333821972593886E-7,25.0,40.0,-21.359223300970882,25.0,907736.0,100.0,0.0
26.0,1.410942927,3.221817656141376E-7,26.0,38.46153846153847,-25.301204819277118,26.0,907736.0,100.0,0.0
27.0,1.439131362,3.2880131083990566E-7,27.0,40.74074074074074,-22.033898305084747,27.0,907736.0,100.0,0.0
28.0,1.465263322,3.349379300263898E-7,28.0,42.857142857142854,-19.148936170212778,28.0,907736.0,100.0,0.0
