learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1.0,0.060445668,1.0900975647593537E-8,1.0,0.0,0.0,1.0,697112.0,100.0,0.52,0.07847022210734309,1280.9599999999998,145.95925397939735,0.38000000000000006,0.048783173121456344,0.38000000000000006,0.048783173121456344,0.38000000000000006,0.048783173121456344,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.211335144,4.1499900258481496E-8,2.0,0.0,0.0,2.0,783880.0,100.0,1.2799999999999998,0.12559354033443512,2148.6399999999994,141.39640353747808,0.6699999999999998,0.04725815626252609,0.6699999999999998,0.04725815626252609,0.6699999999999998,0.04725815626252609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.0,0.289997334,5.8243362904923656E-8,3.0,0.0,0.0,3.0,822776.0,100.0,1.9600000000000004,0.15758275042758718,2537.5999999999985,120.28292573022247,0.7999999999999999,0.04020151261036849,0.7999999999999999,0.04020151261036849,0.7999999999999999,0.04020151261036849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,0.379338987,7.781320528129116E-8,4.0,0.0,0.0,4.0,846712.0,100.0,2.8499999999999996,0.1945598503122763,2776.9600000000014,97.71831080543022,0.88,0.03265986323710904,0.88,0.03265986323710904,0.88,0.03265986323710904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,0.457064737,9.501912896471513E-8,5.0,0.0,0.0,5.0,855688.0,100.0,3.3699999999999988,0.20872629605937693,2866.719999999999,86.05694858638668,0.9099999999999997,0.028762349126466136,0.9099999999999997,0.028762349126466136,0.9099999999999997,0.028762349126466136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6.0,0.538759482,1.1392147773622018E-7,6.0,16.666666666666664,0.0,6.0,894384.0,100.0,5.429999999999999,0.25790727329054064,3253.68,46.089703664033074,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.0,0.617059776,1.3217973421172343E-7,7.0,14.285714285714285,-31.24999999999999,7.0,901360.0,100.0,6.309999999999999,0.26881520820373267,3323.439999999999,11.490745683533184,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8.0,0.693807907,1.5009034892815063E-7,8.0,12.5,-55.55555555555556,8.0,902080.0,100.0,6.6,0.2788866755113585,3330.6400000000003,11.031960181878171,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.0,0.771977446,1.6834723605144976E-7,9.0,11.11111111111111,-71.4285714285714,9.0,902800.0,100.0,7.159999999999999,0.3007465458629323,3337.8399999999992,10.503512832294819,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10.0,0.842880758,1.8490705948666358E-7,10.0,20.0,-60.0,10.0,902800.0,100.0,7.770000000000001,0.3274804335276144,3337.8399999999992,10.503512832294819,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
