learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.098758539,1.9750120873730632E-8,1.0,0.0,0.0,1.0,773032.0,100.0,0.0
2.0,0.28331628,5.994433849263937E-8,2.0,0.0,0.0,2.0,841848.0,100.0,0.0
3.0,0.409878031,8.819354241051815E-8,3.0,0.0,0.0,3.0,862792.0,100.0,0.0
4.0,0.475017267,1.0298503899426303E-7,4.0,25.0,0.0,4.0,877752.0,100.0,0.0
5.0,0.535675791,1.1685298092910192E-7,5.0,40.0,0.0,5.0,883736.0,100.0,0.0
6.0,0.593749081,1.303281901034278E-7,6.0,33.33333333333333,-33.333333333333336,6.0,896936.0,100.0,0.0
7.0,0.654570292,1.4453542827330527E-7,7.0,42.857142857142854,-7.69230769230769,7.0,902936.0,100.0,0.0
8.0,0.713321461,1.583101934785706E-7,8.0,50.0,5.88235294117647,8.0,906296.0,100.0,0.0
9.0,0.780397526,1.740409736297362E-7,9.0,55.55555555555556,14.285714285714294,9.0,906536.0,100.0,0.0
10.0,0.825097807,1.845352525304692E-7,10.0,60.0,19.999999999999996,10.0,907496.0,100.0,0.0
11.0,0.867628129,1.9452273108135283E-7,11.0,63.63636363636363,24.13793103448277,11.0,907736.0,100.0,0.0
12.0,0.906538208,2.0366006090043315E-7,12.0,66.66666666666666,27.27272727272727,12.0,907736.0,100.0,0.0
13.0,0.945727249,2.128628999106151E-7,13.0,61.53846153846154,19.753086419753092,13.0,907736.0,100.0,0.0
14.0,0.981791853,2.2133202127997862E-7,14.0,57.14285714285714,8.69565217391303,14.0,907736.0,100.0,0.0
15.0,1.016158425,2.2940239047956752E-7,15.0,60.0,11.764705882352942,15.0,907736.0,100.0,0.0
16.0,1.049485754,2.3722871221646247E-7,16.0,62.5,14.285714285714285,16.0,907736.0,100.0,0.0
17.0,1.082316816,2.4493849460484247E-7,17.0,64.70588235294117,16.393442622950833,17.0,907736.0,100.0,0.0
18.0,1.114317698,2.524533242029903E-7,18.0,66.66666666666666,18.18181818181818,18.0,907736.0,100.0,0.0
19.0,1.145635637,2.5980777696307945E-7,19.0,68.42105263157895,19.718309859154914,19.0,907736.0,100.0,0.0
20.0,1.177752177,2.6734976675517637E-7,20.0,65.0,14.634146341463428,20.0,907736.0,100.0,0.0
21.0,1.21042268,2.750218447601132E-7,21.0,66.66666666666666,15.999999999999998,21.0,907736.0,100.0,0.0
22.0,1.244671448,2.8306454981638315E-7,22.0,68.18181818181817,17.20430107526879,22.0,907736.0,100.0,0.0
23.0,1.277600644,2.9079737720357865E-7,23.0,69.56521739130434,18.27411167512692,23.0,907736.0,100.0,0.0
24.0,1.309390299,2.9826260395291973E-7,24.0,66.66666666666666,14.285714285714265,24.0,907736.0,100.0,0.0
25.0,1.361160472,3.104198947538931E-7,25.0,64.0,11.067193675889342,25.0,907736.0,100.0,0.0
26.0,1.394416087,3.182293757521546E-7,26.0,65.38461538461539,19.310344827586203,26.0,907736.0,100.0,0.0
27.0,1.42093271,3.2445632610193956E-7,27.0,62.96296296296296,13.461538461538455,27.0,907736.0,100.0,0.0
28.0,1.448461875,3.309210536664578E-7,28.0,64.28571428571429,14.634146341463408,28.0,907736.0,100.0,0.0
29.0,1.475866486,3.3735653197197853E-7,29.0,65.51724137931035,15.697674418604645,29.0,907736.0,100.0,0.0
30.0,1.500641065,3.4317439472810044E-7,30.0,66.66666666666666,16.666666666666664,30.0,907736.0,100.0,0.0
31.0,1.524695175,3.4882306834231845E-7,31.0,67.74193548387096,23.267326732673258,31.0,907736.0,100.0,0.0
32.0,1.548260706,3.5435700799607147E-7,32.0,65.625,18.51851851851852,32.0,907736.0,100.0,0.0
33.0,1.572218151,3.5998298157961203E-7,33.0,66.66666666666666,23.89937106918238,33.0,907736.0,100.0,0.0
34.0,1.595814814,3.655242320217067E-7,34.0,67.64705882352942,24.899598393574294,34.0,907736.0,100.0,0.0
35.0,1.619737098,3.7114194867896943E-7,35.0,68.57142857142857,25.818882466281305,35.0,907736.0,100.0,0.0
36.0,1.644169625,3.7687948669611366E-7,36.0,66.66666666666666,22.58064516129032,36.0,907736.0,100.0,0.0
37.0,1.668863076,3.8267829800560233E-7,37.0,64.86486486486487,19.69949916527546,37.0,907736.0,100.0,0.0
38.0,1.693772125,3.885277386143616E-7,38.0,65.78947368421053,24.000000000000014,38.0,907736.0,100.0,0.0
39.0,1.718287088,3.9428463523833277E-7,39.0,66.66666666666666,24.888888888888868,39.0,907736.0,100.0,0.0
40.0,1.742048263,3.9986451835457843E-7,40.0,67.5,28.571428571428577,40.0,907736.0,100.0,0.0
41.0,1.767865567,4.0592724625825246E-7,41.0,68.29268292682927,31.754161331626147,41.0,907736.0,100.0,0.0
42.0,1.791212169,4.1140977438750146E-7,42.0,69.04761904761905,34.53237410071942,42.0,907736.0,100.0,0.0
43.0,1.815201209,4.170431674865777E-7,43.0,69.76744186046511,35.375722543352595,43.0,907736.0,100.0,0.0
44.0,1.837961891,4.223881028782844E-7,44.0,70.45454545454545,37.82608695652174,44.0,907736.0,100.0,0.0
45.0,1.861310738,4.2787115820526647E-7,45.0,68.88888888888889,35.05154639175257,45.0,907736.0,100.0,0.0
46.0,1.896028591,4.360240194079216E-7,46.0,69.56521739130434,35.85657370517927,46.0,907736.0,100.0,0.0
47.0,1.930295504,4.4407098548996764E-7,47.0,70.2127659574468,38.041431261770256,47.0,907736.0,100.0,0.0
48.0,1.962837012,4.5171277134720633E-7,48.0,70.83333333333334,38.79781420765028,48.0,907736.0,100.0,0.0
49.0,1.993593624,4.589354065919583E-7,49.0,71.42857142857143,40.75993091537134,49.0,907736.0,100.0,0.0
50.0,2.024986682,4.663074996934788E-7,50.0,72.0,42.5287356321839,50.0,907736.0,100.0,0.0
51.0,2.061002501,4.747651647860452E-7,51.0,72.54901960784314,43.243243243243235,51.0,907736.0,100.0,0.0
52.0,2.089163649,4.813783021523284E-7,52.0,73.07692307692307,44.848484848484844,52.0,907736.0,100.0,0.0
53.0,2.116685581,4.87841331177335E-7,53.0,73.58490566037736,45.52129221732745,53.0,907736.0,100.0,0.0
54.0,2.143825632,4.942146823415324E-7,54.0,74.07407407407408,46.98457223001402,54.0,907736.0,100.0,0.0
55.0,2.170113849,5.003879956644007E-7,55.0,74.54545454545455,47.61904761904762,55.0,907736.0,100.0,0.0
56.0,2.196323757,5.065429195319095E-7,56.0,75.0,48.95833333333333,56.0,907736.0,100.0,0.0
57.0,2.224592775,5.131813882208966E-7,57.0,75.43859649122807,50.18726591760301,57.0,907736.0,100.0,0.0
58.0,2.2541612,5.201249991926384E-7,58.0,74.13793103448276,47.40024183796858,58.0,907736.0,100.0,0.0
59.0,2.280851578,5.263927527683104E-7,59.0,72.88135593220339,45.05238649592549,59.0,907736.0,100.0,0.0
60.0,2.307243823,5.325904951895214E-7,60.0,73.33333333333333,46.24860022396415,60.0,907736.0,100.0,0.0
61.0,2.333690451,5.388010084767991E-7,61.0,73.77049180327869,46.89880304678999,61.0,907736.0,100.0,0.0
62.0,2.360550842,5.45108686537192E-7,62.0,74.19354838709677,48.00838574423481,62.0,907736.0,100.0,0.0
63.0,2.387169912,5.513596947160031E-7,63.0,73.01587301587301,45.49618320610686,63.0,907736.0,100.0,0.0
64.0,2.413363289,5.57510736576507E-7,64.0,73.4375,46.56188605108055,64.0,907736.0,100.0,0.0
65.0,2.439564139,5.63663533336191E-7,65.0,73.84615384615385,47.55576649264358,65.0,907736.0,100.0,0.0
66.0,2.465829797,5.698315490850453E-7,66.0,74.24242424242425,48.484848484848484,66.0,907736.0,100.0,0.0
