learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
81.0,0.609050285,2.6589867870050174E-7,81.0,82.71604938271605,65.38461538461539,81.0,1687584.0,100.0,50.0
162.0,0.939319021,4.1008713518974684E-7,162.0,83.9506172839506,67.94032577256812,162.0,1687584.0,100.0,40.0
243.0,1.20873432,5.277082475841046E-7,243.0,81.89300411522635,63.78539493293592,243.0,1687584.0,100.0,40.0
324.0,1.415365445,6.179190962924312E-7,324.0,79.62962962962963,59.23596019672881,324.0,1687584.0,100.0,44.0
405.0,1.61928507,7.069461605332792E-7,405.0,81.72839506172839,63.44587012733571,405.0,1687584.0,100.0,39.0
486.0,1.856940084,8.113147331651922E-7,486.0,82.51028806584361,64.96718058311708,486.0,1697560.0,100.0,44.0
567.0,2.065048116,9.027074535942948E-7,567.0,82.53968253968253,65.0446803873338,567.0,1697560.0,100.0,45.0
648.0,2.291766301,1.0034432363837027E-6,648.0,84.5679012345679,69.119329012581,648.0,1717512.0,100.0,46.0
729.0,2.503639248,1.0977763351464955E-6,729.0,84.77366255144034,69.5450901577337,729.0,1721040.0,100.0,43.0
810.0,2.694973225,1.1843297437881307E-6,810.0,85.4320987654321,70.85086916742908,810.0,1748616.0,100.0,46.0
891.0,2.898834636,1.2780365639133049E-6,891.0,85.52188552188552,71.02818814953355,891.0,1776800.0,100.0,47.0
972.0,3.090576862,1.36617268636064E-6,972.0,85.49382716049382,70.96798793404396,972.0,1776800.0,100.0,46.0
1053.0,3.270804867,1.4495092957413942E-6,1053.0,86.5,72.97859905044794,1053.0,1787376.0,100.0,46.0
1134.0,3.43799706,1.5272493482844034E-6,1134.0,87.0,73.95760297764761,1134.0,1797344.0,100.0,47.0
1215.0,3.626852152,1.6169972154587423E-6,1215.0,88.4,76.75043192085526,1215.0,1836952.0,100.0,51.0
1296.0,3.795341422,1.6984152679715221E-6,1296.0,89.7,79.39060211456425,1296.0,1867888.0,100.0,51.0
1377.0,3.964303869,1.7827150359525592E-6,1377.0,90.2,80.39403978809558,1377.0,1928584.0,100.0,46.0
1458.0,4.139284751,1.8713585677279343E-6,1458.0,90.7,81.4,1458.0,1958208.0,100.0,42.0
1539.0,4.280068367,1.94267811301602E-6,1539.0,91.5,82.98570799471557,1539.0,1958208.0,100.0,41.0
1620.0,4.430587344,2.0200525043280834E-6,1620.0,91.4,82.7722288328786,1620.0,1987048.0,100.0,47.0
1701.0,4.580530996,2.0988093828891712E-6,1701.0,91.3,82.53573149189016,1701.0,2030312.0,100.0,42.0
1782.0,4.73482499,2.1817043076905274E-6,1782.0,92.2,84.33640580757877,1782.0,2076736.0,100.0,48.0
1863.0,4.894021419,2.2684699256328285E-6,1863.0,92.80000000000001,85.57039044118532,1863.0,2106768.0,100.0,48.0
1944.0,5.035502627,2.3460438702491295E-6,1944.0,93.5,86.99063325594429,1944.0,2119432.0,100.0,50.0
2025.0,5.189657836,2.4312474649344712E-6,2025.0,93.89999999999999,87.79795005560933,2025.0,2136496.0,100.0,51.0
2106.0,5.341817074,2.5165608923072694E-6,2106.0,94.1,88.19858383005959,2106.0,2167312.0,100.0,53.0
2187.0,5.491173724,2.6007307575448184E-6,2187.0,94.3,88.59954398175925,2187.0,2178384.0,100.0,50.0
2268.0,5.653975558,2.694963223459269E-6,2268.0,95.0,89.9871835950016,2268.0,2237400.0,100.0,51.0
2349.0,5.800139451,2.7792534874289105E-6,2349.0,95.3,90.59360365048232,2349.0,2229152.0,100.0,50.0
2430.0,5.959878866,2.8734734748867044E-6,2430.0,96.2,92.38247970331763,2430.0,2279992.0,100.0,52.0
