learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
6.0,1.843197916,4.238089538065005E-6,6.0,66.66666666666666,33.33333333333333,6.0,8887928.0,100.0,4.959999999999998,0.2343786110832926,82859.75999999997,1223.4338293392568,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.9800000000000001,0.014070529413628968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12.0,2.501837455,5.805796822462711E-6,12.0,58.333333333333336,16.666666666666675,12.0,9200672.0,100.0,11.409999999999998,0.37661302916571227,85987.2,93.42831530649622,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,3.01710767,7.033138630482352E-6,18.0,50.0,0.0,18.0,9207312.0,100.0,16.2,0.4842989309769892,86053.59999999999,66.40000000000008,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24.0,3.568115175,8.346550960365397E-6,24.0,50.0,2.7027027027026933,24.0,9213952.0,100.0,21.90999999999999,0.6111910875123634,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,4.116413623,9.653505830352038E-6,30.0,46.666666666666664,-6.194690265486721,30.0,9213952.0,100.0,29.730000000000004,0.6911935219954575,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,4.603953022,1.0815632030339768E-5,36.0,52.77777777777778,5.555555555555558,36.0,9213952.0,100.0,32.50000000000002,0.7024488190853078,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,5.06217796,1.1907882640300324E-5,42.0,57.14285714285714,14.479638009049772,42.0,9213952.0,100.0,37.78000000000001,0.8147107065416135,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48.0,5.519828872,1.2998764969757924E-5,48.0,60.416666666666664,20.833333333333325,48.0,9213952.0,100.0,43.58999999999999,0.9101109933420318,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,5.991107013,1.4122129925002519E-5,54.0,62.96296296296296,25.517241379310327,54.0,9213952.0,100.0,49.49000000000001,0.9527731984458672,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,6.479091313,1.5285316615915825E-5,60.0,60.0,19.642857142857135,60.0,9213952.0,100.0,60.93000000000001,1.0824826496848283,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,6.996584582,1.6518842537012095E-5,66.0,59.09090909090909,17.270194986072436,66.0,9213952.0,100.0,68.69999999999995,1.2710053286491547,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,7.538482653,1.781054111013995E-5,72.0,59.72222222222222,18.181818181818173,72.0,9213952.0,100.0,73.37000000000005,1.2916714564916076,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78.0,8.134329481,1.9230834960070184E-5,78.0,61.53846153846154,22.259136212624576,78.0,9213952.0,100.0,81.16,1.3190691544962436,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,8.631217965,2.041524616235044E-5,84.0,61.904761904761905,23.418803418803428,84.0,9213952.0,100.0,87.08999999999997,1.420207340105271,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,9.176909251,2.1715986455065935E-5,90.0,61.111111111111114,21.758569299552917,90.0,9213952.0,100.0,97.36000000000001,1.4511242593801597,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
96.0,9.68313455,2.2922653412179942E-5,96.0,59.375,18.324607329842937,96.0,9213952.0,100.0,107.94000000000001,1.5397638543857064,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102.0,10.154737828,2.4046793382176288E-5,102.0,58.82352941176471,17.392981102969543,102.0,9213952.0,100.0,116.15999999999998,1.6027577244338347,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108.0,10.62961263,2.5178731539892615E-5,108.0,59.25925925925925,18.09720785935884,108.0,9213952.0,100.0,117.97000000000004,1.6035601175213388,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114.0,11.115273557,2.6336380108879403E-5,114.0,61.40350877192983,22.448979591836743,114.0,9213952.0,100.0,121.61000000000003,1.6418697766986163,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,11.50366796,2.7262178747062678E-5,120.0,61.66666666666667,23.076923076923077,120.0,9213952.0,100.0,126.87000000000002,1.694772414028956,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,11.921296544,2.8257661615371698E-5,126.0,61.904761904761905,23.131672597864778,126.0,9213952.0,100.0,134.46,1.7257655306172581,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132.0,12.329968988,2.923179612708409E-5,132.0,62.121212121212125,23.39832869080781,132.0,9213952.0,100.0,142.07999999999998,1.7871415018052563,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
138.0,12.781859841,3.0308948457507552E-5,138.0,60.86956521739131,21.142857142857164,138.0,9213952.0,100.0,148.9700000000001,1.8176716708554117,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144.0,13.237025556,3.139390693229463E-5,144.0,61.80555555555556,22.776911076443053,144.0,9213952.0,100.0,152.59,1.8360087915988537,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,13.687050575,3.246661175636132E-5,150.0,63.33333333333333,25.20398912058023,150.0,9213952.0,100.0,154.14000000000004,1.8728264169107578,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156.0,14.176280674,3.363276800350083E-5,156.0,63.46153846153846,25.30241935483871,156.0,9213952.0,100.0,165.07,1.9030148860599223,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162.0,14.668921482,3.480705420751677E-5,162.0,64.81481481481481,27.915690866510534,162.0,9213952.0,100.0,169.34,1.8540275569198486,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,15.133800455,3.591516574774265E-5,168.0,65.47619047619048,29.258022360969953,168.0,9213952.0,100.0,175.36,1.8662618608687622,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
174.0,15.558162919,3.692669986932807E-5,174.0,65.51724137931035,29.46899067693554,174.0,9213952.0,100.0,182.2199999999999,1.9584873569346128,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,16.044687587,3.808640729970773E-5,180.0,66.11111111111111,30.89123867069486,180.0,9213952.0,100.0,188.90000000000003,2.025868064347087,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
186.0,16.560536784,3.9316014318762885E-5,186.0,66.12903225806451,30.80193693161685,186.0,9213952.0,100.0,197.02000000000004,2.1150246553951306,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
192.0,17.064902875,4.0518249563624595E-5,192.0,67.1875,32.84477015323118,192.0,9213952.0,100.0,198.71999999999994,2.1257953948125072,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198.0,17.574282135,4.173243447871155E-5,198.0,68.18181818181817,34.5471717913737,198.0,9213952.0,100.0,201.39,2.1227909492320283,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
204.0,18.129682569,4.30563180400398E-5,204.0,68.62745098039215,35.468564650059314,204.0,9213952.0,100.0,211.5100000000001,2.223587737023755,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,18.629468053,4.42476346936708E-5,210.0,69.52380952380952,37.207998504952336,210.0,9213952.0,100.0,214.72000000000003,2.28398376048995,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
216.0,19.117651029,4.541129495981799E-5,216.0,69.44444444444444,36.937096346102805,216.0,9213952.0,100.0,220.62000000000003,2.3100911696556947,86120.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
