learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
6.0,1.257084216,1.397769916396886E-6,6.0,50.0,0.0,6.0,4298072.0,50.0,0.0
12.0,1.572614794,1.7486128782432236E-6,12.0,75.0,0.0,12.0,4298072.0,50.0,0.0
18.0,1.741036192,1.9358830391485822E-6,18.0,83.33333333333334,0.0,18.0,4298072.0,50.0,0.0
24.0,1.881802127,2.092402695264032E-6,24.0,87.5,0.0,24.0,4298072.0,50.0,0.0
30.0,2.011291384,2.2363836518518957E-6,30.0,90.0,0.0,30.0,4298072.0,50.0,0.0
36.0,2.139828978,2.3793064407410347E-6,36.0,91.66666666666666,0.0,36.0,4298072.0,50.0,0.0
42.0,2.268327214,2.522185466907144E-6,42.0,92.85714285714286,0.0,42.0,4298072.0,50.0,0.0
48.0,2.419282596,2.6900349148535973E-6,48.0,93.75,0.0,48.0,4298072.0,50.0,0.0
54.0,2.567438642,2.8547717410704283E-6,54.0,94.44444444444444,0.0,54.0,4298072.0,50.0,0.0
60.0,2.707479918,3.010485638480968E-6,60.0,95.0,0.0,60.0,4298072.0,50.0,0.0
66.0,2.843708109,3.1619597121519153E-6,66.0,95.45454545454545,0.0,66.0,4298072.0,50.0,0.0
72.0,2.977577946,3.310811498285196E-6,72.0,95.83333333333334,0.0,72.0,4298072.0,50.0,0.0
78.0,3.114430148,3.4629794187105605E-6,78.0,96.15384615384616,0.0,78.0,4298072.0,50.0,0.0
84.0,3.249433032,3.6130910560060037E-6,84.0,96.42857142857143,0.0,84.0,4298072.0,50.0,0.0
90.0,3.374771911,3.7524571479441984E-6,90.0,96.66666666666667,0.0,90.0,4298072.0,50.0,0.0
96.0,3.51490488,3.908273000112672E-6,96.0,96.875,0.0,96.0,4298072.0,50.0,0.0
102.0,3.651524971,4.06018283299789E-6,102.0,97.05882352941177,0.0,102.0,4298072.0,50.0,0.0
108.0,3.782307787,4.205602116336079E-6,108.0,97.22222222222221,0.0,108.0,4298072.0,50.0,0.0
114.0,3.920990674,4.359805601592208E-6,114.0,97.36842105263158,0.0,114.0,4298072.0,50.0,0.0
120.0,4.062786897,4.5174708496682395E-6,120.0,97.5,0.0,120.0,4298072.0,50.0,0.0
