learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
6.0,2.256700835,5.348050984735342E-6,6.0,50.0,0.0,6.0,9160600.0,100.0,0.0
12.0,2.968533829,7.045022201824356E-6,12.0,33.33333333333333,-33.333333333333336,12.0,9215072.0,100.0,0.0
18.0,3.484421786,8.274871087238419E-6,18.0,38.88888888888889,-22.22222222222222,18.0,9215072.0,100.0,0.0
24.0,4.042319884,9.604869868349577E-6,24.0,50.0,-12.500000000000005,24.0,9215072.0,100.0,0.0
30.0,4.565254988,1.085151876966961E-5,30.0,50.0,-2.739726027397255,30.0,9215072.0,100.0,0.0
36.0,5.07047357,1.2055932444252001E-5,36.0,47.22222222222222,-9.615384615384636,36.0,9215072.0,100.0,0.0
42.0,5.719144216,1.360232805236642E-5,42.0,50.0,-0.9153318077803138,42.0,9215072.0,100.0,0.0
48.0,6.368677316,1.5150779704000033E-5,48.0,50.0,0.0,48.0,9215072.0,100.0,0.0
54.0,6.959381387,1.655898614392842E-5,54.0,53.70370370370371,5.5944055944055995,54.0,9215072.0,100.0,0.0
60.0,7.510877189,1.7873722198913E-5,60.0,56.666666666666664,11.764705882352947,60.0,9215072.0,100.0,0.0
66.0,8.049212894,1.915708529702239E-5,66.0,57.57575757575758,12.582781456953656,66.0,9215072.0,100.0,0.0
72.0,8.62561179,2.0531188976282143E-5,72.0,59.72222222222222,16.211878009630812,72.0,9215072.0,100.0,0.0
78.0,9.156389356,2.1796533881295868E-5,78.0,61.53846153846154,20.999324780553682,78.0,9215072.0,100.0,0.0
84.0,9.617986603,2.2896956661146008E-5,84.0,63.095238095238095,24.913494809688583,84.0,9215072.0,100.0,0.0
90.0,10.110206236,2.4070381546937574E-5,90.0,62.22222222222222,23.192771084337355,90.0,9215072.0,100.0,0.0
96.0,10.731424203,2.5551331458536575E-5,96.0,61.458333333333336,21.6931216931217,96.0,9215072.0,100.0,0.0
102.0,11.29767053,2.6901231964414747E-5,102.0,61.76470588235294,22.757281553398062,102.0,9215072.0,100.0,0.0
108.0,11.841055365,2.819663191436096E-5,108.0,62.96296296296296,24.764890282131677,108.0,9215072.0,100.0,0.0
114.0,12.318961323,2.9335933775945296E-5,114.0,64.91228070175438,28.83895131086144,114.0,9215072.0,100.0,0.0
120.0,12.78461259,3.0446021119410063E-5,120.0,64.16666666666667,27.65002804262479,120.0,9215072.0,100.0,0.0
126.0,13.275950868,3.161734490272444E-5,126.0,63.49206349206349,25.386199794026787,126.0,9215072.0,100.0,0.0
132.0,13.777110131,3.2812081381163856E-5,132.0,63.63636363636363,25.423728813559325,132.0,9215072.0,100.0,0.0
