learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
6.0,2.129107171,4.994470147014088E-6,6.0,50.0,0.0,6.0,9067640.0,100.0,0.0
12.0,2.780760774,6.546857569891063E-6,12.0,41.66666666666667,-16.666666666666664,12.0,9208432.0,100.0,0.0
18.0,3.274399482,7.723665453450628E-6,18.0,44.44444444444444,-11.111111111111116,18.0,9215072.0,100.0,0.0
24.0,3.75336604,8.86549572786215E-6,24.0,50.0,-9.090909090909081,24.0,9215072.0,100.0,0.0
30.0,4.248493753,1.0045853318513687E-5,30.0,53.333333333333336,4.545454545454552,30.0,9215072.0,100.0,0.0
36.0,4.65661554,1.1018793504545486E-5,36.0,58.333333333333336,11.764705882352947,36.0,9215072.0,100.0,0.0
42.0,5.118959041,1.2120995313422536E-5,42.0,61.904761904761905,22.93577981651376,42.0,9215072.0,100.0,0.0
48.0,5.698198737,1.3501871305674435E-5,48.0,64.58333333333334,29.166666666666675,48.0,9215072.0,100.0,0.0
54.0,6.176496872,1.464210809593813E-5,54.0,66.66666666666666,31.837307152875173,54.0,9215072.0,100.0,0.0
60.0,6.846806502,1.6240089867274213E-5,60.0,66.66666666666666,32.126696832579185,60.0,9215072.0,100.0,0.0
66.0,7.300964992,1.7322779054236243E-5,66.0,66.66666666666666,30.791229742612014,66.0,9215072.0,100.0,0.0
72.0,7.77101878,1.8443361768781872E-5,72.0,68.05555555555556,33.00970873786409,72.0,9215072.0,100.0,0.0
78.0,8.223117758,1.9521141190932906E-5,78.0,66.66666666666666,31.53274814314651,78.0,9215072.0,100.0,0.0
84.0,8.650252484,2.0539407191456623E-5,84.0,66.66666666666666,32.29706390328151,84.0,9215072.0,100.0,0.0
90.0,9.151854444,2.1735199035513004E-5,90.0,64.44444444444444,27.927927927927932,90.0,9215072.0,100.0,0.0
96.0,9.649356604,2.2910201132064165E-5,96.0,63.541666666666664,26.315789473684198,96.0,9129480.0,100.0,0.0
102.0,10.203382818,2.4242362326707956E-5,102.0,62.745098039215684,25.029013539651828,102.0,9294560.0,100.0,0.0
108.0,10.646775848,2.530850499941104E-5,108.0,62.03703703703704,23.443983402489625,108.0,9294560.0,100.0,0.0
114.0,11.047075211,2.6271028548214146E-5,114.0,64.03508771929825,27.534883720930235,114.0,9294560.0,100.0,0.0
120.0,11.510134405,2.7384458695528135E-5,120.0,64.16666666666667,28.053541550474066,120.0,9294560.0,100.0,0.0
126.0,11.967147736,2.848413655396182E-5,126.0,65.87301587301587,30.875223271242657,126.0,9301200.0,100.0,0.0
132.0,12.393836021,2.9510845465145733E-5,132.0,65.15151515151516,29.13165266106442,132.0,9301200.0,100.0,0.0
138.0,12.898948697,3.072626127062338E-5,138.0,64.4927536231884,27.80269058295965,138.0,9301200.0,100.0,0.0
144.0,13.319582766,3.1738402363247585E-5,144.0,65.27777777777779,29.022082018927442,144.0,9301200.0,100.0,0.0
150.0,13.659360166,3.25559839483593E-5,150.0,66.66666666666666,31.04082383229128,150.0,9301200.0,100.0,0.0
156.0,14.122623,3.36706995302228E-5,156.0,65.38461538461539,28.3063829787234,156.0,9301200.0,100.0,0.0
162.0,14.588510451,3.479173053661768E-5,162.0,64.81481481481481,27.09616295594505,162.0,9301200.0,100.0,0.0
168.0,15.135328826,3.610749972491777E-5,168.0,64.88095238095238,27.074749852854623,168.0,9301200.0,100.0,0.0
174.0,15.595550976,3.721489873056242E-5,174.0,64.36781609195403,25.998079297571692,174.0,9301200.0,100.0,0.0
180.0,16.105636558,3.844228047718298E-5,180.0,65.0,27.67857142857143,180.0,9301200.0,100.0,0.0
186.0,16.507044058,3.940815807859417E-5,186.0,65.05376344086021,27.648114901256722,186.0,9301200.0,100.0,0.0
192.0,16.905949412,4.036801494851216E-5,192.0,65.625,28.576259722691923,192.0,9301200.0,100.0,0.0
198.0,17.308159111,4.1335822822890284E-5,198.0,66.16161616161617,29.127043487552108,198.0,9301200.0,100.0,0.0
204.0,17.97192058,4.2932983652189414E-5,204.0,66.66666666666666,29.939393939393945,204.0,9301200.0,100.0,0.0
210.0,18.454276592,4.40936417562279E-5,210.0,67.61904761904762,31.831201069314496,210.0,9301200.0,100.0,0.0
216.0,18.852131522,4.5050971067459046E-5,216.0,66.66666666666666,30.027895257806158,216.0,9301200.0,100.0,0.0
222.0,19.259545745,4.603130220848667E-5,222.0,66.66666666666666,30.75366717248355,222.0,9301200.0,100.0,0.0
228.0,19.710736189,4.71169688784676E-5,228.0,67.10526315789474,31.654676258992804,228.0,9301200.0,100.0,0.0
