learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
67.0,0.137519192,1.89774870448841E-7,67.0,73.13432835820896,8.636363636363608,67.0,5334304.0,100.0,31.0
134.0,0.462048439,6.376214212508914E-7,134.0,71.64179104477611,3.5606060606060175,134.0,5334304.0,100.0,31.0
201.0,0.682217927,9.414527298437142E-7,201.0,75.12437810945273,4.648956356736193,201.0,5334304.0,100.0,31.0
268.0,0.899964215,1.2419400508855367E-6,268.0,73.13432835820896,2.1103896103896393,268.0,5334304.0,100.0,31.0
335.0,1.165532355,1.6084209662463517E-6,335.0,73.13432835820896,2.1103896103896393,335.0,5334304.0,100.0,31.0
402.0,1.342092441,1.8520718120649209E-6,402.0,72.38805970149254,-4.0208077108046226E-14,402.0,5334304.0,100.0,31.0
469.0,1.517177249,2.0936867915636386E-6,469.0,71.00213219616205,-3.5118468029859975,469.0,5334304.0,100.0,31.0
536.0,1.69777412,2.3429083532892996E-6,536.0,71.0820895522388,-3.030904310729703,536.0,5334304.0,100.0,31.0
603.0,1.888840668,2.6065779463582238E-6,603.0,72.80265339966833,-0.7416160710647015,603.0,5334304.0,100.0,31.0
670.0,2.075435063,2.8640760207913897E-6,670.0,74.02985074626865,-0.6110190555095442,670.0,5334304.0,100.0,31.0
737.0,2.256342286,3.1137258646334377E-6,737.0,72.59158751696066,-1.909860080501553,737.0,5334304.0,100.0,31.0
804.0,2.431388812,3.355288015421596E-6,804.0,73.13432835820896,-2.305743740795265,804.0,5334304.0,100.0,31.0
871.0,2.625114845,3.622627666567473E-6,871.0,73.47876004592423,-1.555630706797446,871.0,5334304.0,100.0,31.0
938.0,2.831808035,3.907861842135547E-6,938.0,72.92110874200426,-3.02165490521655,938.0,5334304.0,100.0,31.0
1005.0,3.169508511,4.374626773385083E-6,1005.0,72.7,-1.8200805609428594,1005.0,5342800.0,100.0,31.0
1072.0,3.448411492,4.760583817712237E-6,1072.0,72.8,-2.2279683694638788,1072.0,5349192.0,100.0,31.0
1139.0,3.645939659,5.0339311560351656E-6,1139.0,73.2,-2.309601068906236,1139.0,5349192.0,100.0,31.0
1206.0,3.827771962,5.2855579331224975E-6,1206.0,72.3,-2.2759160525188893,1206.0,5349192.0,100.0,31.0
