learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10.0,0.024748447,9.158614932905055E-9,10.0,30.0,-52.17391304347827,10.0,1430488.0,100.0,9.999999999999998,0.35675303400633784,18151.760000000002,36.03499174834138
20.0,0.176074041,6.544222094249601E-8,20.0,45.0,-27.906976744186064,20.0,1437712.0,100.0,20.0,0.4701171141429559,18224.0,0.0
30.0,0.261481508,9.720842846787432E-8,30.0,43.333333333333336,-9.442060085836907,30.0,1437712.0,100.0,30.089999999999996,0.5968088538894242,18224.0,0.0
40.0,0.344070694,1.2792641266740652E-7,40.0,47.5,-13.513513513513512,40.0,1437712.0,100.0,40.04000000000001,0.679560166726994,18224.0,0.0
50.0,0.427130413,1.5881940555705172E-7,50.0,48.0,-12.068965517241391,50.0,1437712.0,100.0,50.550000000000004,0.7569709707148948,18224.0,0.0
60.0,0.508585811,1.8911569191021433E-7,60.0,53.333333333333336,-7.69230769230769,60.0,1437712.0,100.0,60.54,0.7691553809211766,18224.0,0.0
70.0,0.58963714,2.1926169000218107E-7,70.0,52.85714285714286,-7.441860465116294,70.0,1437712.0,100.0,70.96000000000001,0.8203128252765108,18224.0,0.0
80.0,0.669476453,2.4895689435055066E-7,80.0,52.5,-7.042253521126734,80.0,1437712.0,100.0,80.89999999999998,0.9010095348098053,18224.0,0.0
90.0,0.759919054,2.825958551278441E-7,90.0,53.333333333333336,-6.179775280898868,90.0,1437712.0,100.0,90.53999999999999,0.9290399084620375,18224.0,0.0
100.0,0.859913956,3.1978767125338107E-7,100.0,56.99999999999999,-4.368932038834982,100.0,1437712.0,100.0,100.81,0.9550181128960833,18224.0,0.0
110.0,0.927597491,3.449616905093462E-7,110.0,58.18181818181818,-3.688524590163933,110.0,1437712.0,100.0,110.66,0.9761002597949237,18224.0,0.0
120.0,0.991773826,3.6883125188889394E-7,120.0,58.333333333333336,-3.448275862068953,120.0,1437712.0,100.0,120.37999999999998,0.963765762228792,18224.0,0.0
130.0,1.056390908,3.928647434394206E-7,130.0,60.0,-2.735562310030392,130.0,1437712.0,100.0,130.24,1.0198157884756651,18224.0,0.0
140.0,1.120419524,4.1667936263915355E-7,140.0,59.285714285714285,-2.835051546391759,140.0,1437712.0,100.0,139.94999999999993,1.1156711980786373,18224.0,0.0
150.0,1.185953319,4.410538137851593E-7,150.0,60.0,-2.5056947608200444,150.0,1437712.0,100.0,149.79999999999993,1.1557497894257114,18224.0,0.0
160.0,1.249465498,4.6467635089310296E-7,160.0,60.62499999999999,-2.23123732251523,160.0,1437712.0,100.0,159.65,1.1952240819447228,18224.0,0.0
170.0,1.313904832,4.8864373136396E-7,170.0,61.76470588235294,-1.843317972350229,170.0,1437712.0,100.0,169.46000000000006,1.2236243564332008,18224.0,0.0
180.0,1.377670418,5.123605199423328E-7,180.0,61.66666666666667,-1.8032786885245504,180.0,1437712.0,100.0,179.64999999999998,1.3423464304694002,18224.0,0.0
190.0,1.452937796,5.403552519420431E-7,190.0,61.578947368421055,-1.760821716801145,190.0,1437712.0,100.0,189.76999999999992,1.4304661244969539,18224.0,0.0
200.0,1.526993412,5.678992846701853E-7,200.0,61.5,-1.7173051519154423,200.0,1437712.0,100.0,199.36000000000004,1.4793200731376148,18224.0,0.0
210.0,1.597556374,5.941442697192956E-7,210.0,62.38095238095238,-1.4678899082568884,210.0,1437712.0,100.0,209.63000000000002,1.4750213146893427,18224.0,0.0
220.0,1.664498874,6.190426705496075E-7,220.0,62.272727272727266,-1.4444444444444304,220.0,1437712.0,100.0,219.13000000000005,1.513284941156593,18224.0,0.0
230.0,1.733583794,6.447379169101413E-7,230.0,61.30434782608696,-1.588089330024847,230.0,1437712.0,100.0,229.28999999999996,1.5445763696289552,18224.0,0.0
240.0,1.800059455,6.694626829860711E-7,240.0,60.83333333333333,-1.621621621621645,240.0,1437712.0,100.0,239.05999999999997,1.589982529603532,18224.0,0.0
