learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10.0,0.755439515,5.296196060611555E-7,10.0,50.0,13.793103448275856,10.0,2709984.0,100.0,9.029999999999996,0.34478949807063153,21338.079999999998,45.2442075761297,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20.0,1.07967509,7.577879013077044E-7,20.0,50.0,7.407407407407414,20.0,2720176.0,100.0,18.230000000000004,0.47158769014357177,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,1.247213261,8.756864350074529E-7,30.0,66.66666666666666,31.19266055045871,30.0,2720176.0,100.0,24.690000000000005,0.6188446387169294,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.0,1.413548676,9.927385755064627E-7,40.0,65.0,32.530120481927725,40.0,2720176.0,100.0,39.19000000000001,0.7559454579224187,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,1.590926169,1.1175611530194844E-6,50.0,62.0,25.431711145996854,50.0,2720176.0,100.0,56.30999999999999,0.9571311299921239,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,1.718827964,1.2075671140375608E-6,60.0,60.0,22.077922077922068,60.0,2720176.0,100.0,63.259999999999984,0.9292790732388175,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,1.840894398,1.2934666645498863E-6,70.0,55.714285714285715,12.711182622687048,70.0,2720176.0,100.0,74.54999999999998,1.1078576103671829,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
80.0,1.965395557,1.3810795589870547E-6,80.0,56.25,13.473423980222496,80.0,2720176.0,100.0,84.17,1.1578502371711,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,2.099214013,1.4752491422539289E-6,90.0,55.55555555555556,12.02346041055719,90.0,2720176.0,100.0,92.82000000000001,1.2309460925760654,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
100.0,2.223002703,1.5623606640790819E-6,100.0,57.99999999999999,16.367980884109905,100.0,2720176.0,100.0,99.73,1.2248153849755183,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110.0,2.343849674,1.6474020644830294E-6,110.0,59.09090909090909,17.472490830276758,110.0,2720176.0,100.0,113.08,1.242893333469867,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
120.0,2.459893315,1.7290633064401236E-6,120.0,59.166666666666664,17.369308600337266,120.0,2720176.0,100.0,124.68999999999998,1.2630486606587723,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,2.576248733,1.8109439494502547E-6,130.0,58.46153846153847,15.908001916626738,130.0,2720176.0,100.0,134.24000000000007,1.2590777448897938,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,2.700744197,1.8985528362505637E-6,140.0,60.0,19.72148269506451,140.0,2720176.0,100.0,142.8499999999999,1.3221787192571828,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150.0,2.832196229,1.9910571397901576E-6,150.0,60.0,19.72886193364251,150.0,2720176.0,100.0,154.18999999999994,1.370518960913063,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,2.961217511,2.0818508966580282E-6,160.0,61.25000000000001,21.207307386814943,160.0,2720176.0,100.0,163.38000000000008,1.4685786435609205,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
170.0,3.110294258,2.186757914414766E-6,170.0,60.0,18.92271005751156,170.0,2720176.0,100.0,173.9,1.5592344664007785,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,3.256542878,2.2896747467443475E-6,180.0,60.55555555555555,20.124999999999986,180.0,2720176.0,100.0,184.88,1.728915114962986,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
190.0,3.394254708,2.3865841419776824E-6,190.0,61.578947368421055,22.4879847993741,190.0,2720176.0,100.0,194.75000000000006,1.7835032487729972,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200.0,3.515354797,2.4718036644231615E-6,200.0,62.0,23.379372920657325,200.0,2720176.0,100.0,203.89,1.8068833035720027,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,3.6413136,2.5604423196719135E-6,210.0,61.42857142857143,22.22222222222224,210.0,2720176.0,100.0,214.88000000000005,1.8334314023357154,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220.0,3.757630463,2.642295831086065E-6,220.0,61.81818181818181,23.044890480553004,220.0,2720176.0,100.0,223.31000000000006,1.9152073495888615,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
230.0,3.86858548,2.720376149934303E-6,230.0,60.86956521739131,21.382453475123445,230.0,2720176.0,100.0,237.1,1.965536398374076,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
240.0,3.968129203,2.7904262102319883E-6,240.0,60.83333333333333,21.666666666666657,240.0,2720176.0,100.0,245.49,2.006026022772488,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250.0,4.071529392,2.8631901099129562E-6,250.0,61.6,23.33248147201635,250.0,2720176.0,100.0,253.38999999999996,2.0237426574133233,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260.0,4.180038445,2.9395491758230663E-6,260.0,61.53846153846154,22.802850356294552,260.0,2720176.0,100.0,264.1399999999999,2.04163828056952,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270.0,4.289146922,3.0163300632813205E-6,270.0,61.48148148148148,22.67445062510327,270.0,2720176.0,100.0,273.09999999999997,2.099134020581734,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,4.387207426,3.085336365346408E-6,280.0,61.78571428571429,22.823286965481714,280.0,2720176.0,100.0,281.82999999999987,2.1549124053537465,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290.0,4.486542048,3.155239278870627E-6,290.0,62.06896551724138,22.90589201991396,290.0,2720176.0,100.0,291.0099999999999,2.21835752326132,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300.0,4.604259774,3.23807859365501E-6,300.0,62.33333333333333,23.010537790697672,300.0,2720176.0,100.0,305.01000000000005,2.219359039329722,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310.0,4.728912621,3.3257982326786393E-6,310.0,62.25806451612903,22.58932001536687,310.0,2720176.0,100.0,314.9799999999999,2.209025563318347,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
320.0,4.852055635,3.412455384892433E-6,320.0,62.5,22.58064516129032,320.0,2720176.0,100.0,322.92,2.260762363594737,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330.0,4.975753066,3.499502686711944E-6,330.0,63.33333333333333,23.905172085223143,330.0,2720176.0,100.0,332.15000000000003,2.300082343717022,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
340.0,5.09393041,3.582665439957774E-6,340.0,62.94117647058823,23.00503235082675,340.0,2720176.0,100.0,344.79999999999984,2.228284659834224,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,5.211231547,3.6652115962818356E-6,350.0,61.42857142857143,20.183114294401854,350.0,2720176.0,100.0,356.74,2.276476987528641,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,5.317508156,3.739999665728299E-6,360.0,61.38888888888889,20.0587896990223,360.0,2720176.0,100.0,363.33000000000004,2.3111960697282425,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
370.0,5.41787198,3.810626840511648E-6,370.0,61.35135135135135,19.455015984168043,370.0,2720176.0,100.0,371.97999999999996,2.3299967485996307,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380.0,5.522695618,3.8843924375902575E-6,380.0,62.10526315789474,20.668058455114842,380.0,2720176.0,100.0,383.9999999999999,2.352904931390476,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
390.0,5.632509869,3.961669986312191E-6,390.0,61.794871794871796,19.95206215389703,390.0,2720176.0,100.0,395.5599999999999,2.343024032348284,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
400.0,5.744583007,4.0405371397403464E-6,400.0,61.25000000000001,18.686391774210485,400.0,2720176.0,100.0,404.8400000000001,2.366633375779512,21440.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
410.0,5.856388554,4.118611355357218E-6,410.0,60.731707317073166,17.793718398963858,410.0,2699272.0,100.0,415.1300000000001,2.334616746606465,21231.039999999994,208.95999999999998,1.02,0.02,1.0099999999999998,0.009999999999999998,1.0099999999999998,0.009999999999999998,0.01,0.009999999999999998,0.0,0.0,0.0,0.0,1.0,0.0
420.0,5.97770193,4.203998043130684E-6,420.0,60.71428571428571,18.015332197614978,420.0,2720720.0,100.0,424.4000000000001,2.300241533211482,21445.28,3.7146197651980457,1.04,0.028141058827257936,1.02,0.014070529413628968,1.02,0.014070529413628968,0.02,0.014070529413628968,0.0,0.0,0.0,0.0,1.0,0.0
430.0,6.085306523,4.279743345464971E-6,430.0,60.93023255813953,18.324891461649777,430.0,2720992.0,100.0,433.98999999999984,2.3278070922191683,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
440.0,6.187223787,4.351485208516889E-6,440.0,61.36363636363637,19.56297315898142,440.0,2720992.0,100.0,442.73999999999995,2.343855926899219,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
450.0,6.290612375,4.424262769749568E-6,450.0,62.22222222222222,20.669487307117972,450.0,2720992.0,100.0,449.08,2.3733656790441398,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
460.0,6.393745487,4.496860495658126E-6,460.0,62.39130434782608,20.97318768619662,460.0,2720992.0,100.0,462.69000000000005,2.4701733877719123,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
470.0,6.494447596,4.567746983671749E-6,470.0,62.76595744680851,21.65920563863224,470.0,2720992.0,100.0,469.49,2.5374565727487552,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
480.0,6.607007399,4.646980370195712E-6,480.0,63.125,22.481751824817508,480.0,2720992.0,100.0,479.7399999999998,2.5300864360209863,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
490.0,6.720419238,4.72681352409596E-6,490.0,63.6734693877551,23.52879287367608,490.0,2720992.0,100.0,494.39,2.6191561213258714,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
500.0,6.820816585,4.797485483257363E-6,500.0,63.800000000000004,23.595164122652978,500.0,2720992.0,100.0,504.91,2.6458312932466495,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
510.0,6.92553235,4.871197274343187E-6,510.0,63.52941176470588,23.043224299065415,510.0,2720992.0,100.0,514.5700000000003,2.6627719664767655,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
520.0,7.03109363,4.945504242526175E-6,520.0,63.653846153846146,23.629242819843334,520.0,2720992.0,100.0,523.7899999999998,2.6442732098028,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
530.0,7.133339283,5.017477266009025E-6,530.0,63.0188679245283,22.604678885412014,530.0,2720992.0,100.0,535.8700000000002,2.6428349868421135,21447.920000000002,4.526190451140969,1.0600000000000003,0.03428932159955306,1.0300000000000002,0.017144660799776522,1.0300000000000002,0.017144660799776522,0.03,0.01714466079977653,0.0,0.0,0.0,0.0,1.0,0.0
540.0,7.238187177,5.0912449597409215E-6,540.0,62.96296296296296,22.48062015503878,540.0,2719624.0,100.0,544.1899999999999,2.697349802972531,21434.160000000003,14.561098859632793,1.0799999999999998,0.03938927711338648,1.0399999999999998,0.01969463855669324,1.0399999999999998,0.01969463855669324,0.039999999999999994,0.01969463855669324,0.0,0.0,0.0,0.0,1.0,0.0
550.0,7.344643873,5.166144556162358E-6,550.0,63.272727272727266,22.9039734639779,550.0,2719624.0,100.0,550.4000000000003,2.7000935262514627,21434.160000000003,14.561098859632793,1.0799999999999998,0.03938927711338648,1.0399999999999998,0.01969463855669324,1.0399999999999998,0.01969463855669324,0.039999999999999994,0.01969463855669324,0.0,0.0,0.0,0.0,1.0,0.0
560.0,7.450710121,5.240240852726848E-6,560.0,63.57142857142857,23.664938258405943,560.0,2700360.0,100.0,560.0699999999998,2.731420431892092,21241.600000000002,209.13128253165127,1.1,0.043808582711518065,1.0499999999999996,0.021904291355759033,1.0499999999999996,0.021904291355759033,0.04999999999999999,0.021904291355759033,0.0,0.0,0.0,0.0,1.0,0.0
