learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.504144043,1.7443947104331727E-7,10.0,60.0,-17.64705882352943,10.0,1337496.0,50.0,0.0
20.0,0.728220399,2.536836299657263E-7,20.0,45.0,-34.14634146341462,20.0,1367016.0,50.0,0.0
30.0,0.902077206,3.1531526914458724E-7,30.0,53.333333333333336,-18.644067796610145,30.0,1370296.0,50.0,0.0
40.0,0.979867112,3.428915228506012E-7,40.0,62.5,16.201117318435756,40.0,1370296.0,50.0,0.0
50.0,1.052039537,3.684763988932367E-7,50.0,68.0,20.634920634920647,50.0,1370296.0,50.0,0.0
60.0,1.120615567,3.927863652972484E-7,60.0,68.33333333333333,17.391304347826107,60.0,1370296.0,50.0,0.0
70.0,1.187100247,4.163549553305511E-7,70.0,68.57142857142857,14.917127071823202,70.0,1370296.0,50.0,0.0
80.0,1.250708769,4.389039572606546E-7,80.0,70.0,20.595533498759316,80.0,1370296.0,50.0,0.0
90.0,1.311443089,4.6043406448282093E-7,90.0,67.77777777777779,17.56159191408721,90.0,1370296.0,50.0,0.0
100.0,1.366284039,4.798749923414923E-7,100.0,67.0,18.073485600794438,100.0,1370296.0,50.0,0.0
110.0,1.420172414,4.98978235644098E-7,110.0,66.36363636363637,22.47619047619049,110.0,1370296.0,50.0,0.0
120.0,1.479591318,5.200420324256147E-7,120.0,64.16666666666667,20.370370370370374,120.0,1370296.0,50.0,0.0
130.0,1.53470283,5.39578873581253E-7,130.0,65.38461538461539,20.796100731112908,130.0,1370296.0,50.0,0.0
140.0,1.607439014,5.653636002473492E-7,140.0,65.71428571428571,22.93577981651376,140.0,1370296.0,50.0,0.0
150.0,1.656504392,5.827571077277346E-7,150.0,66.66666666666666,24.165824064711828,150.0,1370296.0,50.0,0.0
160.0,1.705743072,6.002120501701286E-7,160.0,66.25,23.742277140335396,160.0,1370296.0,50.0,0.0
170.0,1.747672357,6.150758372644562E-7,170.0,66.47058823529412,22.960725075528686,170.0,1370296.0,50.0,0.0
