learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.855974033,6.010070742450386E-7,10.0,60.0,23.076923076923077,10.0,2714072.0,100.0,0.0
20.0,1.157306725,8.131456574583447E-7,20.0,55.00000000000001,11.76470588235294,20.0,2721296.0,100.0,0.0
30.0,1.349967175,9.487788495722558E-7,30.0,66.66666666666666,31.818181818181817,30.0,2721296.0,100.0,0.0
40.0,1.507643649,1.0597832798530223E-6,40.0,67.5,35.96059113300493,40.0,2721296.0,100.0,0.0
50.0,1.670538899,1.1744617348119595E-6,50.0,64.0,27.652733118971067,50.0,2721296.0,100.0,0.0
60.0,1.81094271,1.2733061892440355E-6,60.0,61.66666666666667,22.81879194630872,60.0,2721296.0,100.0,0.0
70.0,1.928042964,1.355744911085336E-6,70.0,61.42857142857143,21.70671085335544,70.0,2721296.0,100.0,0.0
80.0,2.045951623,1.438752751034016E-6,80.0,60.0,19.999999999999996,80.0,2721296.0,100.0,0.0
90.0,2.16009863,1.5191123833802444E-6,90.0,58.88888888888889,17.777777777777782,90.0,2721296.0,100.0,0.0
100.0,2.275362124,1.6002580239381411E-6,100.0,60.0,19.646444355162714,100.0,2721296.0,100.0,0.0
110.0,2.389928708,1.6809130390048377E-6,110.0,60.0,18.95512391158741,110.0,2721296.0,100.0,0.0
120.0,2.49829716,1.7572045615731861E-6,120.0,59.166666666666664,17.369308600337266,120.0,2721296.0,100.0,0.0
130.0,2.618277731,1.8416710301004825E-6,130.0,60.0,17.68144179249878,130.0,2721296.0,100.0,0.0
140.0,2.736645298,1.925001941841669E-6,140.0,60.0,18.58774662512979,140.0,2721296.0,100.0,0.0
150.0,2.856163645,2.009143004108409E-6,150.0,60.0,18.0626365622724,150.0,2721296.0,100.0,0.0
160.0,2.966561985,2.086863570308046E-6,160.0,60.62499999999999,19.127086007702164,160.0,2721296.0,100.0,0.0
170.0,3.106821736,2.1856066063241683E-6,170.0,59.411764705882355,16.891030182797216,170.0,2721296.0,100.0,0.0
180.0,3.280234552,2.3076894405931752E-6,180.0,59.44444444444444,16.83544303797469,180.0,2721296.0,100.0,0.0
190.0,3.462754349,2.436183600609375E-6,190.0,59.473684210526315,17.27920389008255,190.0,2721296.0,100.0,0.0
200.0,3.593393241,2.528153540138658E-6,200.0,60.0,18.00758429845239,200.0,2721296.0,100.0,0.0
210.0,3.703022049,2.6053323548703947E-6,210.0,60.0,17.29957805907173,210.0,2721296.0,100.0,0.0
220.0,3.806575254,2.6782339376694396E-6,220.0,60.45454545454545,18.400409276944064,220.0,2721296.0,100.0,0.0
230.0,3.908755073,2.750168655047042E-6,230.0,58.69565217391305,14.8811842617842,230.0,2721296.0,100.0,0.0
240.0,4.012617239,2.823287746767449E-6,240.0,58.333333333333336,14.529914529914546,240.0,2721296.0,100.0,0.0
250.0,4.113562497,2.8943533316931686E-6,250.0,57.99999999999999,14.221292725965606,250.0,2721296.0,100.0,0.0
260.0,4.216370567,2.9667303385421113E-6,260.0,57.692307692307686,13.54292623941958,260.0,2721296.0,100.0,0.0
270.0,4.318141864,3.038377455932748E-6,270.0,58.14814814814815,13.886536833192217,270.0,2721296.0,100.0,0.0
280.0,4.423491727,3.1125438881582162E-6,280.0,58.92857142857143,14.715541900625084,280.0,2721296.0,100.0,0.0
290.0,4.53993486,3.1945199960129145E-6,290.0,59.6551724137931,15.424497731691503,290.0,2721296.0,100.0,0.0
300.0,4.676229662,3.29047170309028E-6,300.0,59.333333333333336,14.30979584191797,300.0,2721296.0,100.0,0.0
310.0,4.825850891,3.3958052310524358E-6,310.0,60.0,15.12475160079487,310.0,2721296.0,100.0,0.0
320.0,4.933467679,3.4715675812467076E-6,320.0,60.3125,15.15657620041754,320.0,2721296.0,100.0,0.0
330.0,5.042748244,3.5485012324811035E-6,330.0,60.303030303030305,14.568594126714373,330.0,2721296.0,100.0,0.0
