learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
10.0,0.91987221,6.461043128164484E-7,10.0,50.0,0.0,10.0,2715048.0,100.0,0.0
20.0,1.296206517,9.108198118692635E-7,20.0,55.00000000000001,8.163265306122456,20.0,2718992.0,100.0,0.0
30.0,1.474231883,1.0360437755849874E-6,30.0,63.33333333333333,26.008968609865462,30.0,2718992.0,100.0,0.0
40.0,1.632054442,1.147151049884181E-6,40.0,65.0,29.47103274559194,40.0,2721296.0,100.0,0.0
50.0,1.822548515,1.281259109944097E-6,50.0,57.99999999999999,15.185783521809357,50.0,2721296.0,100.0,0.0
60.0,2.016280986,1.4176470061513659E-6,60.0,56.666666666666664,12.162162162162153,60.0,2721296.0,100.0,0.0
70.0,2.138025927,1.5033555933136494E-6,70.0,58.57142857142858,15.907207953603987,70.0,2721296.0,100.0,0.0
80.0,2.254758219,1.585535269457524E-6,80.0,56.25,11.504424778761063,80.0,2721296.0,100.0,0.0
90.0,2.377042547,1.6716235857266104E-6,90.0,53.333333333333336,5.688622754491017,90.0,2721296.0,100.0,0.0
100.0,2.490688437,1.7516304310927787E-6,100.0,56.99999999999999,10.862354892205637,100.0,2721296.0,100.0,0.0
110.0,2.62023339,1.8428302362299336E-6,110.0,57.27272727272727,10.70811744386874,110.0,2721296.0,100.0,0.0
120.0,2.73541118,1.923915541067152E-6,120.0,55.00000000000001,6.3583815028901745,120.0,2721296.0,100.0,0.0
130.0,2.842316457,1.9991769866483906E-6,130.0,56.15384615384615,7.072987208427395,130.0,2721296.0,100.0,0.0
140.0,2.961412144,2.0830204957588968E-6,140.0,57.14285714285714,10.237230177388327,140.0,2721296.0,100.0,0.0
150.0,3.058405139,2.151303682705354E-6,150.0,57.333333333333336,10.112359550561806,150.0,2721296.0,100.0,0.0
160.0,3.168957807,2.229132896005486E-6,160.0,56.875,8.970976253298149,160.0,2721296.0,100.0,0.0
170.0,3.276721886,2.3049989392436584E-6,170.0,57.05882352941176,8.332102230757862,170.0,2721296.0,100.0,0.0
180.0,3.389595888,2.384462374515049E-6,180.0,57.22222222222222,8.815789473684198,180.0,2721296.0,100.0,0.0
190.0,3.51406748,2.4720905273116417E-6,190.0,57.36842105263158,9.246373393088808,190.0,2721296.0,100.0,0.0
200.0,3.634927318,2.5571760008808677E-6,200.0,57.49999999999999,10.147991543340366,200.0,2721296.0,100.0,0.0
210.0,3.746663857,2.6358386608109704E-6,210.0,58.0952380952381,10.334788937409023,210.0,2721296.0,100.0,0.0
220.0,3.852107472,2.7100710945589465E-6,220.0,57.72727272727273,9.915463191264525,220.0,2721296.0,100.0,0.0
230.0,3.963127454,2.7882292974858523E-6,230.0,57.391304347826086,9.876049580167946,230.0,2721296.0,100.0,0.0
240.0,4.061541842,2.8575131468403878E-6,240.0,56.666666666666664,8.771929824561395,240.0,2721296.0,100.0,0.0
250.0,4.159901457,2.9267584359360237E-6,250.0,57.199999999999996,10.696401148427585,250.0,2721296.0,100.0,0.0
260.0,4.260029663,2.9972488152558023E-6,260.0,56.53846153846154,9.040247678018563,260.0,2721296.0,100.0,0.0
270.0,4.357713237,3.066018170661727E-6,270.0,57.77777777777777,10.549258936355693,270.0,2721296.0,100.0,0.0
