learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
9.0,0.225468542,5.476567886622416E-8,9.0,77.77777777777779,40.00000000000002,9.0,938912.0,50.0,6.440000000000001,0.3919183588453084,12892.0,65.46536707079774,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18.0,0.409499428,1.0018040069905007E-7,18.0,72.22222222222221,26.229508196721284,18.0,953912.0,50.0,15.08,0.6570434707452619,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27.0,0.511594269,1.2537513243870811E-7,27.0,70.37037037037037,14.285714285714285,27.0,953912.0,50.0,26.8,0.8769148144698746,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.0,0.60960515,1.495620338548389E-7,36.0,66.66666666666666,18.18181818181818,36.0,953912.0,50.0,38.00000000000001,1.0875923606099587,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45.0,0.70546084,1.732170821571309E-7,45.0,66.66666666666666,18.18181818181818,45.0,953912.0,50.0,48.580000000000005,1.268484553009807,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54.0,0.799354495,1.9638794394221367E-7,54.0,70.37037037037037,29.983792544570502,54.0,953912.0,50.0,57.92,1.4556967614254317,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.892514551,2.1937776984116894E-7,63.0,69.84126984126983,28.366247755834827,63.0,953912.0,50.0,68.4,1.6934447443128509,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
72.0,0.984036041,2.4196323416412916E-7,72.0,69.44444444444444,27.13891444342226,72.0,953912.0,50.0,76.11999999999998,1.796967967870051,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81.0,1.070966728,2.6341579060534225E-7,81.0,65.4320987654321,19.97177134791816,81.0,953912.0,50.0,83.52000000000001,1.9431176295965664,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
90.0,1.129740594,2.779198710531742E-7,90.0,61.111111111111114,15.185783521809388,90.0,953912.0,50.0,94.42000000000002,2.005317421054251,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99.0,1.186047002,2.918150378499346E-7,99.0,58.58585858585859,11.162179908076164,99.0,953912.0,50.0,105.85999999999999,2.2331473168547373,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108.0,1.240492749,3.0525103497372944E-7,108.0,57.407407407407405,9.343065693430647,108.0,953912.0,50.0,113.86000000000001,2.3487747565790245,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117.0,1.294180995,3.1850009773041433E-7,117.0,57.26495726495726,10.303587856485743,117.0,953912.0,50.0,121.97999999999999,2.3354394770621667,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,1.344818695,3.3099635371080495E-7,126.0,57.936507936507944,11.783355350066053,126.0,953912.0,50.0,131.12000000000006,2.376352890718146,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
135.0,1.402353365,3.451946281993244E-7,135.0,57.03703703703704,9.646895915070393,135.0,953912.0,50.0,139.82,2.3994370087967876,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
144.0,1.472709155,3.6255686940582885E-7,144.0,57.638888888888886,10.985002026753135,144.0,953912.0,50.0,149.98000000000005,2.470311886448051,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153.0,1.534651851,3.7784294648538656E-7,153.0,58.82352941176471,13.48173413517638,153.0,953912.0,50.0,159.01999999999995,2.5732517346338106,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
162.0,1.597157286,3.9326789501041174E-7,162.0,58.64197530864198,12.622766060215755,162.0,953912.0,50.0,167.54,2.5705093595135846,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
171.0,1.653705505,4.072227353736034E-7,171.0,59.06432748538012,15.154522256875541,171.0,953912.0,50.0,177.8,2.618302924430562,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180.0,1.708588353,4.2076659928410626E-7,180.0,58.333333333333336,14.470349721236712,180.0,953912.0,50.0,186.57999999999998,2.675221142871241,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189.0,1.761700801,4.338735679251225E-7,189.0,59.25925925925925,17.420416501163245,189.0,953912.0,50.0,198.09999999999994,2.7724961125090077,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198.0,1.815539138,4.471596697960711E-7,198.0,59.59595959595959,18.02090880861194,198.0,953912.0,50.0,207.23999999999998,2.960772100073127,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
207.0,1.868298026,4.601793877076026E-7,207.0,60.38647342995169,20.242458415562453,207.0,953912.0,50.0,214.45999999999998,2.9898071741795507,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
216.0,1.920461297,4.730521206159E-7,216.0,60.64814814814815,20.546996711095733,216.0,953912.0,50.0,223.27999999999994,3.043901899784257,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
225.0,1.971440548,4.856326637721766E-7,225.0,61.33333333333333,21.621621621621607,225.0,953912.0,50.0,232.18,2.913962166913647,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
234.0,2.02266648,4.982740823023643E-7,234.0,61.111111111111114,21.592164371455937,234.0,953912.0,50.0,242.06000000000006,2.9207784816338793,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
243.0,2.073490155,5.108162327686015E-7,243.0,60.90534979423868,21.391357646337728,243.0,953912.0,50.0,251.74,2.9788108845165526,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,2.123633421,5.231904734554576E-7,252.0,61.111111111111114,21.84315463003989,252.0,953912.0,50.0,259.32000000000005,3.009161521292017,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
261.0,2.174076619,5.356387306764121E-7,261.0,61.68582375478927,23.085990452053984,261.0,953912.0,50.0,267.46000000000004,3.0788561353270163,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
270.0,2.223438522,5.478201483862847E-7,270.0,61.85185185185185,23.291223037457936,270.0,953912.0,50.0,274.73999999999995,3.122506842200965,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
279.0,2.275292176,5.606164747182984E-7,279.0,61.648745519713266,23.057295291115757,279.0,953912.0,50.0,287.06,3.3441279635705756,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
288.0,2.329283126,5.739402380769121E-7,288.0,62.15277777777778,24.15192809510003,288.0,953912.0,50.0,294.76000000000005,3.3076978861622846,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297.0,2.384014422,5.874467023309072E-7,297.0,61.95286195286195,23.87897207920341,297.0,953912.0,50.0,303.88000000000005,3.460286646142103,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
306.0,2.435421637,6.001328574658951E-7,306.0,62.091503267973856,24.183006535947715,306.0,953912.0,50.0,311.39999999999986,3.413060150632677,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315.0,2.491823054,6.140514703667329E-7,315.0,61.904761904761905,23.781102552728154,315.0,953912.0,50.0,323.21999999999997,3.5690609294837423,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
324.0,2.543307928,6.26756790012415E-7,324.0,61.72839506172839,23.38964951756225,324.0,953912.0,50.0,331.08,3.5143832739071543,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
333.0,2.594533067,6.393980128478734E-7,333.0,61.56156156156156,23.27188940092166,333.0,953912.0,50.0,341.1399999999999,3.5910330501607675,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
342.0,2.645595283,6.519990299174085E-7,342.0,61.111111111111114,22.54010421988353,342.0,953912.0,50.0,349.92,3.6927772856797962,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
351.0,2.696481721,6.645566688934733E-7,351.0,60.68376068376068,21.517223500437467,351.0,953912.0,50.0,359.9800000000001,3.8387381004806285,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
360.0,2.748063448,6.772858897013423E-7,360.0,60.27777777777777,20.668187141712373,360.0,953912.0,50.0,371.0400000000001,4.022179326013727,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
369.0,2.798657853,6.897714614404924E-7,369.0,59.891598915989164,19.921405319804112,369.0,953912.0,50.0,378.59999999999997,4.046666554595475,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
378.0,2.85329639,7.032550348402725E-7,378.0,60.58201058201058,21.441124780316333,378.0,953912.0,50.0,384.34000000000003,4.103021286012222,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
387.0,2.903862504,7.157336249910419E-7,387.0,60.72351421188631,21.76619231280757,387.0,953912.0,50.0,390.4200000000001,4.219497020029852,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
396.0,2.956615546,7.287519002400421E-7,396.0,61.36363636363637,22.88070872155185,396.0,953912.0,50.0,398.22,4.208571428571427,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
405.0,3.007863546,7.413987646608799E-7,405.0,61.97530864197531,24.262295081967228,405.0,953912.0,50.0,404.8399999999998,4.174887020345948,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
414.0,3.060885335,7.544833606808859E-7,414.0,61.83574879227053,24.08077994428969,414.0,953912.0,50.0,414.88,4.2776724550452725,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
423.0,3.113426368,7.674493168329653E-7,423.0,62.174940898345156,24.764890282131656,423.0,953912.0,50.0,422.56,4.265874076042689,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
432.0,3.165708467,7.803513738437721E-7,432.0,62.268518518518526,24.91362763915548,432.0,953912.0,50.0,430.9400000000001,4.264653968305956,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
441.0,3.218210201,7.933076318783664E-7,441.0,63.038548752834465,26.485718084290415,441.0,953912.0,50.0,440.13999999999993,4.401948548132765,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
450.0,3.264994135,8.048528642849272E-7,450.0,63.33333333333333,27.13015486682237,450.0,953912.0,50.0,449.8399999999999,4.431092370041132,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
459.0,3.318261075,8.179979581089379E-7,459.0,63.61655773420479,27.641478264973802,459.0,953912.0,50.0,461.38,4.461892158339674,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
468.0,3.370089674,8.307881014252619E-7,468.0,63.46153846153846,27.42672663958212,468.0,953912.0,50.0,474.08000000000004,4.544639362895092,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
477.0,3.420627197,8.432596359543357E-7,477.0,63.102725366876314,26.825186528136115,477.0,953912.0,50.0,484.32,4.556353715820741,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
486.0,3.466296374,8.545297711738612E-7,486.0,63.580246913580254,27.779363613466558,486.0,953912.0,50.0,492.44000000000005,4.488912417710724,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
495.0,3.512145477,8.658443081208255E-7,495.0,63.23232323232323,27.0384528167417,495.0,953912.0,50.0,502.3599999999999,4.588962801313251,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
504.0,3.558465719,8.772751116744159E-7,504.0,63.69047619047619,27.94825323417285,504.0,953912.0,50.0,510.82,4.669194747687949,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
513.0,3.605404051,8.888584460668657E-7,513.0,63.74269005847953,28.09278350515465,513.0,953912.0,50.0,522.0199999999999,4.708523751492326,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
522.0,3.653069446,9.006212034062874E-7,522.0,63.601532567049816,27.855449030362117,522.0,953912.0,50.0,529.1,4.60472250931097,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
531.0,3.702412051,9.127978587997848E-7,531.0,63.84180790960452,28.312871788381223,531.0,953912.0,50.0,539.9199999999998,4.536998918191787,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
540.0,3.75045949,9.246548960851712E-7,540.0,63.888888888888886,28.416043507817808,540.0,953912.0,50.0,548.4399999999997,4.571532141683903,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
549.0,3.794312305,9.354767936377993E-7,549.0,63.57012750455373,27.88840435033888,549.0,953912.0,50.0,558.26,4.567391967825303,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
558.0,3.838243433,9.463180170937482E-7,558.0,63.44086021505376,27.602523659305987,558.0,953912.0,50.0,568.4599999999998,4.496094450311566,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
567.0,3.885918147,9.58083074154711E-7,567.0,63.49206349206349,27.700401017636146,567.0,953912.0,50.0,576.1199999999998,4.467354602318598,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
576.0,3.930184732,9.690070809231408E-7,576.0,63.541666666666664,27.83505154639175,576.0,953912.0,50.0,584.5200000000001,4.567519757449754,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
585.0,3.977782722,9.807532042105744E-7,585.0,63.418803418803414,27.603196817062027,585.0,953912.0,50.0,591.3399999999999,4.582630026435003,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
594.0,4.025512886,9.92531945095923E-7,594.0,63.63636363636363,28.055714429902757,594.0,953912.0,50.0,601.2399999999999,4.655438776751513,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
603.0,4.075327707,1.0048251328756472E-6,603.0,63.51575456053068,27.808796160250765,603.0,953912.0,50.0,611.4399999999999,4.6323758615260235,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
612.0,4.120835778,1.0160555107243606E-6,612.0,63.0718954248366,26.96743125079205,612.0,953912.0,50.0,618.7199999999999,4.644069292316463,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
621.0,4.167291404,1.0275197240323366E-6,621.0,63.28502415458937,27.398215567634104,621.0,953912.0,50.0,625.8200000000002,4.635065109729155,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
630.0,4.211585226,1.0384504522854337E-6,630.0,63.33333333333333,27.456258411843876,630.0,953912.0,50.0,633.8,4.632537982927426,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
639.0,4.255658546,1.0493267655584629E-6,639.0,63.38028169014085,27.55102040816328,639.0,953912.0,50.0,642.9599999999998,4.648454647756059,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
648.0,4.299682283,1.0601908428519693E-6,648.0,63.117283950617285,26.99400384658899,648.0,953912.0,50.0,654.0,4.811805210911504,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
657.0,4.344003354,1.0711282955510663E-6,657.0,62.86149162861492,26.496588658205567,657.0,953912.0,50.0,665.0600000000001,4.894095567985102,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
666.0,4.389631566,1.082388321521431E-6,666.0,62.91291291291291,26.54914673024888,666.0,953912.0,50.0,674.26,4.835566361949377,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
675.0,4.432940728,1.0930760576280908E-6,675.0,63.11111111111111,26.936302105295173,675.0,953912.0,50.0,682.4399999999999,4.8576604766206595,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
684.0,4.475547356,1.1035904239983897E-6,684.0,62.86549707602339,26.455348978969816,684.0,953912.0,50.0,690.0400000000002,4.889969742404612,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
693.0,4.519035408,1.1143223061707738E-6,693.0,63.05916305916306,26.778653679475006,693.0,953912.0,50.0,698.1600000000001,4.932471334877452,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
702.0,4.561672025,1.124844073158016E-6,702.0,63.24786324786324,27.130373207589674,702.0,953912.0,50.0,704.84,4.872443128535859,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
711.0,4.604554534,1.135426520811551E-6,711.0,63.43178621659634,27.476873102182054,711.0,953912.0,50.0,712.1399999999996,4.7964280927560665,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
720.0,4.647463429,1.1460154799419164E-6,720.0,63.19444444444444,27.01400045903144,720.0,953912.0,50.0,724.6200000000001,4.893134715797099,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
729.0,4.690373862,1.15660481861641E-6,729.0,63.10013717421125,26.81351162729943,729.0,953912.0,50.0,735.18,5.013181807668129,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
738.0,4.735993552,1.1678627415470737E-6,738.0,63.143631436314365,26.936012229744488,738.0,953912.0,50.0,743.06,5.046511019445789,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
747.0,4.781710284,1.1791446122809127E-6,747.0,63.186077643908966,27.026681396910202,747.0,953912.0,50.0,753.2399999999998,4.956015516109527,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
756.0,4.832933963,1.1917854748209047E-6,756.0,63.62433862433863,27.878611272999755,756.0,953912.0,50.0,759.82,5.002586269896312,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
765.0,4.877846777,1.2028689565063618E-6,765.0,64.05228758169935,28.714230045914295,765.0,953912.0,50.0,764.3599999999998,4.985510433818617,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
774.0,4.920611942,1.2134224462755189E-6,774.0,64.21188630490956,28.982358046201647,774.0,953912.0,50.0,771.6599999999997,5.026997318560688,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
783.0,4.96423222,1.2241869588782596E-6,783.0,63.984674329501914,28.539434933169357,783.0,953912.0,50.0,780.4799999999998,5.104798862694928,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
792.0,5.007375921,1.2348338628971515E-6,792.0,64.14141414141415,28.87022408308088,792.0,953912.0,50.0,786.34,5.019684517284051,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
801.0,5.052444119,1.2459556898913263E-6,801.0,64.29463171036205,29.125132260399845,801.0,953912.0,50.0,794.5599999999998,5.0325601063961285,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
810.0,5.096661952,1.256867665752516E-6,810.0,64.32098765432099,29.137934165995638,810.0,953912.0,50.0,803.4200000000001,5.022487390908684,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
819.0,5.143530273,1.2684337229902484E-6,819.0,64.1025641025641,28.702053192308384,819.0,953912.0,50.0,813.98,5.080775290348944,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
828.0,5.187742058,1.279344206339808E-6,828.0,64.25120772946859,28.931572629051615,828.0,953912.0,50.0,822.8400000000001,5.0844589140811784,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
837.0,5.230601844,1.2899210464632885E-6,837.0,64.51612903225806,29.41642461050964,837.0,953912.0,50.0,829.52,5.000754228828174,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
846.0,5.272836348,1.3003435809225715E-6,846.0,64.8936170212766,30.105983476591835,846.0,953912.0,50.0,832.88,4.929928591609349,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
855.0,5.316457374,1.3111082781150442E-6,855.0,64.6783625730994,29.63308152653782,855.0,953912.0,50.0,850.1200000000001,5.111303200570599,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
864.0,5.358613738,1.3215115293635512E-6,864.0,65.04629629629629,30.294287362954407,864.0,953912.0,50.0,857.3000000000001,5.086135616576114,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
873.0,5.400554071,1.3318614689751612E-6,873.0,65.40664375715922,30.929925492785053,873.0,953912.0,50.0,859.66,5.066626297726753,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
882.0,5.442824248,1.3422928067359287E-6,882.0,65.5328798185941,31.08737444870516,882.0,953912.0,50.0,872.2599999999999,5.19715856433659,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
891.0,5.485388063,1.3527966078118462E-6,891.0,65.54433221099887,31.033500326506534,891.0,953912.0,50.0,885.5600000000002,5.318060103581578,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
900.0,5.527833335,1.3632711551169037E-6,900.0,65.77777777777779,31.46620779683142,900.0,953912.0,50.0,893.76,5.379519741859976,13192.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
