learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
9.0,0.124876826,4.2617711357358426E-10,9.0,66.66666666666666,18.18181818181818,9.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.137969398,4.708591792773868E-10,18.0,55.55555555555556,-4.347826086956514,18.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.143581125,4.900107680199046E-10,27.0,51.85185185185185,1.6806722689075553,27.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.148229307,5.05873989816755E-10,36.0,55.55555555555556,12.990936555891253,36.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.151120861,5.157422269984251E-10,45.0,55.55555555555556,14.285714285714294,45.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.153935221,5.253470180535482E-10,54.0,53.70370370370371,8.660351826792976,54.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.156769761,5.350206790057321E-10,63.0,52.38095238095239,6.52818991097924,63.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.15965528,5.448683200611008E-10,72.0,54.166666666666664,9.312977099236637,72.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81.0,0.162136462,5.53336047956513E-10,81.0,54.32098765432099,10.617357590217711,81.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.165812033,5.658799625457161E-10,90.0,54.44444444444444,8.888888888888879,90.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99.0,0.168014845,5.733976749185887E-10,99.0,53.535353535353536,5.2828618968386065,99.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
108.0,0.170921566,5.833176737320092E-10,108.0,51.85185185185185,2.9381265122709848,108.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
117.0,0.174453259,5.95370564384179E-10,117.0,51.28205128205128,2.9116319697190147,117.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
126.0,0.178082146,6.077551567595867E-10,126.0,52.38095238095239,5.405405405405421,126.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
135.0,0.18150412,6.194336006210911E-10,135.0,52.59259259259259,7.2164948453608195,135.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
144.0,0.184278363,6.28901481187592E-10,144.0,53.47222222222222,9.561304836895381,144.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
153.0,0.186671966,6.370703212378754E-10,153.0,54.248366013071895,11.938825851011337,153.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
162.0,0.188446549,6.431265823149847E-10,162.0,54.32098765432099,12.5984251968504,162.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
171.0,0.190937951,6.516291888203058E-10,171.0,54.97076023391813,13.106315581073044,171.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
180.0,0.194287921,6.630618988826043E-10,180.0,56.111111111111114,15.316817532158163,180.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
189.0,0.196549246,6.70779303241935E-10,189.0,56.08465608465608,15.274102079395075,189.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
198.0,0.197596455,6.74353196999679E-10,198.0,55.05050505050505,13.541360023550187,198.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
207.0,0.206442288,7.045420774817466E-10,207.0,55.072463768115945,13.48254011055682,207.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
216.0,0.207704766,7.088506369416912E-10,216.0,55.092592592592595,13.919474116680364,216.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
225.0,0.209384826,7.145843118305008E-10,225.0,55.111111111111114,14.763137166647919,225.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
234.0,0.210470072,7.182880174948109E-10,234.0,53.84615384615385,11.63636363636364,234.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
243.0,0.211871326,7.23070188889073E-10,243.0,53.90946502057613,11.174934725848559,243.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
252.0,0.213626159,7.290590475644502E-10,252.0,53.96825396825397,11.627063304915648,252.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
261.0,0.21564358,7.359440612710184E-10,261.0,53.63984674329502,11.102040816326534,261.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
270.0,0.217486925,7.4223499191511E-10,270.0,53.70370370370371,11.207576953433321,270.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
279.0,0.21938692,7.48719256536828E-10,279.0,53.40501792114696,11.163907122562946,279.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
288.0,0.22033205,7.519447771418425E-10,288.0,53.125,10.373443983402488,288.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
297.0,0.221355303,7.554369143458704E-10,297.0,54.20875420875421,11.9155617585485,297.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
306.0,0.222313653,7.587075519002973E-10,306.0,53.92156862745098,11.69102296450939,306.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
315.0,0.223741692,7.635811346024274E-10,315.0,54.6031746031746,13.12607278548147,315.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
324.0,0.224665658,7.667344271350237E-10,324.0,55.24691358024691,14.469851441887569,324.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
333.0,0.226334735,7.724306194629106E-10,333.0,55.25525525525525,14.584516862056496,333.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
342.0,0.227809939,7.774651659259365E-10,342.0,54.97076023391813,13.83981154299176,342.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
351.0,0.229083918,7.818129757667581E-10,351.0,54.98575498575499,13.398294762484774,351.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
360.0,0.230190908,7.855908889157904E-10,360.0,54.72222222222223,13.272243570795167,360.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
369.0,0.231424798,7.898018838258252E-10,369.0,54.47154471544715,12.832194381169309,369.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
378.0,0.232515182,7.935231243529253E-10,378.0,54.761904761904766,13.425839114944699,378.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
387.0,0.23425659,7.994661664590239E-10,387.0,55.297157622739014,14.21487603305785,387.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
396.0,0.235317287,8.030860917911761E-10,396.0,55.05050505050505,14.097689382860487,396.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
405.0,0.239384777,8.169675396403505E-10,405.0,54.074074074074076,12.423270089285705,405.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
414.0,0.240840394,8.219352399847574E-10,414.0,53.62318840579711,11.744720538271961,414.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
423.0,0.24192783,8.256464196369053E-10,423.0,53.42789598108747,11.384880419409377,423.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
432.0,0.243303579,8.303415480814875E-10,432.0,53.70370370370371,11.99478487614081,432.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
441.0,0.244189253,8.333641584486598E-10,441.0,53.96825396825397,12.259019317658346,441.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
450.0,0.245030348,8.362346305035883E-10,450.0,53.77777777777778,11.4240290710879,450.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
459.0,0.246236247,8.403500982932748E-10,459.0,53.812636165577345,11.156964429187052,459.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
468.0,0.247396391,8.44309414341632E-10,468.0,54.27350427350427,11.906269791006968,468.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
477.0,0.248308411,8.47421937806325E-10,477.0,54.29769392033543,11.629132319197772,477.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
486.0,0.249795415,8.524967550713984E-10,486.0,54.11522633744856,10.892407873316564,486.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
495.0,0.250585883,8.551944483216439E-10,495.0,53.73737373737374,9.851840659122182,495.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
504.0,0.251332436,8.577422693454558E-10,504.0,54.166666666666664,10.528419046447992,504.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
513.0,0.2520858,8.603133348127207E-10,513.0,53.99610136452242,9.867333720462778,513.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
522.0,0.252956761,8.632857329501875E-10,522.0,54.02298850574713,9.658623822778614,522.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
