learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
9.0,0.129406754,4.4163676050388155E-10,9.0,66.66666666666666,18.18181818181818,9.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.146835424,5.011169740226534E-10,18.0,55.55555555555556,-4.347826086956514,18.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
27.0,0.162566127,5.548024000041188E-10,27.0,51.85185185185185,1.6806722689075553,27.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.168878049,5.76343600122879E-10,36.0,55.55555555555556,12.990936555891253,36.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.173654866,5.926458248537449E-10,45.0,55.55555555555556,14.285714285714294,45.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.181086863,6.180095943456724E-10,54.0,53.70370370370371,8.660351826792976,54.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.1856882,6.33712944471174E-10,63.0,52.38095238095239,6.52818991097924,63.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.191698663,6.542253313937951E-10,72.0,54.166666666666664,9.312977099236637,72.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81.0,0.198926565,6.788925695853931E-10,81.0,54.32098765432099,10.617357590217711,81.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.202712529,6.9181323117887E-10,90.0,54.44444444444444,8.888888888888879,90.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99.0,0.206508155,7.047668670511082E-10,99.0,53.535353535353536,5.2828618968386065,99.0,13192.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
