learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
9.0,0.574750404,2.800086934351176E-7,9.0,55.55555555555556,0.0,9.0,1883192.0,100.0,13.0
18.0,0.940033244,4.589170953642908E-7,18.0,50.0,-8.000000000000012,18.0,1893232.0,100.0,91.0
27.0,1.14011364,5.569125662320604E-7,27.0,51.85185185185185,2.7700831024930768,27.0,1893232.0,100.0,70.0
36.0,1.301001009,6.357120578215893E-7,36.0,55.55555555555556,11.38461538461539,36.0,1893232.0,100.0,63.0
45.0,1.408315607,6.882726523237882E-7,45.0,53.333333333333336,5.970149253731352,45.0,1893232.0,100.0,69.0
54.0,1.515835687,7.409338878970138E-7,54.0,51.85185185185185,3.57142857142857,54.0,1893232.0,100.0,81.0
63.0,1.619630867,7.917707401886541E-7,63.0,49.2063492063492,-1.8181818181818163,63.0,1893232.0,100.0,78.0
72.0,1.725467204,8.436073113199654E-7,72.0,45.83333333333333,-8.333333333333337,72.0,1893232.0,100.0,74.0
81.0,1.85418429,9.066504265050093E-7,81.0,45.67901234567901,-9.057527539779688,81.0,1893232.0,100.0,81.0
90.0,1.939379906,9.483775755545827E-7,90.0,45.55555555555556,-8.888888888888891,90.0,1893232.0,100.0,82.0
99.0,2.01310512,9.844867456941555E-7,99.0,48.484848484848484,-3.1882280809319408,99.0,1893232.0,100.0,79.0
108.0,2.09206032,1.0231574608473729E-6,108.0,50.92592592592593,1.78448867536034,108.0,1893232.0,100.0,73.0
117.0,2.168580823,1.060635708953817E-6,117.0,52.13675213675214,4.2665108123904245,117.0,1893232.0,100.0,76.0
126.0,2.250036162,1.1005309433674812E-6,126.0,52.38095238095239,4.737903225806458,126.0,1893232.0,100.0,74.0
135.0,2.344150583,1.1466263489430605E-6,135.0,54.074074074074076,7.900528169014093,135.0,1893232.0,100.0,76.0
144.0,2.430464545,1.1889012420248033E-6,144.0,54.166666666666664,7.889125799573547,144.0,1893232.0,100.0,73.0
153.0,2.517461094,1.2315104528898496E-6,153.0,55.55555555555556,10.248447204968938,153.0,1893232.0,100.0,72.0
162.0,2.608914461,1.2763025261802681E-6,162.0,54.93827160493827,8.876560332871003,162.0,1893232.0,100.0,75.0
171.0,2.709782104,1.3257055280171251E-6,171.0,56.14035087719298,11.691799215038222,171.0,1893232.0,100.0,73.0
180.0,2.823481901,1.3813934683018136E-6,180.0,56.666666666666664,12.816691505216097,180.0,1893232.0,100.0,72.0
189.0,2.940749565,1.4388288801711672E-6,189.0,57.67195767195767,14.816901408450706,189.0,1893232.0,100.0,71.0
198.0,3.054393543,1.4944894813996675E-6,198.0,57.07070707070707,13.34569045412419,198.0,1893232.0,100.0,74.0
207.0,3.131869074,1.532435483571092E-6,207.0,57.00483091787439,13.356534825753647,207.0,1893232.0,100.0,76.0
216.0,3.210064049,1.5707338553646908E-6,216.0,56.481481481481474,12.217898832684808,216.0,1893232.0,100.0,74.0
225.0,3.280520866,1.6052422284776632E-6,225.0,57.333333333333336,13.426853707414846,225.0,1893232.0,100.0,72.0
234.0,3.358537629,1.6434533155137174E-6,234.0,57.26495726495726,13.46153846153845,234.0,1893232.0,100.0,73.0
243.0,3.431125579,1.679005475954144E-6,243.0,57.20164609053497,13.629528366370483,243.0,1893232.0,100.0,72.0
252.0,3.507185139,1.7162579631803059E-6,252.0,57.14285714285714,13.363468517221616,252.0,1893232.0,100.0,80.0
261.0,3.606230125,1.764768263210708E-6,261.0,57.47126436781609,13.953488372093007,261.0,1893232.0,100.0,77.0
270.0,3.666772802,1.7944208841511938E-6,270.0,57.03703703703704,13.000000000000004,270.0,1893232.0,100.0,79.0
279.0,3.743651182,1.8320744134237535E-6,279.0,57.34767025089605,13.410531257335101,279.0,1893232.0,100.0,78.0
288.0,3.828057855,1.8734151535981024E-6,288.0,57.638888888888886,13.780918727915182,288.0,1893232.0,100.0,77.0
297.0,3.901706226,1.9094866875368357E-6,297.0,58.24915824915825,15.458427069464213,297.0,1893232.0,100.0,78.0
306.0,3.978979773,1.947333761889326E-6,306.0,58.16993464052288,15.16936671575847,306.0,1893232.0,100.0,78.0
315.0,4.057359875,1.985722805272436E-6,315.0,57.77777777777777,14.179486654239282,315.0,1893232.0,100.0,80.0
324.0,4.126015044,2.0193487663768974E-6,324.0,58.333333333333336,15.17995656220913,324.0,1893232.0,100.0,76.0
333.0,4.197520763,2.054370871206915E-6,333.0,57.65765765765766,13.947180323662547,333.0,1893232.0,100.0,74.0
342.0,4.275431792,2.0925301717945022E-6,342.0,57.60233918128655,13.717507046664585,342.0,1893232.0,100.0,77.0
351.0,4.353137489,2.1305889047781336E-6,351.0,57.54985754985755,13.872832369942193,351.0,1893232.0,100.0,79.0
360.0,4.422487016,2.164554948871839E-6,360.0,57.49999999999999,13.532182103610669,360.0,1893232.0,100.0,79.0
369.0,4.484970959,2.195158363990829E-6,369.0,57.45257452574526,13.44628210299852,369.0,1893232.0,100.0,76.0
378.0,4.549374721,2.2267020689665316E-6,378.0,56.87830687830689,12.402968523415522,378.0,1893232.0,100.0,77.0
387.0,4.619931638,2.2612594691047895E-6,387.0,56.58914728682171,11.990686845168815,387.0,1893232.0,100.0,74.0
396.0,4.6928439,2.2969704712297762E-6,396.0,56.81818181818182,12.294062791420586,396.0,1893232.0,100.0,74.0
405.0,4.762161001,2.3309206337018843E-6,405.0,56.54320987654321,11.574246371417935,405.0,1893232.0,100.0,75.0
414.0,4.838228493,2.368177005866753E-6,414.0,56.038647342995176,10.438606917865227,414.0,1893232.0,100.0,76.0
423.0,4.919008493,2.407741472425978E-6,423.0,55.7919621749409,9.769007015342487,423.0,1893232.0,100.0,70.0
432.0,4.995449466,2.445180768291453E-6,432.0,56.25,10.47368421052632,432.0,1893232.0,100.0,67.0
441.0,5.074557538,2.4839263571650446E-6,441.0,55.78231292517006,9.411244193028454,441.0,1893232.0,100.0,78.0
450.0,5.149866407,2.5208111705986115E-6,450.0,55.55555555555556,9.035779260157675,450.0,1893232.0,100.0,77.0
459.0,5.226765445,2.5584748177561698E-6,459.0,55.119825708061,8.2854814929774,459.0,1893232.0,100.0,78.0
468.0,5.297072186,2.5929096865749685E-6,468.0,55.34188034188035,8.456873315363882,468.0,1893232.0,100.0,77.0
477.0,5.372442463,2.6298245764477835E-6,477.0,55.34591194968554,8.489826798886751,477.0,1893232.0,100.0,79.0
486.0,5.456180128,2.6708376495678636E-6,486.0,55.349794238683124,8.638702635272105,486.0,1893232.0,100.0,78.0
495.0,5.539809039,2.71179745710245E-6,495.0,55.15151515151515,8.418894592972856,495.0,1893232.0,100.0,76.0
