learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
26.0,1.545589775,1.6742861172829549E-6,26.0,96.15384615384616,0.0,26.0,4187336.0,100.0,26.12000000000001,0.5433305447037565,36065.6,194.89693313506638,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52.0,1.968471946,2.1323803409923325E-6,52.0,98.07692307692307,0.0,52.0,4187336.0,100.0,52.58000000000002,0.7834371304538339,36065.6,194.89693313506638,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
78.0,2.38413864,2.58265827789257E-6,78.0,98.71794871794873,0.0,78.0,4187336.0,100.0,78.83000000000003,0.8996132726922387,36065.6,194.89693313506638,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
104.0,2.697660735,2.9222863600723756E-6,104.0,99.03846153846155,0.0,104.0,4187336.0,100.0,104.74999999999996,0.9704081199124003,36065.6,194.89693313506638,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
130.0,2.992881589,3.2501116239416787E-6,130.0,98.46153846153847,0.0,130.0,4292376.0,100.0,130.24,1.0198157884756651,37116.0,121.81058320941648,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
156.0,3.278186631,3.5669259661862567E-6,156.0,98.71794871794873,0.0,156.0,4292376.0,100.0,155.58999999999992,1.162468203105927,37116.0,121.81058320941648,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,3.640881735,3.9734680973276806E-6,182.0,97.8021978021978,0.0,182.0,4332776.0,100.0,181.68000000000004,1.3601752709400234,37520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208.0,3.988956781,4.363622718764173E-6,208.0,98.07692307692307,0.0,208.0,4332776.0,100.0,207.66,1.4758815205246874,37520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
234.0,4.252887695,4.659460834769357E-6,234.0,98.29059829059828,0.0,234.0,4332776.0,100.0,233.46000000000006,1.5458919167205118,37520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
260.0,4.551793533,4.994502072026128E-6,260.0,98.07692307692307,0.0,260.0,4332776.0,100.0,259.09,1.6374465832909828,37520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
