learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
26.0,0.038111387,2.3710619706445268E-8,26.0,96.15384615384616,0.0,26.0,2404864.0,100.0,20.480000000000004,0.5919459434779496,27815.6,40.40000000000004
52.0,0.299193195,1.8614006531437238E-7,52.0,98.07692307692307,0.0,52.0,2404864.0,100.0,32.470000000000006,0.8717166391608565,27815.6,40.40000000000004
78.0,0.433570783,2.6974174284285967E-7,78.0,98.71794871794873,0.0,78.0,2404864.0,100.0,45.36,1.046255468349153,27815.6,40.40000000000004
104.0,0.571998572,3.558632125700844E-7,104.0,99.03846153846155,0.0,104.0,2404864.0,100.0,58.22000000000001,1.2634392695649397,27815.6,40.40000000000004
130.0,0.705079044,4.387969914764E-7,130.0,98.46153846153847,0.0,130.0,2408904.0,100.0,120.49,2.49858525626569,27856.0,0.0
156.0,0.870116652,5.416459841753377E-7,156.0,98.71794871794873,0.0,156.0,2408904.0,100.0,129.69000000000005,2.770869206876457,27856.0,0.0
182.0,1.002782866,6.243216036322175E-7,182.0,97.8021978021978,0.0,182.0,2408904.0,100.0,210.44,3.4104805787128853,27856.0,0.0
208.0,1.115653639,6.94660997476319E-7,208.0,98.07692307692307,0.0,208.0,2408904.0,100.0,222.20000000000005,4.1385109311529815,27856.0,0.0
234.0,1.221210005,7.604421612221023E-7,234.0,98.29059829059828,0.0,234.0,2408904.0,100.0,227.1199999999999,4.352063947836773,27856.0,0.0
260.0,1.327197768,8.264921651882513E-7,260.0,98.07692307692307,0.0,260.0,2408904.0,100.0,269.6,4.614448104934253,27856.0,0.0
286.0,1.432684985,8.922302363014987E-7,286.0,98.25174825174825,0.0,286.0,2408904.0,100.0,275.16999999999996,4.702074654937547,27856.0,0.0
312.0,1.552930734,9.671656059475451E-7,312.0,98.3974358974359,0.0,312.0,2408904.0,100.0,285.00999999999993,4.736799733699084,27856.0,0.0
338.0,1.693618696,1.05484025993651E-6,338.0,98.22485207100591,0.0,338.0,2408904.0,100.0,351.82,5.633062213307243,27856.0,0.0
