learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
26.0,1.498867752,1.6592295722870527E-6,26.0,92.3076923076923,-3.999999999999868,26.0,4279032.0,100.0,0.0
52.0,1.892977989,2.0955051270175537E-6,52.0,96.15384615384616,-1.9607843137252767,52.0,4279032.0,100.0,0.0
78.0,2.198448158,2.4336571335438264E-6,78.0,97.43589743589743,-1.2987012987016007,78.0,4279032.0,100.0,0.0
104.0,2.494695585,2.7615996694589965E-6,104.0,98.07692307692307,-0.9708737864083952,104.0,4279032.0,100.0,0.0
130.0,2.82410181,3.1303799685390665E-6,130.0,96.92307692307692,-1.5625000000003206,130.0,4327512.0,100.0,0.0
156.0,3.096217912,3.435022230475868E-6,156.0,97.43589743589743,-1.2987012987016007,156.0,4327512.0,100.0,0.0
182.0,3.411656365,3.788824545052244E-6,182.0,95.6043956043956,-2.2471910112355866,182.0,4335592.0,100.0,3.0
208.0,3.649029237,4.055066884033161E-6,208.0,95.67307692307693,-2.1834061135369476,208.0,4335592.0,100.0,3.0
234.0,3.821865807,4.248923967492297E-6,234.0,96.15384615384616,-1.9361084220710585,234.0,4335592.0,100.0,3.0
260.0,4.100092877,4.558327205306215E-6,260.0,95.76923076923077,-2.142857142857074,260.0,4298608.0,100.0,42.0
286.0,4.307793278,4.789301051828946E-6,286.0,96.15384615384616,-1.9442644199609924,286.0,4298608.0,100.0,42.0
312.0,4.523981186,5.031571606422673E-6,312.0,96.47435897435898,-1.7793594306049516,312.0,4331832.0,100.0,42.0
338.0,4.773637663,5.313754874680963E-6,338.0,96.44970414201184,-1.8072289156628194,338.0,4369088.0,100.0,32.0
364.0,5.004149403,5.57453955357392E-6,364.0,96.7032967032967,12.605042016806864,364.0,4373120.0,100.0,58.0
390.0,5.212990789,5.810807926662293E-6,390.0,96.66666666666667,11.641686998954558,390.0,4373120.0,100.0,34.0
416.0,5.399414503,6.021714531217542E-6,416.0,96.875,11.749347258485805,416.0,4373120.0,100.0,31.0
442.0,5.58518755,6.231885017149674E-6,442.0,97.05882352941177,11.844123964406561,442.0,4373120.0,100.0,31.0
468.0,5.762993287,6.433041852063464E-6,468.0,97.22222222222221,11.928199189345655,468.0,4373120.0,100.0,31.0
494.0,5.990229243,6.68794592505865E-6,494.0,96.96356275303644,10.225345287133802,494.0,4336128.0,100.0,43.0
520.0,6.207485019,6.928728870061563E-6,520.0,97.11538461538461,10.303587856485438,520.0,4284072.0,100.0,42.0
546.0,6.419765475,7.166200100882279E-6,546.0,97.06959706959707,9.621353196772727,546.0,4324176.0,100.0,45.0
572.0,6.630532841,7.4134465257716616E-6,572.0,96.85314685314685,8.39857651245575,572.0,4534496.0,100.0,51.0
598.0,6.860015572,7.686828882549647E-6,598.0,96.8227424749164,7.910520343653911,598.0,4604928.0,100.0,46.0
624.0,7.048315638,7.913610625625996E-6,624.0,96.7948717948718,7.459587720599567,624.0,4655432.0,100.0,44.0
650.0,7.278143592,8.1963289278332E-6,650.0,96.3076923076923,5.8084772370489,650.0,4755032.0,100.0,53.0
676.0,7.475161968,8.44249882832866E-6,676.0,96.15384615384616,5.179110919292031,676.0,4829816.0,100.0,53.0
702.0,7.670593798,8.686831984380415E-6,702.0,96.29629629629629,5.253322259135993,702.0,4832696.0,100.0,55.0
728.0,7.844341353,8.904054984694264E-6,728.0,96.42857142857143,5.322128851540794,728.0,4832696.0,100.0,55.0
754.0,8.020900375,9.126401832150586E-6,754.0,96.55172413793103,5.3861003861007495,754.0,4867920.0,100.0,56.0
780.0,8.225560339,9.386000426466755E-6,780.0,96.15384615384616,4.286649214659702,780.0,4903112.0,100.0,52.0
806.0,8.413235532,9.627490012306523E-6,806.0,96.02977667493796,3.8544695444719146,806.0,4973864.0,100.0,52.0
832.0,8.65478736,9.939421251354021E-6,832.0,96.03365384615384,8.784053156146312,832.0,4991728.0,100.0,48.0
858.0,8.868392802,1.0215263544670668E-5,858.0,95.92074592074592,8.170754082318854,858.0,4991728.0,100.0,47.0
884.0,9.098642303,1.0514887169806891E-5,884.0,95.92760180995475,7.921995254904364,884.0,5030136.0,100.0,55.0
910.0,9.316318417,1.0798149049198525E-5,910.0,96.04395604395604,7.982697601258361,910.0,5030136.0,100.0,53.0
936.0,9.534718333,1.107835124078487E-5,936.0,96.04700854700855,7.746403835908625,936.0,4959312.0,100.0,50.0
