learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
26.0,1.453141354,1.5751984256903868E-6,26.0,96.15384615384616,0.0,26.0,4190152.0,100.0,0.0
52.0,1.872350412,2.02961908227625E-6,52.0,98.07692307692307,0.0,52.0,4190152.0,100.0,0.0
78.0,2.155523281,2.3365771467613036E-6,78.0,98.71794871794873,0.0,78.0,4190152.0,100.0,0.0
104.0,2.413985737,2.6167492392219458E-6,104.0,99.03846153846155,0.0,104.0,4190152.0,100.0,0.0
130.0,2.656280985,2.885980266329946E-6,130.0,98.46153846153847,0.0,130.0,4295192.0,100.0,0.0
156.0,2.911940977,3.1700617859005783E-6,156.0,98.71794871794873,0.0,156.0,4295192.0,100.0,0.0
182.0,3.168989004,3.4583721870103976E-6,182.0,97.8021978021978,0.0,182.0,4335592.0,100.0,0.0
208.0,3.467838604,3.7935680998252002E-6,208.0,98.07692307692307,0.0,208.0,4335592.0,100.0,0.0
234.0,3.75039664,4.1104910563899E-6,234.0,98.29059829059828,0.0,234.0,4335592.0,100.0,0.0
260.0,3.986142643,4.374908665341112E-6,260.0,98.07692307692307,0.0,260.0,4335592.0,100.0,0.0
286.0,4.203681817,4.618905117074385E-6,286.0,98.25174825174825,0.0,286.0,4335592.0,100.0,0.0
312.0,4.4214111,4.863114799007028E-6,312.0,98.3974358974359,0.0,312.0,4335592.0,100.0,0.0
338.0,4.651735832,5.121451797907361E-6,338.0,98.22485207100591,0.0,338.0,4335592.0,100.0,0.0
364.0,4.887577496,5.385976702221243E-6,364.0,98.35164835164835,24.63768115941993,364.0,4335592.0,100.0,0.0
390.0,5.11169451,5.637350995795863E-6,390.0,98.46153846153847,24.661944623310234,390.0,4335592.0,100.0,0.0
416.0,5.318015847,5.868765288767596E-6,416.0,98.5576923076923,24.683162341581266,416.0,4335592.0,100.0,0.0
442.0,5.511141512,6.0853790421995595E-6,442.0,98.64253393665159,24.701873935264295,442.0,4335592.0,100.0,0.0
468.0,5.691368306,6.2875251542522955E-6,468.0,98.71794871794873,24.71849865951718,468.0,4335592.0,100.0,0.0
494.0,5.868149637,6.48580676350712E-6,494.0,98.582995951417,21.941309255079563,494.0,4335592.0,100.0,0.0
520.0,6.053241659,6.693409816243438E-6,520.0,98.65384615384616,21.955403087478064,520.0,4335592.0,100.0,0.0
546.0,6.22231657,6.883047744909652E-6,546.0,98.53479853479854,19.735391400220823,546.0,4335592.0,100.0,0.0
572.0,6.394371161,7.076027744495472E-6,572.0,98.42657342657343,17.92091836734669,572.0,4335592.0,100.0,0.0
598.0,6.57956566,7.2837457375614994E-6,598.0,98.49498327759197,17.93229643183936,598.0,4335592.0,100.0,0.0
624.0,6.777268066,7.505492858671425E-6,624.0,98.3974358974359,16.421109027591587,624.0,4335592.0,100.0,0.0
650.0,6.958366185,7.708616266925105E-6,650.0,98.15384615384616,14.040114613180208,650.0,4335592.0,100.0,0.0
676.0,7.142929283,7.915626067527273E-6,676.0,98.07692307692307,13.093354430378948,676.0,4335592.0,100.0,0.0
702.0,7.37819769,8.179507994894248E-6,702.0,98.14814814814815,13.102266235002736,702.0,4335592.0,100.0,0.0
728.0,7.554210398,8.376927500642508E-6,728.0,98.21428571428571,13.11053984575814,728.0,4335592.0,100.0,0.0
754.0,7.721732241,8.564823476012068E-6,754.0,98.27586206896551,13.11824144655162,754.0,4335592.0,100.0,0.0
780.0,7.870790566,8.732010386454714E-6,780.0,98.07692307692307,11.551254913818918,780.0,4335592.0,100.0,0.0
806.0,8.031864553,8.912674312734638E-6,806.0,98.01488833746899,10.902307586016057,806.0,4335592.0,100.0,0.0
832.0,8.190568681,9.090680155983006E-6,832.0,97.83653846153845,9.794000722804034,832.0,4335592.0,100.0,0.0
858.0,8.359543813,9.280206170452297E-6,858.0,97.78554778554779,9.322505284236707,858.0,4335592.0,100.0,0.0
884.0,8.529197833,9.470493639790053E-6,884.0,97.73755656108597,8.89415644645947,884.0,4335592.0,100.0,0.0
910.0,8.685841051,9.646187923616291E-6,910.0,97.8021978021978,8.899789768745825,910.0,4335592.0,100.0,0.0
936.0,8.841401351,9.820667584142002E-6,936.0,97.75641025641025,8.508657605660122,936.0,4335592.0,100.0,0.0
962.0,9.032454301,1.003495653741887E-5,962.0,97.71309771309772,8.150334172381111,962.0,4335592.0,100.0,0.0
988.0,9.212501613,1.023690133873596E-5,988.0,97.77327935222672,8.155159300261472,988.0,4335592.0,100.0,0.0
1014.0,9.385369951,1.0430794053843117E-5,1014.0,97.7,7.823020198781484,1014.0,4335592.0,100.0,0.0
1040.0,9.558293896,1.062474913891538E-5,1040.0,97.7,7.823020198781484,1040.0,4335592.0,100.0,0.0
1066.0,9.724192209,1.0810824129346924E-5,1066.0,97.7,7.823020198781484,1066.0,4335592.0,100.0,0.0
1092.0,9.875819665,1.0980892630431437E-5,1092.0,97.7,7.823020198781484,1092.0,4335592.0,100.0,0.0
1118.0,10.033802068,1.1158088971943224E-5,1118.0,97.6,7.514450867051647,1118.0,4335592.0,100.0,0.0
1144.0,10.182535897,1.1324911920938624E-5,1144.0,97.6,7.514450867051647,1144.0,4335592.0,100.0,0.0
1170.0,10.337038038,1.1498204728371983E-5,1170.0,97.5,7.228736826480834,1170.0,4335592.0,100.0,0.0
1196.0,10.503393521,1.1684792490162303E-5,1196.0,97.7,7.823020198781484,1196.0,4335592.0,100.0,0.0
1222.0,10.660699475,1.1861230112438636E-5,1222.0,97.7,7.823020198781484,1222.0,4335592.0,100.0,0.0
1248.0,10.826097923,1.2046744443913437E-5,1248.0,97.7,7.823020198781484,1248.0,4335592.0,100.0,0.0
1274.0,10.98054422,1.2219974615557571E-5,1274.0,97.7,7.823020198781484,1274.0,4335592.0,100.0,0.0
1300.0,11.151700214,1.2411946730101324E-5,1300.0,97.7,7.823020198781484,1300.0,4335592.0,100.0,0.0
1326.0,11.316166163,1.2596415151347355E-5,1326.0,97.7,7.823020198781484,1326.0,4335592.0,100.0,0.0
1352.0,11.489064532,1.2790341549847288E-5,1352.0,97.7,0.0,1352.0,4335592.0,100.0,0.0
1378.0,11.663977561,1.2986527632809611E-5,1378.0,97.7,0.0,1378.0,4335592.0,100.0,0.0
1404.0,11.888441163,1.3238290666677111E-5,1404.0,97.7,0.0,1404.0,4335592.0,100.0,0.0
1430.0,12.111161888,1.3488098853534813E-5,1430.0,97.5,0.0,1430.0,4335592.0,100.0,0.0
1456.0,12.328902471,1.3732321209781943E-5,1456.0,97.39999999999999,0.0,1456.0,4335592.0,100.0,0.0
1482.0,12.527002596,1.395451442077537E-5,1482.0,97.5,0.0,1482.0,4335592.0,100.0,0.0
1508.0,12.711576904,1.4161536794746159E-5,1508.0,97.2,0.0,1508.0,4335592.0,100.0,0.0
1534.0,12.88710039,1.435840757894733E-5,1534.0,97.2,0.0,1534.0,4335592.0,100.0,0.0
1560.0,13.055286071,1.4547048128793053E-5,1560.0,97.3,0.0,1560.0,4335592.0,100.0,0.0
1586.0,13.287722257,1.4807753378314756E-5,1586.0,97.2,0.0,1586.0,4335592.0,100.0,0.0
1612.0,13.492031155,1.5036910477943788E-5,1612.0,97.1,0.0,1612.0,4335592.0,100.0,0.0
1638.0,13.722879235,1.529583447482096E-5,1638.0,97.2,0.0,1638.0,4335592.0,100.0,0.0
1664.0,13.957355493,1.555882791143158E-5,1664.0,97.3,0.0,1664.0,4335592.0,100.0,0.0
1690.0,14.147886988,1.5772531989959688E-5,1690.0,97.3,0.0,1690.0,4335592.0,100.0,0.0
1716.0,14.328899382,1.597555924727448E-5,1716.0,97.3,0.0,1716.0,4335592.0,100.0,0.0
1742.0,14.506618597,1.617489280668582E-5,1742.0,97.3,0.0,1742.0,4335592.0,100.0,0.0
1768.0,14.662245025,1.6349446637748557E-5,1768.0,97.5,0.0,1768.0,4335592.0,100.0,0.0
1794.0,14.822806776,1.6529536029501426E-5,1794.0,97.5,0.0,1794.0,4335592.0,100.0,0.0
1820.0,15.008543049,1.6737861687528255E-5,1820.0,97.7,0.0,1820.0,4335592.0,100.0,0.0
1846.0,15.206694479,1.6960112443274317E-5,1846.0,97.5,0.0,1846.0,4335592.0,100.0,0.0
1872.0,15.405646644,1.7183261320012502E-5,1872.0,97.5,0.0,1872.0,4335592.0,100.0,0.0
1898.0,15.603690791,1.7405391744919524E-5,1898.0,97.5,0.0,1898.0,4335592.0,100.0,0.0
1924.0,15.793110575,1.761784890532082E-5,1924.0,97.39999999999999,0.0,1924.0,4335592.0,100.0,0.0
1950.0,15.97891828,1.7826254682961137E-5,1950.0,97.39999999999999,0.0,1950.0,4335592.0,100.0,0.0
1976.0,16.139674799,1.8006562530544454E-5,1976.0,97.3,0.0,1976.0,4335592.0,100.0,0.0
2002.0,16.404871346,1.830401248077694E-5,2002.0,97.3,0.0,2002.0,4335592.0,100.0,0.0
2028.0,16.603217542,1.8526481690110208E-5,2028.0,97.1,0.0,2028.0,4335592.0,100.0,0.0
2054.0,16.759155884,1.8701385370387903E-5,2054.0,97.1,0.0,2054.0,4335592.0,100.0,0.0
2080.0,16.908398277,1.8868778735318962E-5,2080.0,97.0,0.0,2080.0,4335592.0,100.0,0.0
2106.0,17.059995474,1.903881329728117E-5,2106.0,97.0,0.0,2106.0,4335592.0,100.0,0.0
2132.0,17.206792947,1.920346438920547E-5,2132.0,97.1,0.0,2132.0,4335592.0,100.0,0.0
2158.0,17.375293055,1.9392457606899097E-5,2158.0,96.8,0.0,2158.0,4335592.0,100.0,0.0
2184.0,17.533125137,1.956948534525796E-5,2184.0,96.89999999999999,0.0,2184.0,4335592.0,100.0,0.0
2210.0,17.693428077,1.974928444922262E-5,2210.0,96.89999999999999,0.0,2210.0,4335592.0,100.0,0.0
2236.0,17.858449794,1.9934376231390242E-5,2236.0,96.7,0.0,2236.0,4335592.0,100.0,0.0
2262.0,18.021992149,2.0117808730440293E-5,2262.0,96.39999999999999,0.0,2262.0,4335592.0,100.0,0.0
2288.0,18.178390958,2.029322888006038E-5,2288.0,96.2,0.0,2288.0,4335592.0,100.0,0.0
2314.0,18.404504785,2.0546842840531843E-5,2314.0,96.2,0.0,2314.0,4335592.0,100.0,0.0
2340.0,18.613534473,2.0781294876186413E-5,2340.0,96.2,0.0,2340.0,4335592.0,100.0,0.0
2366.0,18.800748723,2.0991278263886074E-5,2366.0,96.1,0.0,2366.0,4335592.0,100.0,0.0
