learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2.0,0.122374821,3.411514971964061E-10,2.0,0.0,0.0,2.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4.0,0.132251686,3.686858155702551E-10,4.0,50.0,0.0,4.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6.0,0.134599388,3.7523064273099104E-10,6.0,66.66666666666666,0.0,6.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8.0,0.136887483,3.8160929994657636E-10,8.0,75.0,0.0,8.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10.0,0.139003771,3.875090006676813E-10,10.0,80.0,0.0,10.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
12.0,0.141086227,3.9331438592945534E-10,12.0,83.33333333333334,0.0,12.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.143602893,4.0033024398609997E-10,14.0,85.71428571428571,0.0,14.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16.0,0.146065052,4.0719414966801804E-10,16.0,87.5,0.0,16.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
18.0,0.148080957,4.1281400678679346E-10,18.0,88.88888888888889,0.0,18.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20.0,0.149594727,4.17034032586962E-10,20.0,90.0,0.0,20.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.151100272,4.21231129070123E-10,22.0,90.9090909090909,0.0,22.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
24.0,0.152594386,4.253963586812218E-10,24.0,91.66666666666666,0.0,24.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
26.0,0.154858774,4.3170892649640635E-10,26.0,92.3076923076923,0.0,26.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.157294339,4.384986945179601E-10,28.0,92.85714285714286,0.0,28.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30.0,0.160205936,4.466155249873797E-10,30.0,93.33333333333333,0.0,30.0,10776.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32.0,0.16258011,4.537746461522248E-10,32.0,87.5,-6.666666666666667,32.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
34.0,0.164902034,4.6077621185531215E-10,34.0,82.35294117647058,-8.510638297872331,34.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.166587172,4.658576031608714E-10,36.0,80.55555555555556,12.50000000000005,36.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.168015459,4.701644819705851E-10,38.0,81.57894736842105,13.071895424836628,38.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.169387205,4.743008661704759E-10,40.0,82.5,13.580246913580229,40.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.17073418,4.783625555121236E-10,42.0,83.33333333333334,14.03508771929826,42.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.172117519,4.825338974243237E-10,44.0,81.81818181818183,24.137931034482737,44.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.173979138,4.881474522790975E-10,46.0,82.6086956521739,40.25974025974024,46.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.175294438,4.921136283336414E-10,48.0,83.33333333333334,50.000000000000014,48.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.176590332,4.96021287234293E-10,50.0,82.0,49.88864142538975,50.0,11656.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
