learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
2.0,0.011950931,2.203699820792923E-9,2.0,50.0,0.0,2.0,712776.0,100.0,0.0
4.0,0.08664433,1.796063917249648E-8,4.0,50.0,0.0,4.0,815440.0,100.0,0.0
6.0,0.126127551,2.650007047491769E-8,6.0,66.66666666666666,40.0,6.0,836024.0,100.0,0.0
8.0,0.159474075,3.379886967591941E-8,8.0,62.5,25.0,8.0,846064.0,100.0,0.0
10.0,0.19189131,4.089426855217666E-8,10.0,60.0,19.999999999999996,10.0,846064.0,100.0,0.0
12.0,0.225845937,4.833706000056739E-8,12.0,66.66666666666666,27.27272727272727,12.0,847304.0,100.0,0.0
14.0,0.257980211,5.538083343761456E-8,14.0,71.42857142857143,31.70731707317072,14.0,847304.0,100.0,0.0
16.0,0.290288454,6.246274055775255E-8,16.0,75.0,34.69387755102041,16.0,847304.0,100.0,0.0
18.0,0.322562859,6.953723045086489E-8,18.0,77.77777777777779,36.8421052631579,18.0,847304.0,100.0,0.0
20.0,0.354822429,7.665253316923356E-8,20.0,75.0,37.50000000000002,20.0,852584.0,100.0,0.0
22.0,0.386109752,8.355339311226375E-8,22.0,72.72727272727273,31.958762886597942,22.0,852584.0,100.0,0.0
24.0,0.418379203,9.067822157885673E-8,24.0,66.66666666666666,19.999999999999986,24.0,853464.0,100.0,0.0
26.0,0.450637829,9.780065997478656E-8,26.0,61.53846153846154,10.344827586206899,26.0,853464.0,100.0,0.0
28.0,0.482171471,1.0476302788668416E-7,28.0,64.28571428571429,13.043478260869573,28.0,853464.0,100.0,0.0
30.0,0.51344231,1.1166737106504955E-7,30.0,66.66666666666666,15.254237288135602,30.0,853464.0,100.0,0.0
32.0,0.54475914,1.1858186867665915E-7,32.0,65.625,12.0,32.0,853464.0,100.0,0.0
34.0,0.575793825,1.254340710007627E-7,34.0,67.64705882352942,24.291497975708513,34.0,853464.0,100.0,0.0
36.0,0.606985991,1.3232104383000278E-7,36.0,69.44444444444444,32.6530612244898,36.0,853464.0,100.0,0.0
38.0,0.638503599,1.3927987156702622E-7,38.0,68.42105263157895,32.34421364985163,38.0,853464.0,100.0,0.0
40.0,0.670135436,1.4626392012453745E-7,40.0,70.0,34.24657534246575,40.0,853464.0,100.0,0.0
42.0,0.701251102,1.531340023851188E-7,42.0,71.42857142857143,35.87786259541984,42.0,853464.0,100.0,0.0
44.0,0.732364937,1.600036803760111E-7,44.0,72.72727272727273,37.29216152019003,44.0,853464.0,100.0,0.0
46.0,0.779686483,1.7045188719626313E-7,46.0,73.91304347826086,38.530066815144764,46.0,853464.0,100.0,0.0
48.0,0.828196732,1.8116254982875456E-7,48.0,75.0,39.62264150943398,48.0,853464.0,100.0,0.0
50.0,0.857153429,1.8755594955173428E-7,50.0,72.0,33.46007604562736,50.0,853464.0,100.0,0.0
52.0,0.887182746,1.9418617491856635E-7,52.0,71.15384615384616,31.095406360424032,52.0,853464.0,100.0,0.0
54.0,0.916199467,2.0059282744537835E-7,54.0,70.37037037037037,29.064039408866986,54.0,853464.0,100.0,0.0
56.0,0.942003241,2.0629008779048715E-7,56.0,71.42857142857143,30.109204368174748,56.0,853464.0,100.0,0.0
58.0,0.968052451,2.1204153837885503E-7,58.0,72.41379310344827,31.05497771173847,58.0,853464.0,100.0,0.0
60.0,0.993810013,2.177285954957435E-7,60.0,73.33333333333333,31.914893617021274,60.0,853464.0,100.0,0.0
62.0,1.019648605,2.2343354336790537E-7,62.0,72.58064516129032,29.82689747003995,62.0,853464.0,100.0,0.0
64.0,1.045359772,2.2911035685168375E-7,64.0,71.875,28.000000000000004,64.0,853464.0,100.0,0.0
66.0,1.071159038,2.348066218675963E-7,66.0,72.72727272727273,28.776978417266193,66.0,853464.0,100.0,0.0
68.0,1.096855057,2.404800907979885E-7,68.0,73.52941176470588,29.49308755760372,68.0,853464.0,100.0,0.0
70.0,1.122452048,2.4613169516324173E-7,70.0,72.85714285714285,27.63873775843308,70.0,853464.0,100.0,0.0
72.0,1.148277198,2.518336751527381E-7,72.0,72.22222222222221,26.002055498458386,72.0,853464.0,100.0,0.0
74.0,1.174019004,2.575172534748581E-7,74.0,71.62162162162163,24.34274586173319,74.0,853464.0,100.0,0.0
76.0,1.200633288,2.633934677389678E-7,76.0,71.05263157894737,22.878228782287835,76.0,853464.0,100.0,0.0
78.0,1.226318067,2.690644549701218E-7,78.0,71.7948717948718,23.52941176470588,78.0,853464.0,100.0,0.0
80.0,1.252008818,2.7473676076958987E-7,80.0,72.5,24.137931034482737,80.0,853464.0,100.0,0.0
82.0,1.278156936,2.805100494280871E-7,82.0,71.95121951219512,22.641509433962234,82.0,853464.0,100.0,0.0
84.0,1.304450127,2.863153690077219E-7,84.0,71.42857142857143,21.311475409836056,84.0,853464.0,100.0,0.0
86.0,1.33075455,2.921231685202609E-7,86.0,69.76744186046511,18.15519765739383,86.0,853464.0,100.0,0.0
88.0,1.356809753,2.978759423135696E-7,88.0,70.45454545454545,18.750000000000014,88.0,853464.0,100.0,0.0
90.0,1.382412919,3.035289100678616E-7,90.0,68.88888888888889,15.831663326653308,90.0,853464.0,100.0,0.0
92.0,1.408485185,3.092854512307523E-7,92.0,69.56521739130434,16.4179104477612,92.0,853464.0,100.0,0.0
94.0,1.437129466,3.156098720792473E-7,94.0,70.2127659574468,16.9716088328076,94.0,853464.0,100.0,0.0
96.0,1.464361865,3.216225610341607E-7,96.0,69.79166666666666,15.84038694074971,96.0,853464.0,100.0,0.0
98.0,1.493028377,3.279518903039871E-7,98.0,69.38775510204081,14.831981460023206,98.0,853464.0,100.0,0.0
100.0,1.520295926,3.3397234008881356E-7,100.0,69.0,16.216216216216175,100.0,853464.0,100.0,0.0
102.0,1.547303909,3.399354798429934E-7,102.0,68.62745098039215,17.450682852807304,102.0,853464.0,100.0,0.0
104.0,1.574817296,3.4601020862936133E-7,104.0,67.3076923076923,15.00000000000003,104.0,853464.0,100.0,0.0
106.0,1.601457793,3.518922105075397E-7,106.0,66.0377358490566,12.677345537757429,106.0,853464.0,100.0,0.0
108.0,1.62835131,3.578300771135877E-7,108.0,65.74074074074075,11.827007943512797,108.0,853464.0,100.0,0.0
110.0,1.654808596,3.636716275149748E-7,110.0,64.54545454545455,9.684210526315782,110.0,853464.0,100.0,0.0
112.0,1.681470226,3.695582953851462E-7,112.0,64.28571428571429,10.828025477707012,112.0,853464.0,100.0,0.0
114.0,1.707384119,3.7527986909666193E-7,114.0,64.03508771929825,11.77802944507361,114.0,853464.0,100.0,0.0
116.0,1.734206829,3.812021021014679E-7,116.0,63.793103448275865,11.094890510948929,116.0,853464.0,100.0,0.0
118.0,1.760269227,3.869564644913975E-7,118.0,64.40677966101694,11.68923734853883,118.0,853464.0,100.0,0.0
120.0,1.786230065,3.926884032714842E-7,120.0,65.0,12.256267409470748,120.0,853464.0,100.0,0.0
122.0,1.812151394,3.984116187904319E-7,122.0,65.57377049180327,12.797821647379148,122.0,853464.0,100.0,0.0
124.0,1.838485472,4.0422596588223335E-7,124.0,66.12903225806451,13.315579227696391,124.0,853464.0,100.0,0.0
126.0,1.864748975,4.100247305964781E-7,126.0,65.07936507936508,11.409395973154343,126.0,853464.0,100.0,0.0
128.0,1.890798997,4.157763604677447E-7,128.0,65.625,11.917422583672192,128.0,853464.0,100.0,0.0
130.0,1.916860581,4.2153054313319207E-7,130.0,66.15384615384615,12.404287901990811,130.0,853464.0,100.0,0.0
132.0,1.94309255,4.273223454004815E-7,132.0,66.66666666666666,12.871287128712861,132.0,853464.0,100.0,0.0
