learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.01508648,1.6007753360602592E-9,7.0,57.14285714285714,-23.529411764705912,7.0,410152.0,100.0,0.0
14.0,0.072516872,7.807672942164871E-9,14.0,57.14285714285714,8.69565217391303,14.0,417768.0,100.0,0.0
21.0,0.093602289,1.0086519032942337E-8,21.0,47.61904761904761,-13.79310344827586,21.0,417768.0,100.0,0.0
28.0,0.114366407,1.2330640130132022E-8,28.0,53.57142857142857,-3.4090909090909256,28.0,417768.0,100.0,0.0
35.0,0.133406792,1.4388465542081329E-8,35.0,51.42857142857142,-9.981515711645121,35.0,417768.0,100.0,0.0
42.0,0.150550801,1.6241336551931583E-8,42.0,54.761904761904766,-3.636363636363624,42.0,417768.0,100.0,0.0
49.0,0.167514297,1.8074698279874606E-8,49.0,53.06122448979592,-5.03261882572227,49.0,417768.0,100.0,0.0
56.0,0.184181447,1.987603185662586E-8,56.0,51.78571428571429,-8.933717579250722,56.0,417768.0,100.0,0.0
63.0,0.199893603,2.157415266107975E-8,63.0,50.79365079365079,-12.048192771084336,63.0,417768.0,100.0,0.0
70.0,0.215813003,2.3294671750530188E-8,70.0,51.42857142857142,-9.981515711645121,70.0,417768.0,100.0,0.0
77.0,0.231313394,2.496990565441135E-8,77.0,50.649350649350644,-12.451960030745578,77.0,417768.0,100.0,0.0
84.0,0.245892418,2.6545561087251538E-8,84.0,52.38095238095239,-11.332007952286276,84.0,417768.0,100.0,0.0
91.0,0.261441702,2.82260791940449E-8,91.0,52.74725274725275,-9.823182711198424,91.0,417768.0,100.0,0.0
98.0,0.276777471,2.9883521265724884E-8,98.0,53.06122448979592,-10.436060754532079,98.0,417768.0,100.0,0.0
105.0,0.293099004,3.164750163531138E-8,105.0,54.285714285714285,-9.803921568627462,105.0,417768.0,100.0,0.0
112.0,0.308359428,3.3296800654439466E-8,112.0,56.25,-8.201892744479498,112.0,417768.0,100.0,0.0
119.0,0.323480378,3.493102575875405E-8,119.0,56.30252100840336,-5.202312138728308,119.0,417768.0,100.0,0.0
126.0,0.338618198,3.656707412004057E-8,126.0,57.14285714285714,-0.23571007660579346,126.0,417768.0,100.0,0.0
133.0,0.353100003,3.813222242664753E-8,133.0,57.14285714285714,-1.1744294675029978,133.0,417768.0,100.0,0.0
140.0,0.368439919,3.9790112693150424E-8,140.0,55.714285714285715,-4.026845637583889,140.0,417768.0,100.0,0.0
147.0,0.383457483,4.1413164161110505E-8,147.0,57.14285714285714,-2.8428650749583633,147.0,417768.0,100.0,0.0
154.0,0.398129944,4.299891797342234E-8,154.0,57.7922077922078,-2.708803611738142,154.0,417768.0,100.0,0.0
161.0,0.412851705,4.45899999759367E-8,161.0,58.38509316770186,-2.6258205689277987,161.0,417768.0,100.0,0.0
168.0,0.428100587,4.6238051571711485E-8,168.0,58.92857142857143,1.1933174224343635,168.0,417768.0,100.0,0.0
175.0,0.442422429,4.778591157630293E-8,175.0,59.42857142857143,2.3268610958258,175.0,417768.0,100.0,0.0
182.0,0.457273641,4.9390984239058774E-8,182.0,58.24175824175825,1.0020040080160446,182.0,417768.0,100.0,0.0
189.0,0.47255719,5.104278253604554E-8,189.0,58.201058201058196,0.2805049088358958,189.0,417768.0,100.0,0.0
196.0,0.487654482,5.26744507575242E-8,196.0,58.673469387755105,1.3177523620089424,196.0,417768.0,100.0,0.0
203.0,0.501860643,5.420980832051692E-8,203.0,58.620689655172406,2.4819855884707462,203.0,417768.0,100.0,0.0
210.0,0.51654623,5.579698074996057E-8,210.0,57.61904761904761,1.2678288431061615,210.0,417768.0,100.0,0.0
217.0,0.531512563,5.741449533126213E-8,217.0,57.6036866359447,1.4901805980459655,217.0,417768.0,100.0,0.0
224.0,0.545758809,5.8954185156004704E-8,224.0,58.03571428571429,1.570680628272259,224.0,417768.0,100.0,0.0
231.0,0.560708642,6.056991646878007E-8,231.0,58.87445887445888,4.516381673410779,231.0,417768.0,100.0,0.0
