learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.132959168,2.7394027951558427E-8,1.0,100.0,?,1.0,796416.0,100.0,0.0
2.0,0.313906242,6.82927314987282E-8,2.0,100.0,?,2.0,873696.0,100.0,0.0
3.0,0.384440492,8.466446595147252E-8,3.0,100.0,?,3.0,897216.0,100.0,0.0
4.0,0.43959079,9.770511751274267E-8,4.0,100.0,?,4.0,914016.0,100.0,0.0
5.0,0.502191316,1.1261625366474191E-7,5.0,100.0,?,5.0,920736.0,100.0,0.0
6.0,0.565665124,1.280966571061313E-7,6.0,83.33333333333334,0.0,6.0,942736.0,100.0,0.0
7.0,0.627652036,1.4321442671979466E-7,7.0,85.71428571428571,0.0,7.0,942736.0,100.0,0.0
8.0,0.689237338,1.582342490852624E-7,8.0,87.5,0.0,8.0,942736.0,100.0,0.0
9.0,0.752739518,1.737215720737891E-7,9.0,88.88888888888889,0.0,9.0,942736.0,100.0,0.0
10.0,0.809681784,1.876090207446946E-7,10.0,90.0,0.0,10.0,942736.0,100.0,0.0
11.0,0.85149467,1.978066182218906E-7,11.0,90.9090909090909,0.0,11.0,942736.0,100.0,0.0
12.0,0.894194877,2.0822062129211509E-7,12.0,91.66666666666666,0.0,12.0,942736.0,100.0,0.0
13.0,0.934917764,2.1815238275281257E-7,13.0,92.3076923076923,0.0,13.0,942736.0,100.0,0.0
14.0,0.9741729,2.2772617959239417E-7,14.0,92.85714285714286,0.0,14.0,942736.0,100.0,0.0
15.0,1.013534338,2.373259020522982E-7,15.0,93.33333333333333,0.0,15.0,942736.0,100.0,0.0
16.0,1.051948834,2.4669467816350364E-7,16.0,93.75,0.0,16.0,942736.0,100.0,0.0
17.0,1.090412891,2.5607554153241635E-7,17.0,94.11764705882352,0.0,17.0,942736.0,100.0,0.0
18.0,1.127808223,2.651957573257511E-7,18.0,94.44444444444444,0.0,18.0,942736.0,100.0,0.0
19.0,1.163155137,2.7381639166878745E-7,19.0,94.73684210526315,0.0,19.0,942736.0,100.0,0.0
20.0,1.211084615,2.85505743222663E-7,20.0,95.0,0.0,20.0,942736.0,100.0,0.0
21.0,1.267984662,2.993828952503784E-7,21.0,95.23809523809523,0.0,21.0,942736.0,100.0,0.0
22.0,1.322694785,3.1289013558410937E-7,22.0,90.9090909090909,0.0,22.0,954336.0,100.0,0.0
23.0,1.377436367,3.264051427487367E-7,23.0,91.30434782608695,0.0,23.0,954336.0,100.0,0.0
24.0,1.441215657,3.4215144619507924E-7,24.0,91.66666666666666,0.0,24.0,954336.0,100.0,0.0
25.0,1.472657483,3.4991403704711136E-7,25.0,92.0,0.0,25.0,954336.0,100.0,0.0
26.0,1.501622543,3.570651455668443E-7,26.0,92.3076923076923,0.0,26.0,954336.0,100.0,0.0
27.0,1.532989526,3.648092586247706E-7,27.0,92.5925925925926,0.0,27.0,954336.0,100.0,0.0
28.0,1.563617559,3.72370934234245E-7,28.0,92.85714285714286,0.0,28.0,954336.0,100.0,0.0
29.0,1.590910638,3.7910925170248587E-7,29.0,93.10344827586206,0.0,29.0,954336.0,100.0,0.0
30.0,1.621752813,3.8675571184571423E-7,30.0,90.0,0.0,30.0,958336.0,100.0,0.0
31.0,1.649470111,3.9362744558158024E-7,31.0,90.32258064516128,0.0,31.0,958336.0,100.0,0.0
32.0,1.677165956,4.004938606423057E-7,32.0,90.625,0.0,32.0,958336.0,100.0,0.0
33.0,1.704446568,4.0726579923719996E-7,33.0,87.87878787878788,0.0,33.0,959536.0,100.0,0.0
34.0,1.73232198,4.1418538661197656E-7,34.0,88.23529411764706,0.0,34.0,959536.0,100.0,0.0
35.0,1.761372004,4.213965510355681E-7,35.0,88.57142857142857,0.0,35.0,959536.0,100.0,0.0
36.0,1.789421632,4.2836518967665733E-7,36.0,86.11111111111111,0.0,36.0,960336.0,100.0,0.0
37.0,1.816620862,4.35122555770278E-7,37.0,86.48648648648648,0.0,37.0,960336.0,100.0,0.0
38.0,1.845311523,4.4225045239988714E-7,38.0,86.8421052631579,0.0,38.0,960336.0,100.0,0.0
39.0,1.872275677,4.489494163037464E-7,39.0,87.17948717948718,0.0,39.0,960336.0,100.0,0.0
40.0,1.899673706,4.557561719433963E-7,40.0,85.0,0.0,40.0,960336.0,100.0,0.0
41.0,1.927067361,4.625618409081921E-7,41.0,85.36585365853658,0.0,41.0,960336.0,100.0,0.0
42.0,1.9543703,4.693449724253267E-7,42.0,85.71428571428571,0.0,42.0,960336.0,100.0,0.0
43.0,1.980980794,4.759560731767118E-7,43.0,83.72093023255815,0.0,43.0,960336.0,100.0,0.0
