learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.032175387,3.0722796710394323E-9,1.0,100.0,?,1.0,369096.0,50.0,0.0
2.0,0.103736824,1.07762033294638E-8,2.0,100.0,?,2.0,416136.0,50.0,0.0
3.0,0.136249364,1.4445896555210154E-8,3.0,100.0,?,3.0,436296.0,50.0,0.0
4.0,0.162955523,1.7529864787540088E-8,4.0,100.0,?,4.0,446376.0,50.0,0.0
5.0,0.190691718,2.0780997811021906E-8,5.0,100.0,?,5.0,453096.0,50.0,0.0
6.0,0.212950408,2.340942620754242E-8,6.0,100.0,?,6.0,456456.0,50.0,0.0
7.0,0.236988076,2.6289714835360645E-8,7.0,100.0,?,7.0,463176.0,50.0,0.0
8.0,0.255462368,2.8503377706259488E-8,8.0,100.0,?,8.0,463176.0,50.0,0.0
9.0,0.274290233,3.084123623499647E-8,9.0,88.88888888888889,0.0,9.0,479976.0,50.0,0.0
10.0,0.294708299,3.3376550235729663E-8,10.0,90.0,0.0,10.0,479976.0,50.0,0.0
11.0,0.31486091,3.590955800330266E-8,11.0,81.81818181818183,0.0,11.0,485856.0,50.0,0.0
12.0,0.333825314,3.8294592204075306E-8,12.0,83.33333333333334,0.0,12.0,486136.0,50.0,0.0
13.0,0.351681103,4.054020284634911E-8,13.0,84.61538461538461,0.0,13.0,486136.0,50.0,0.0
14.0,0.370408625,4.289544588302572E-8,14.0,85.71428571428571,0.0,14.0,486136.0,50.0,0.0
15.0,0.388811893,4.52099095269127E-8,15.0,86.66666666666667,0.0,15.0,486136.0,50.0,0.0
16.0,0.406994356,4.749660391020485E-8,16.0,87.5,0.0,16.0,486136.0,50.0,0.0
17.0,0.426258394,4.99193212007131E-8,17.0,88.23529411764706,0.0,17.0,486136.0,50.0,0.0
18.0,0.445108149,5.228993671550519E-8,18.0,88.88888888888889,0.0,18.0,486136.0,50.0,0.0
19.0,0.463313618,5.457952441918974E-8,19.0,89.47368421052632,0.0,19.0,486136.0,50.0,0.0
20.0,0.482327371,5.6970764934317104E-8,20.0,90.0,0.0,20.0,486136.0,50.0,0.0
21.0,0.501204579,5.9344833040812776E-8,21.0,90.47619047619048,0.0,21.0,486136.0,50.0,0.0
22.0,0.519671926,6.16673554988102E-8,22.0,90.9090909090909,0.0,22.0,486136.0,50.0,0.0
23.0,0.539313342,6.413753325454684E-8,23.0,91.30434782608695,0.0,23.0,486136.0,50.0,0.0
24.0,0.559233264,6.664273696391326E-8,24.0,91.66666666666666,0.0,24.0,486136.0,50.0,0.0
25.0,0.57810296,6.901586033326263E-8,25.0,92.0,0.0,25.0,486136.0,50.0,0.0
26.0,0.597665781,7.147615368857152E-8,26.0,92.3076923076923,0.0,26.0,486136.0,50.0,0.0
27.0,0.617321773,7.394816457644933E-8,27.0,92.5925925925926,0.0,27.0,486136.0,50.0,0.0
28.0,0.635954737,7.62915156462623E-8,28.0,92.85714285714286,0.0,28.0,486136.0,50.0,0.0
29.0,0.655835773,7.87918289071901E-8,29.0,93.10344827586206,0.0,29.0,486136.0,50.0,0.0
30.0,0.674103387,8.108923219792959E-8,30.0,93.33333333333333,0.0,30.0,486136.0,50.0,0.0
31.0,0.692897123,8.345280255428205E-8,31.0,93.54838709677419,0.0,31.0,486136.0,50.0,0.0
32.0,0.711547363,8.579832631830955E-8,32.0,93.75,0.0,32.0,486136.0,50.0,0.0
33.0,0.729012962,8.799486521043505E-8,33.0,93.93939393939394,0.0,33.0,486136.0,50.0,0.0
34.0,0.747137275,9.02742464327771E-8,34.0,94.11764705882352,0.0,34.0,486136.0,50.0,0.0
35.0,0.7645578,9.246511665049735E-8,35.0,94.28571428571428,0.0,35.0,486136.0,50.0,0.0
