learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.095022464,1.1395997769037883E-8,1.0,100.0,?,1.0,463584.0,50.0,0.0
2.0,0.231512462,3.0361454767473044E-8,2.0,100.0,?,2.0,537112.0,50.0,0.0
3.0,0.321375091,4.324244418933574E-8,3.0,100.0,?,3.0,554080.0,50.0,0.0
4.0,0.374692756,5.1197105891700425E-8,4.0,100.0,?,4.0,576704.0,50.0,0.0
5.0,0.415876794,5.752987516832435E-8,5.0,80.0,0.0,5.0,594384.0,50.0,49.0
6.0,0.459370473,6.428143275978872E-8,6.0,66.66666666666666,-20.000000000000057,6.0,600040.0,50.0,0.0
7.0,0.500766697,7.07074007816054E-8,7.0,71.42857142857143,-16.666666666666636,7.0,600040.0,50.0,0.0
8.0,0.543644305,7.736332519297179E-8,8.0,75.0,-14.285714285714285,8.0,600040.0,50.0,0.0
9.0,0.585645519,8.388320628264506E-8,9.0,77.77777777777779,-12.5,9.0,600040.0,50.0,0.0
10.0,0.627461347,9.03743097594691E-8,10.0,80.0,-11.111111111111125,10.0,600040.0,50.0,0.0
11.0,0.668668836,9.677098030056392E-8,11.0,81.81818181818183,-9.999999999999892,11.0,600040.0,50.0,0.0
12.0,0.709752394,1.031484129362181E-7,12.0,83.33333333333334,-9.090909090908978,12.0,600040.0,50.0,0.0
13.0,0.749409532,1.0930442128675681E-7,13.0,84.61538461538461,-8.333333333333464,13.0,600040.0,50.0,0.0
14.0,0.789606474,1.1554422383171405E-7,14.0,85.71428571428571,-7.692307692307699,14.0,600040.0,50.0,0.0
15.0,0.840045748,1.233739515326669E-7,15.0,86.66666666666667,-7.142857142857194,15.0,600040.0,50.0,0.0
16.0,0.876811572,1.2908113896405533E-7,16.0,87.5,-6.666666666666667,16.0,600040.0,50.0,0.0
17.0,0.913235951,1.347353236227462E-7,17.0,88.23529411764706,-6.2500000000000995,17.0,600040.0,50.0,0.0
18.0,0.940393805,1.389510584043815E-7,18.0,88.88888888888889,-5.882352941176496,18.0,600040.0,50.0,0.0
19.0,0.964646678,1.4278838089125645E-7,19.0,84.21052631578947,-7.547169811320756,19.0,611600.0,50.0,49.0
20.0,0.989819538,1.4677126497006045E-7,20.0,80.0,-11.111111111111125,20.0,611600.0,50.0,0.0
21.0,1.014329342,1.506664861429131E-7,21.0,76.19047619047619,-12.903225806451626,21.0,614320.0,50.0,49.0
22.0,1.038565682,1.5453103775850395E-7,22.0,77.27272727272727,15.38461538461534,22.0,616360.0,50.0,49.0
23.0,1.062375845,1.5832763426974003E-7,23.0,78.26086956521739,31.137724550898195,23.0,616360.0,50.0,49.0
24.0,1.085505555,1.6201573066336414E-7,24.0,75.0,24.210526315789487,24.0,616360.0,50.0,6.0
25.0,1.111833329,1.66213767229389E-7,25.0,76.0,24.999999999999964,25.0,616360.0,50.0,30.0
26.0,1.133572578,1.69680150761089E-7,26.0,73.07692307692307,19.469026548672538,26.0,616360.0,50.0,40.0
27.0,1.15485474,1.7307365050322689E-7,27.0,70.37037037037037,14.285714285714285,27.0,616360.0,50.0,24.0
28.0,1.182253289,1.7744242511204964E-7,28.0,67.85714285714286,9.999999999999996,28.0,616360.0,50.0,41.0
29.0,1.203924033,1.8089788533154878E-7,29.0,65.51724137931035,5.8441558441558605,29.0,616360.0,50.0,8.0
30.0,1.224931546,1.8424759152908915E-7,30.0,66.66666666666666,6.832298136645945,30.0,616360.0,50.0,14.0
31.0,1.244765682,1.8741019951043652E-7,31.0,67.74193548387096,7.7380952380952275,31.0,616360.0,50.0,14.0
32.0,1.264186903,1.9050696705010204E-7,32.0,68.75,8.571428571428571,32.0,616360.0,50.0,14.0
33.0,1.282744053,1.934659560729191E-7,33.0,66.66666666666666,5.221932114882486,33.0,616360.0,50.0,9.0
34.0,1.30195788,1.9652965406422195E-7,34.0,67.64705882352942,6.030150753768871,34.0,616360.0,50.0,9.0
35.0,1.327829957,2.006550284800389E-7,35.0,68.57142857142857,6.779661016949136,35.0,616360.0,50.0,9.0
36.0,1.355190032,2.0501766830288083E-7,36.0,66.66666666666666,3.999999999999955,36.0,616360.0,50.0,37.0
37.0,1.393745344,2.11165419707557E-7,37.0,64.86486486486487,0.8247422680412397,37.0,616360.0,50.0,18.0
38.0,1.41233253,2.1412919805385796E-7,38.0,65.78947368421053,1.5936254980079847,38.0,616360.0,50.0,18.0
39.0,1.430191411,2.169768461484628E-7,39.0,64.1025641025641,-0.7380073800737837,39.0,616360.0,50.0,26.0
40.0,1.446128961,2.195181326876457E-7,40.0,62.5,-3.4482758620689844,40.0,616360.0,50.0,16.0
41.0,1.463825523,2.2233989856762194E-7,41.0,60.97560975609756,-5.466237942122183,41.0,616360.0,50.0,35.0
42.0,1.481752059,2.2519833443957074E-7,42.0,59.523809523809526,-7.854984894259838,42.0,616360.0,50.0,32.0
43.0,1.499106548,2.2796555583119602E-7,43.0,58.139534883720934,-9.631728045325788,43.0,616360.0,50.0,35.0
44.0,1.515057128,2.3050892004000853E-7,44.0,56.81818181818182,-11.7647058823529,44.0,616360.0,50.0,17.0
45.0,1.532218861,2.3324540595295946E-7,45.0,57.77777777777777,-10.894941634241235,45.0,616360.0,50.0,16.0
46.0,1.550628973,2.3618094935896914E-7,46.0,58.69565217391305,-10.075566750629733,46.0,616360.0,50.0,14.0
47.0,1.569316135,2.3916066915568383E-7,47.0,59.57446808510638,-9.302325581395333,47.0,616360.0,50.0,14.0
48.0,1.588119016,2.421588406678145E-7,48.0,58.333333333333336,-10.854503464203216,48.0,616360.0,50.0,21.0
49.0,1.607798657,2.4529681399302774E-7,49.0,59.183673469387756,-10.11235955056181,49.0,616360.0,50.0,15.0
50.0,1.627254361,2.483990799426578E-7,50.0,57.99999999999999,-11.940298507462705,50.0,616360.0,50.0,17.0
51.0,1.646026587,2.513923634300382E-7,51.0,58.82352941176471,-11.214953271027996,51.0,616360.0,50.0,17.0
52.0,1.664537563,2.5434398988052384E-7,52.0,57.692307692307686,-12.820512820512834,52.0,616360.0,50.0,16.0
53.0,1.683071696,2.572993087788693E-7,53.0,56.60377358490566,-14.245548266166802,53.0,616360.0,50.0,29.0
54.0,1.700682866,2.6010745866767034E-7,54.0,57.407407407407405,-13.528336380255961,54.0,616360.0,50.0,27.0
55.0,1.719048225,2.630358660837388E-7,55.0,58.18181818181818,-12.845673505798421,55.0,616360.0,50.0,24.0
56.0,1.737517357,2.6598082039239925E-7,56.0,58.92857142857143,-12.195121951219532,56.0,616360.0,50.0,24.0
57.0,1.756293666,2.68974754925451E-7,57.0,57.89473684210527,-13.43283582089548,57.0,616360.0,50.0,27.0
58.0,1.774661238,2.719035152105056E-7,58.0,58.620689655172406,-12.803889789303094,58.0,616360.0,50.0,24.0
59.0,1.79308644,2.748414647588569E-7,59.0,57.6271186440678,-14.252517428350082,59.0,616360.0,50.0,20.0
60.0,1.81353271,2.781016792038311E-7,60.0,58.333333333333336,-13.636363636363653,60.0,616360.0,50.0,20.0
61.0,1.832120619,2.810655728344868E-7,61.0,57.377049180327866,-14.761215629522423,61.0,616360.0,50.0,29.0
62.0,1.851137329,2.840978399735731E-7,62.0,58.06451612903226,-9.362279511533234,62.0,616360.0,50.0,31.0
63.0,1.869334569,2.869994403489307E-7,63.0,57.14285714285714,-10.814332247557006,63.0,616360.0,50.0,23.0
64.0,1.889374766,2.901949053280946E-7,64.0,57.8125,-10.204081632653061,64.0,616360.0,50.0,23.0
65.0,1.908526255,2.9324866335244647E-7,65.0,58.46153846153847,-9.618988132417252,65.0,616360.0,50.0,23.0
66.0,1.926332748,2.960879580351897E-7,66.0,59.09090909090909,-9.057527539779695,66.0,616360.0,50.0,22.0
67.0,1.951642211,3.0012362208868903E-7,67.0,59.70149253731343,-8.518296340731853,67.0,616360.0,50.0,22.0
68.0,1.975021977,3.038515906048691E-7,68.0,60.29411764705882,-8.000000000000002,68.0,616360.0,50.0,20.0
69.0,1.991701639,3.065112089601822E-7,69.0,60.86956521739131,-7.501442585112509,69.0,616360.0,50.0,20.0
70.0,2.006915322,3.089370728990747E-7,70.0,61.42857142857143,-7.021517553793877,70.0,616360.0,50.0,20.0
71.0,2.022021428,3.1134578338702735E-7,71.0,60.56338028169014,-8.16104461371053,71.0,616360.0,50.0,29.0
72.0,2.037008344,3.1373548869898963E-7,72.0,59.72222222222222,-9.43396226415094,72.0,616360.0,50.0,23.0
73.0,2.052430472,3.16194589771109E-7,73.0,60.273972602739725,-8.955223880597012,73.0,616360.0,50.0,22.0
74.0,2.067878816,3.186578710571201E-7,74.0,59.45945945945946,-10.009910802775005,74.0,616360.0,50.0,31.0
75.0,2.082992376,3.2106777010604123E-7,75.0,58.666666666666664,-11.190817790530838,75.0,616360.0,50.0,23.0
76.0,2.09826759,3.2350344533349705E-7,76.0,59.210526315789465,-10.714285714285749,76.0,616360.0,50.0,23.0
77.0,2.113122376,3.2587208215058893E-7,77.0,59.74025974025974,-10.254041570438833,77.0,616360.0,50.0,23.0
78.0,2.127973834,3.282401883088529E-7,78.0,58.97435897435898,-11.229946524064168,78.0,616360.0,50.0,30.0
79.0,2.143936242,3.3078543852506215E-7,79.0,59.49367088607595,-7.027942421676557,79.0,616360.0,50.0,30.0
80.0,2.158748688,3.331473241117535E-7,80.0,60.0,-3.2258064516128915,80.0,616360.0,50.0,30.0
81.0,2.173600189,3.3551543712648674E-7,81.0,59.25925925925925,-4.454865181711627,81.0,616360.0,50.0,23.0
82.0,2.188742231,3.379298777092828E-7,82.0,58.536585365853654,-5.526116578349762,82.0,616360.0,50.0,28.0
83.0,2.204077284,3.4037509443121036E-7,83.0,57.831325301204814,-6.683804627249367,83.0,616360.0,50.0,22.0
84.0,2.21924746,3.427940210583165E-7,84.0,57.14285714285714,-7.769066286528887,84.0,616360.0,50.0,18.0
85.0,2.234404341,3.4521082776080826E-7,85.0,57.647058823529406,-7.293127629733506,85.0,616360.0,50.0,18.0
86.0,2.249574175,3.476296998550661E-7,86.0,58.139534883720934,-6.832298136645922,86.0,616360.0,50.0,18.0
87.0,2.264479862,3.500064529777464E-7,87.0,57.47126436781609,-7.839195979899513,87.0,616360.0,50.0,31.0
88.0,2.279489696,3.5239981262835584E-7,88.0,56.81818181818182,-8.85416666666665,88.0,616360.0,50.0,22.0
89.0,2.294382823,3.5477456302420977E-7,89.0,57.30337078651685,-8.397435897435908,89.0,616360.0,50.0,21.0
90.0,2.311572439,3.5751549495882473E-7,90.0,56.666666666666664,-9.345794392523349,90.0,616360.0,50.0,30.0
91.0,2.326470004,3.5989095300608433E-7,91.0,56.043956043956044,-10.303030303030297,91.0,616360.0,50.0,22.0
92.0,2.341480528,3.6228442267910696E-7,92.0,55.434782608695656,-11.202830188679226,92.0,616360.0,50.0,29.0
93.0,2.356398333,3.6466310805048807E-7,93.0,54.83870967741935,-12.112514351320353,93.0,616360.0,50.0,21.0
94.0,2.371772197,3.6711451329398086E-7,94.0,55.319148936170215,-11.651583710407259,94.0,616360.0,50.0,19.0
95.0,2.38677963,3.6950749009848275E-7,95.0,55.78947368421052,-11.204013377926435,95.0,616360.0,50.0,19.0
96.0,2.401636006,3.718763804454834E-7,96.0,55.208333333333336,-12.052117263843629,96.0,616360.0,50.0,30.0
97.0,2.416616066,3.7426499254923535E-7,97.0,55.670103092783506,-9.102798849071378,97.0,616360.0,50.0,30.0
98.0,2.431590074,3.766526396448063E-7,98.0,56.12244897959183,-6.360424028268549,98.0,616360.0,50.0,30.0
99.0,2.446534248,3.7903552962635346E-7,99.0,55.55555555555556,-7.290640394088656,99.0,616360.0,50.0,22.0
100.0,2.461675177,3.814497927382134E-7,100.0,56.00000000000001,-6.8479844584749605,100.0,616360.0,50.0,21.0
101.0,2.476942149,3.8388415375591576E-7,101.0,55.44554455445545,-7.7269495141028415,101.0,616360.0,50.0,29.0
102.0,2.492413102,3.863510401096672E-7,102.0,54.90196078431373,-8.61111111111112,102.0,616360.0,50.0,21.0
103.0,2.5087899,3.8896236596039816E-7,103.0,55.33980582524271,-8.173515981735152,103.0,616360.0,50.0,21.0
104.0,2.523988913,3.913858907271136E-7,104.0,55.769230769230774,-7.747747747747755,104.0,616360.0,50.0,21.0
105.0,2.539084858,3.9379298101544183E-7,105.0,55.23809523809524,-8.580858085808558,105.0,616360.0,50.0,31.0
106.0,2.554350935,3.962271993229125E-7,106.0,55.660377358490564,-6.135492117596936,106.0,616360.0,50.0,31.0
107.0,2.569215496,3.985973947908585E-7,107.0,55.140186915887845,-7.0000000000000115,107.0,616360.0,50.0,21.0
108.0,2.584307839,4.010039107302991E-7,108.0,55.55555555555556,-6.578947368421059,108.0,616360.0,50.0,21.0
109.0,2.599555227,4.034351490248989E-7,109.0,55.04587155963303,-7.3999597828272545,109.0,616360.0,50.0,31.0
110.0,2.615877728,4.06037817068425E-7,110.0,55.45454545454545,-5.150214592274658,110.0,616360.0,50.0,31.0
111.0,2.630859297,4.084266697864111E-7,111.0,54.95495495495496,-5.996944232238341,111.0,616360.0,50.0,20.0
112.0,2.646904642,4.109851445372383E-7,112.0,54.46428571428571,-6.806282722513105,112.0,616360.0,50.0,31.0
113.0,2.661712802,4.133463467093455E-7,113.0,54.86725663716814,-4.7246956205705795,113.0,616360.0,50.0,32.0
114.0,2.676966339,4.157785654790452E-7,114.0,54.385964912280706,-5.555555555555554,114.0,616360.0,50.0,21.0
115.0,2.692349955,4.182315257059784E-7,115.0,53.91304347826087,-6.351422090385634,115.0,616360.0,50.0,31.0
116.0,2.707489305,4.206455370419101E-7,116.0,54.310344827586206,-4.415760869565216,116.0,616360.0,50.0,31.0
117.0,2.72247995,4.2303583695326215E-7,117.0,53.84615384615385,-5.2298467688208135,117.0,616360.0,50.0,21.0
118.0,2.737766505,4.254733205346143E-7,118.0,54.23728813559322,-4.802631578947367,118.0,616360.0,50.0,21.0
119.0,2.752723021,4.278581784822834E-7,119.0,53.78151260504202,-5.581545410550108,119.0,616360.0,50.0,30.0
120.0,2.767728625,4.302508636476638E-7,120.0,53.333333333333336,-6.362773029439704,120.0,616360.0,50.0,21.0
121.0,2.78261353,4.326243030228197E-7,121.0,53.71900826446281,-5.9412132582864094,121.0,616360.0,50.0,21.0
122.0,2.800666444,4.355028902172898E-7,122.0,54.09836065573771,-5.529811553907928,122.0,616360.0,50.0,21.0
123.0,2.816567376,4.3803833791483817E-7,123.0,53.65853658536586,-6.275579809004101,123.0,616360.0,50.0,31.0
124.0,2.831750824,4.404593807991449E-7,124.0,53.2258064516129,-7.023809523809513,124.0,616360.0,50.0,21.0
125.0,2.846974734,4.428868754615448E-7,125.0,52.800000000000004,-7.7428780131482995,125.0,616360.0,50.0,31.0
126.0,2.867051652,4.460881957059788E-7,126.0,52.38095238095239,-8.46484935437591,126.0,616360.0,50.0,21.0
127.0,2.883189015,4.486613429820537E-7,127.0,52.75590551181102,-8.054452637549645,127.0,616360.0,50.0,21.0
128.0,2.899205344,4.5121519105122523E-7,128.0,53.125,-7.653490328006729,128.0,616360.0,50.0,21.0
129.0,2.915284743,4.537790958067774E-7,129.0,52.71317829457365,-8.343659644774872,129.0,616360.0,50.0,31.0
130.0,2.931210424,4.563184898009999E-7,130.0,52.307692307692314,-9.03679653679655,130.0,616360.0,50.0,21.0
131.0,2.9472536,4.5887661869876285E-7,131.0,52.67175572519084,-8.64098448368113,131.0,616360.0,50.0,22.0
132.0,2.963218259,4.6142222784316364E-7,132.0,53.03030303030303,-8.25396825396826,132.0,616360.0,50.0,22.0
133.0,2.979170295,4.639658242152134E-7,133.0,53.383458646616546,-7.875457875457874,133.0,616360.0,50.0,22.0
134.0,2.995131825,4.665109344318881E-7,134.0,52.98507462686567,-8.536898945744397,134.0,616360.0,50.0,31.0
135.0,3.010879083,4.690218783840288E-7,135.0,53.333333333333336,-6.833312397939957,135.0,616360.0,50.0,32.0
136.0,3.025876806,4.7141330690210675E-7,136.0,52.94117647058824,-7.5098814229249164,136.0,616360.0,50.0,22.0
137.0,3.041130903,4.7384561496535926E-7,137.0,53.284671532846716,-7.135874877810335,137.0,616360.0,50.0,22.0
138.0,3.056167275,4.762432061736533E-7,138.0,53.62318840579711,-6.769825918762071,138.0,616360.0,50.0,21.0
139.0,3.071330215,4.786609790004955E-7,139.0,53.956834532374096,-6.411483253588514,139.0,616360.0,50.0,21.0
140.0,3.086456457,4.810729002294813E-7,140.0,54.285714285714285,-6.060606060606082,140.0,616360.0,50.0,21.0
141.0,3.10122359,4.834275605326787E-7,141.0,54.60992907801418,-5.7169634489222,141.0,616360.0,50.0,21.0
142.0,3.116469246,4.85858522655076E-7,142.0,54.929577464788736,-5.380333951762499,142.0,616360.0,50.0,21.0
143.0,3.131244861,4.882145354366923E-7,143.0,55.24475524475524,-5.050505050505047,143.0,616360.0,50.0,21.0
144.0,3.147004186,4.907274035054425E-7,144.0,54.861111111111114,-5.691056910569086,144.0,616360.0,50.0,31.0
145.0,3.162495,4.931974567507145E-7,145.0,54.48275862068965,-6.333333333333342,145.0,616360.0,50.0,22.0
146.0,3.177196305,4.955416205967838E-7,146.0,54.109589041095894,-6.953859610758796,146.0,616360.0,50.0,30.0
147.0,3.192394115,4.979649535418136E-7,147.0,53.74149659863946,-7.576409814894512,147.0,616360.0,50.0,21.0
148.0,3.208260531,5.004948975674559E-7,148.0,54.054054054054056,-7.246376811594183,148.0,616360.0,50.0,21.0
149.0,3.224276007,5.030486096234123E-7,149.0,54.36241610738255,-6.92275221612495,149.0,616360.0,50.0,21.0
150.0,3.239802426,5.0552434018466E-7,150.0,54.666666666666664,-6.605351170568574,150.0,616360.0,50.0,21.0
151.0,3.254635081,5.07889448152437E-7,151.0,54.966887417218544,-6.293995859213236,151.0,616360.0,50.0,21.0
152.0,3.269342601,5.102346029974893E-7,152.0,55.26315789473685,-5.988515176374066,152.0,616360.0,50.0,21.0
153.0,3.28440543,5.126364128477934E-7,153.0,54.90196078431373,-6.582534073700145,153.0,616360.0,50.0,31.0
154.0,3.302769311,5.155645845926636E-7,154.0,54.54545454545454,-7.178365480214759,154.0,616360.0,50.0,21.0
155.0,3.321907705,5.186162545829556E-7,155.0,54.83870967741935,-6.875492513790409,155.0,616360.0,50.0,21.0
156.0,3.337997935,5.2118188637149E-7,156.0,55.12820512820513,-6.578176849502222,156.0,616360.0,50.0,21.0
157.0,3.354390014,5.237956488200422E-7,157.0,54.77707006369427,-7.151783139478993,157.0,616360.0,50.0,31.0
158.0,3.370646343,5.263877655546863E-7,158.0,54.43037974683544,-7.727272727272727,158.0,616360.0,50.0,22.0
159.0,3.387225436,5.290313479040915E-7,159.0,54.71698113207547,-7.432432432432415,159.0,616360.0,50.0,21.0
160.0,3.403398146,5.316101313573266E-7,160.0,55.00000000000001,-7.142857142857122,160.0,616360.0,50.0,21.0
161.0,3.419350235,5.341537361803732E-7,161.0,55.27950310559007,-6.858407079645998,161.0,616360.0,50.0,21.0
162.0,3.435476953,5.367251860816817E-7,162.0,55.55555555555556,-6.578947368421059,162.0,616360.0,50.0,21.0
163.0,3.452207693,5.39392948965724E-7,163.0,55.828220858895705,-6.30434782608697,163.0,616360.0,50.0,21.0
164.0,3.46947565,5.421463725900131E-7,164.0,55.487804878048784,-6.854694751874317,164.0,616360.0,50.0,31.0
165.0,3.485841552,5.447559610433316E-7,165.0,55.757575757575765,-5.334499344118922,165.0,616360.0,50.0,31.0
166.0,3.501934906,5.473220909623283E-7,166.0,56.024096385542165,-3.8745071146922614,166.0,616360.0,50.0,31.0
167.0,3.518117353,5.499024270072123E-7,167.0,56.287425149700596,-2.471211229721781,167.0,616360.0,50.0,31.0
168.0,3.534797188,5.525620729478551E-7,168.0,55.952380952380956,-3.050397877984093,168.0,616360.0,50.0,23.0
169.0,3.551062084,5.551555557144039E-7,169.0,56.213017751479285,-2.7777777777777657,169.0,616360.0,50.0,21.0
170.0,3.579057971,5.596195775236272E-7,170.0,56.470588235294116,-2.5097783572359806,170.0,616360.0,50.0,21.0
171.0,3.605287838,5.638020025470252E-7,171.0,56.72514619883041,-2.24628312863606,171.0,616360.0,50.0,21.0
172.0,3.620950114,5.662993958836275E-7,172.0,56.97674418604651,-1.9871794871794877,172.0,616360.0,50.0,21.0
173.0,3.636066642,5.687097681883783E-7,173.0,57.22543352601156,-1.7323585505403793,173.0,616360.0,50.0,21.0
174.0,3.650856403,5.710680365889187E-7,174.0,57.47126436781609,-1.4817150063051976,174.0,616360.0,50.0,21.0
175.0,3.667187369,5.736720544001666E-7,175.0,57.714285714285715,-1.2351469668542743,175.0,616360.0,50.0,21.0
176.0,3.682244396,5.760729391054829E-7,176.0,57.95454545454546,-0.9925558312655054,176.0,616360.0,50.0,21.0
177.0,3.697113813,5.784439088760937E-7,177.0,58.19209039548022,-0.7538461538461887,177.0,616360.0,50.0,21.0
178.0,3.712197161,5.808489905378429E-7,178.0,58.42696629213483,-0.5189255189255056,178.0,616360.0,50.0,21.0
179.0,3.727830894,5.833418326139512E-7,179.0,58.659217877094974,-0.2877044215626884,179.0,616360.0,50.0,21.0
180.0,3.7419369,5.855910743838238E-7,180.0,58.88888888888889,-0.06009615384614222,180.0,616360.0,50.0,21.0
181.0,3.755809755,5.878031395802648E-7,181.0,59.11602209944752,0.16398330351821527,181.0,616360.0,50.0,21.0
