learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.190305309,4.638098903238153E-8,1.0,100.0,?,1.0,942088.0,100.0,0.0
2.0,0.402748477,1.0530692370990291E-7,2.0,100.0,?,2.0,1072176.0,100.0,0.0
3.0,0.516063248,1.3789797159426326E-7,3.0,100.0,?,3.0,1111768.0,100.0,0.0
4.0,0.623451395,1.695700901909586E-7,4.0,100.0,?,4.0,1140048.0,100.0,0.0
5.0,0.723261459,2.003279878891756E-7,5.0,80.0,0.0,5.0,1191200.0,100.0,99.0
6.0,0.838319186,2.3581324575470552E-7,6.0,66.66666666666666,-20.000000000000057,6.0,1192160.0,100.0,0.0
7.0,0.923669308,2.6213630259750617E-7,7.0,71.42857142857143,-16.666666666666636,7.0,1192160.0,100.0,0.0
8.0,0.982498927,2.802801009740018E-7,8.0,75.0,-14.285714285714285,8.0,1192160.0,100.0,0.0
9.0,1.036019913,2.967866498077661E-7,9.0,77.77777777777779,-12.5,9.0,1192160.0,100.0,0.0
10.0,1.089343729,3.1323238892039493E-7,10.0,80.0,-11.111111111111125,10.0,1192160.0,100.0,0.0
11.0,1.142262094,3.295530818178588E-7,11.0,81.81818181818183,-9.999999999999892,11.0,1192160.0,100.0,0.0
12.0,1.19333316,3.45304044345369E-7,12.0,83.33333333333334,-9.090909090908978,12.0,1192160.0,100.0,0.0
13.0,1.244228059,3.6100067474251827E-7,13.0,84.61538461538461,-8.333333333333464,13.0,1192160.0,100.0,0.0
14.0,1.29469195,3.7656437682254456E-7,14.0,85.71428571428571,-7.692307692307699,14.0,1192160.0,100.0,0.0
15.0,1.343355186,3.915727341320118E-7,15.0,86.66666666666667,-7.142857142857194,15.0,1192160.0,100.0,0.0
16.0,1.393103421,4.0691571885245547E-7,16.0,87.5,-6.666666666666667,16.0,1192160.0,100.0,0.0
17.0,1.449392421,4.242759582042446E-7,17.0,88.23529411764706,-6.2500000000000995,17.0,1192160.0,100.0,0.0
18.0,1.520559193,4.4622469056428313E-7,18.0,88.88888888888889,-5.882352941176496,18.0,1192160.0,100.0,0.0
19.0,1.564104116,4.5983068163211363E-7,19.0,84.21052631578947,-7.547169811320756,19.0,1207800.0,100.0,99.0
