learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
1.0,0.058381003,6.318215299141075E-9,1.0,100.0,?,1.0,418336.0,50.0,0.0
2.0,0.171444428,2.0870470772240724E-8,2.0,100.0,?,2.0,497520.0,50.0,0.0
3.0,0.223728835,2.8058951793962883E-8,3.0,100.0,?,3.0,531456.0,50.0,0.0
4.0,0.299426311,3.8798734147676995E-8,4.0,100.0,?,4.0,548424.0,50.0,0.0
5.0,0.338267571,4.476346270271888E-8,5.0,80.0,0.0,5.0,593608.0,50.0,0.0
6.0,0.378194229,5.089487237068514E-8,6.0,83.33333333333334,0.0,6.0,593608.0,50.0,0.0
7.0,0.419966659,5.7447536585740743E-8,7.0,85.71428571428571,0.0,7.0,606360.0,50.0,0.0
8.0,0.457179344,6.328493291019772E-8,8.0,87.5,0.0,8.0,606360.0,50.0,0.0
9.0,0.492796741,6.887208316110074E-8,9.0,88.88888888888889,0.0,9.0,606360.0,50.0,0.0
10.0,0.527195128,7.426801247501744E-8,10.0,90.0,0.0,10.0,606360.0,50.0,0.0
11.0,0.559363943,7.93181928758944E-8,11.0,90.9090909090909,0.0,11.0,606840.0,50.0,0.0
12.0,0.586033055,8.35049752218152E-8,12.0,91.66666666666666,0.0,12.0,606840.0,50.0,0.0
13.0,0.611674225,8.753038101278245E-8,13.0,92.3076923076923,0.0,13.0,606840.0,50.0,0.0
14.0,0.637502843,9.158521425439665E-8,14.0,92.85714285714286,0.0,14.0,606840.0,50.0,0.0
15.0,0.663489625,9.566487765319645E-8,15.0,93.33333333333333,0.0,15.0,606840.0,50.0,0.0
16.0,0.689762727,9.978949041218807E-8,16.0,93.75,0.0,16.0,606840.0,50.0,0.0
17.0,0.715538488,1.0383602563643827E-7,17.0,94.11764705882352,0.0,17.0,606840.0,50.0,0.0
18.0,0.741498604,1.0791150274144485E-7,18.0,94.44444444444444,0.0,18.0,606840.0,50.0,0.0
19.0,0.76608708,1.118278779003376E-7,19.0,89.47368421052632,0.0,19.0,615680.0,50.0,0.0
20.0,0.791007201,1.157970764322434E-7,20.0,90.0,0.0,20.0,615680.0,50.0,0.0
21.0,0.816545675,1.1986925692469502E-7,21.0,85.71428571428571,0.0,21.0,616360.0,50.0,0.0
22.0,0.843073648,1.240992157763822E-7,22.0,81.81818181818183,0.0,22.0,616360.0,50.0,0.0
23.0,0.868425496,1.2814163823565674E-7,23.0,78.26086956521739,0.0,23.0,616360.0,50.0,0.0
24.0,0.893356219,1.3211691114598469E-7,24.0,75.0,-7.462686567164202,24.0,616360.0,50.0,0.0
25.0,0.917625559,1.3598672470307802E-7,25.0,72.0,-12.903225806451676,25.0,616360.0,50.0,0.0
26.0,0.941460566,1.397872826590016E-7,26.0,69.23076923076923,-13.043478260869593,26.0,616360.0,50.0,0.0
27.0,0.965217108,1.4357532915310723E-7,27.0,70.37037037037037,-12.50000000000003,27.0,616360.0,50.0,0.0
28.0,0.988524888,1.4729181930198434E-7,28.0,67.85714285714286,-12.499999999999995,28.0,616360.0,50.0,0.0
29.0,1.011109158,1.508929437752109E-7,29.0,65.51724137931035,-16.935483870967712,29.0,616360.0,50.0,0.0
30.0,1.032588255,1.543178453491607E-7,30.0,63.33333333333333,-20.43795620437959,30.0,616360.0,50.0,0.0
31.0,1.053571308,1.5766365133187834E-7,31.0,64.51612903225806,-19.649122807017545,31.0,616360.0,50.0,0.0
32.0,1.073214584,1.6079582615700858E-7,32.0,65.625,-18.91891891891892,32.0,616360.0,50.0,0.0
33.0,1.092671569,1.638982963656406E-7,33.0,63.63636363636363,-19.27710843373497,33.0,616360.0,50.0,0.0
34.0,1.111913464,1.6696646987737049E-7,34.0,64.70588235294117,-18.60465116279064,34.0,616360.0,50.0,0.0
35.0,1.131791928,1.7013614608123065E-7,35.0,65.71428571428571,-17.977528089887624,35.0,616360.0,50.0,0.0
36.0,1.153604443,1.736142120797828E-7,36.0,63.888888888888886,-18.181818181818187,36.0,616360.0,50.0,0.0
37.0,1.195796363,1.8034183071365576E-7,37.0,62.16216216216216,-21.028037383177583,37.0,616360.0,50.0,0.0
38.0,1.213106402,1.8310196442952995E-7,38.0,63.1578947368421,-20.361990950226268,38.0,616360.0,50.0,0.0
39.0,1.230535943,1.8588115307065964E-7,39.0,61.53846153846154,-20.618556701030947,39.0,616360.0,50.0,0.0
40.0,1.248129825,1.886865463399245E-7,40.0,60.0,-23.07692307692306,40.0,616360.0,50.0,0.0
41.0,1.264912198,1.9136254224898496E-7,41.0,58.536585365853654,-23.36283185840708,41.0,616360.0,50.0,0.0
42.0,1.281044279,1.9393484729551396E-7,42.0,57.14285714285714,-25.581395348837216,42.0,616360.0,50.0,0.0
43.0,1.298267615,1.9668115597762784E-7,43.0,55.81395348837209,-25.885978428351336,43.0,616360.0,50.0,0.0
44.0,1.320162244,2.0017231528116592E-7,44.0,54.54545454545454,-27.906976744186046,44.0,616360.0,50.0,0.0
45.0,1.335308374,2.0258740770689726E-7,45.0,55.55555555555556,-27.118644067796605,45.0,616360.0,50.0,0.0
46.0,1.351021572,2.050929206975963E-7,46.0,56.52173913043478,-26.37362637362636,46.0,616360.0,50.0,0.0
47.0,1.36788245,2.0778143444658564E-7,47.0,57.446808510638306,-25.66844919786091,47.0,616360.0,50.0,0.0
48.0,1.383764859,2.1031392860042342E-7,48.0,56.25,-25.99999999999996,48.0,616360.0,50.0,0.0
49.0,1.399879466,2.1288344736920045E-7,49.0,55.10204081632652,-27.72511848341234,49.0,616360.0,50.0,0.0
50.0,1.414912682,2.1528053534454353E-7,50.0,56.00000000000001,-27.020785219399507,50.0,616360.0,50.0,0.0
51.0,1.43008333,2.1769953723335844E-7,51.0,56.86274509803921,-26.351351351351365,51.0,616360.0,50.0,0.0
52.0,1.445134897,2.200995513265352E-7,52.0,57.692307692307686,-25.71428571428572,52.0,616360.0,50.0,0.0
53.0,1.460433263,2.2253891820458694E-7,53.0,56.60377358490566,-26.05997931747671,53.0,616360.0,50.0,0.0
54.0,1.475642659,2.249640985694424E-7,54.0,55.55555555555556,-27.559055118110226,54.0,616360.0,50.0,0.0
55.0,1.492395191,2.2763533624830966E-7,55.0,56.36363636363636,-26.923076923076955,55.0,616360.0,50.0,0.0
56.0,1.507496439,2.3004327211469204E-7,56.0,57.14285714285714,-26.315789473684216,56.0,616360.0,50.0,0.0
57.0,1.522596186,2.3245096864246246E-7,57.0,56.14035087719298,-26.666666666666668,57.0,616360.0,50.0,0.0
58.0,1.537831022,2.3488020548585802E-7,58.0,56.896551724137936,-26.08695652173911,58.0,616360.0,50.0,0.0
59.0,1.552738109,2.3725718184242026E-7,59.0,57.6271186440678,-25.531914893617024,59.0,616360.0,50.0,0.0
60.0,1.568332562,2.3974376061361283E-7,60.0,58.333333333333336,-24.999999999999975,60.0,616360.0,50.0,0.0
61.0,1.584023636,2.422457458711664E-7,61.0,57.377049180327866,-25.276461295418677,61.0,616360.0,50.0,0.0
62.0,1.599565789,2.447239852623414E-7,62.0,58.06451612903226,-18.355359765051404,62.0,616360.0,50.0,0.0
63.0,1.615497877,2.472644008704792E-7,63.0,57.14285714285714,-19.873150105708273,63.0,616360.0,50.0,0.0
64.0,1.631692122,2.498466181391767E-7,64.0,56.25,-21.24492557510149,64.0,616360.0,50.0,0.0
65.0,1.64767149,2.523945726744127E-7,65.0,56.92307692307692,-20.689655172413808,65.0,616360.0,50.0,0.0
66.0,1.662692406,2.547896993806503E-7,66.0,57.57575757575758,-20.15604681404419,66.0,616360.0,50.0,0.0
67.0,1.677827572,2.572030435661806E-7,67.0,58.2089552238806,-19.64285714285713,67.0,616360.0,50.0,0.0
68.0,1.692988611,2.5962051327330164E-7,68.0,58.82352941176471,-19.148936170212803,68.0,616360.0,50.0,0.0
69.0,1.708463378,2.6208800777992857E-7,69.0,59.42028985507246,-18.673218673218685,69.0,616360.0,50.0,0.0
70.0,1.723575153,2.6449762220565025E-7,70.0,60.0,-18.214716525934847,70.0,616360.0,50.0,0.0
71.0,1.738632578,2.668985703731701E-7,71.0,59.154929577464785,-18.811309867282176,71.0,616360.0,50.0,0.0
72.0,1.754191351,2.6937945986942907E-7,72.0,58.333333333333336,-20.000000000000032,72.0,616360.0,50.0,0.0
73.0,1.769419313,2.718076006344644E-7,73.0,58.9041095890411,-19.541484716157168,73.0,616360.0,50.0,0.0
74.0,1.784592116,2.742269461440047E-7,74.0,58.108108108108105,-20.104712041884813,74.0,616360.0,50.0,0.0
75.0,1.799752316,2.7664428207024936E-7,75.0,58.666666666666664,-19.66031909418426,75.0,616360.0,50.0,0.0
76.0,1.814666745,2.790224291290695E-7,76.0,59.210526315789465,-19.23076923076922,76.0,616360.0,50.0,0.0
77.0,1.831795592,2.8175367127813404E-7,77.0,59.74025974025974,-18.81533101045301,77.0,616360.0,50.0,0.0
78.0,1.846537732,2.841043463781808E-7,78.0,58.97435897435898,-19.311663479923546,78.0,616360.0,50.0,0.0
79.0,1.862647976,2.8667316945451006E-7,79.0,59.49367088607595,-14.182475158084953,79.0,616360.0,50.0,0.0
80.0,1.877436323,2.8903121238882967E-7,80.0,60.0,-9.58904109589042,80.0,616360.0,50.0,0.0
81.0,1.892134548,2.9137488512035876E-7,81.0,59.25925925925925,-10.866860223973458,81.0,616360.0,50.0,0.0
82.0,1.909125396,2.9408412294622926E-7,82.0,58.536585365853654,-11.609287429943988,82.0,616360.0,50.0,0.0
83.0,1.925542013,2.9670179804692045E-7,83.0,57.831325301204814,-12.815533980582504,83.0,616360.0,50.0,0.0
84.0,1.940613989,2.9910506641173735E-7,84.0,58.333333333333336,-12.385321100917396,84.0,616360.0,50.0,0.0
85.0,1.955598947,3.014944595151705E-7,85.0,58.82352941176471,-11.968385397064313,85.0,616360.0,50.0,0.0
86.0,1.970389327,3.038528266169772E-7,86.0,59.30232558139535,-11.564121571534445,86.0,616360.0,50.0,0.0
87.0,1.9851988,3.0621423815057504E-7,87.0,58.620689655172406,-12.258064516129027,87.0,616360.0,50.0,0.0
88.0,2.00186324,3.0887142931578053E-7,88.0,57.95454545454546,-13.370473537604441,88.0,616360.0,50.0,0.0
89.0,2.016812171,3.1125507781416794E-7,89.0,58.42696629213483,-12.96740994854202,89.0,616360.0,50.0,0.0
90.0,2.031846788,3.136523891828457E-7,90.0,57.77777777777777,-13.621262458471787,90.0,616360.0,50.0,0.0
91.0,2.046558361,3.159981902899862E-7,91.0,57.14285714285714,-14.668820678513713,91.0,616360.0,50.0,0.0
92.0,2.061594118,3.1839568343482495E-7,92.0,56.52173913043478,-15.288220551378476,92.0,616360.0,50.0,0.0
93.0,2.079818545,3.2130161885271674E-7,93.0,55.91397849462365,-16.285452881976244,93.0,616360.0,50.0,0.0
94.0,2.095023706,3.237261239350794E-7,94.0,56.38297872340425,-15.874924834636229,94.0,616360.0,50.0,0.0
95.0,2.110029093,3.2611877449920814E-7,95.0,56.84210526315789,-15.475837533353118,95.0,616360.0,50.0,0.0
96.0,2.12495603,3.284989159933105E-7,96.0,56.25,-16.06217616580311,96.0,616360.0,50.0,0.0
97.0,2.141412006,3.3112286699568647E-7,97.0,56.70103092783505,-12.603648424543982,97.0,616360.0,50.0,0.0
98.0,2.158125923,3.3378794740573195E-7,98.0,57.14285714285714,-9.409888357256783,98.0,616360.0,50.0,0.0
99.0,2.173311355,3.3620930664433996E-7,99.0,56.56565656565656,-10.428015564202333,99.0,616360.0,50.0,0.0
100.0,2.188010189,3.385530764826077E-7,100.0,56.99999999999999,-10.030706243602868,100.0,616360.0,50.0,0.0
101.0,2.203068709,3.4095419925091374E-7,101.0,56.43564356435643,-10.712506228201295,101.0,616360.0,50.0,0.0
102.0,2.21826423,3.4337716720854654E-7,102.0,55.88235294117647,-11.678832116788342,102.0,616360.0,50.0,0.0
103.0,2.233389743,3.45788972196461E-7,103.0,56.310679611650485,-11.284513805522188,103.0,616360.0,50.0,0.0
104.0,2.24880572,3.482470924745748E-7,104.0,56.730769230769226,-10.900473933649266,104.0,616360.0,50.0,0.0
105.0,2.263838222,3.506440666006381E-7,105.0,56.19047619047619,-11.547344110854507,105.0,616360.0,50.0,0.0
106.0,2.278870237,3.5304096307320105E-7,106.0,56.60377358490566,-8.74219446922393,106.0,616360.0,50.0,0.0
107.0,2.293640393,3.553961054021306E-7,107.0,56.074766355140184,-9.683751363140674,107.0,616360.0,50.0,0.0
108.0,2.308666847,3.5779211515782397E-7,108.0,56.481481481481474,-9.302325581395362,108.0,616360.0,50.0,0.0
109.0,2.3237207,3.6019249376003937E-7,109.0,55.96330275229357,-9.962168978562461,109.0,616360.0,50.0,0.0
110.0,2.33864724,3.625725719513909E-7,110.0,56.36363636363636,-7.404393816110688,110.0,616360.0,50.0,0.0
111.0,2.353499647,3.649408294303363E-7,111.0,55.85585585585585,-8.325034853614808,111.0,616360.0,50.0,0.0
112.0,2.368525683,3.6733677253477065E-7,112.0,55.35714285714286,-8.991825613079037,112.0,616360.0,50.0,0.0
113.0,2.383588609,3.6973859785199367E-7,113.0,55.75221238938053,-6.64401661004152,113.0,616360.0,50.0,0.0
114.0,2.398872301,3.721756249200573E-7,114.0,55.26315789473685,-7.547169811320735,114.0,616360.0,50.0,0.0
115.0,2.413955654,3.7458070737907036E-7,115.0,54.78260869565217,-8.21570756424179,115.0,616360.0,50.0,0.0
116.0,2.428731499,3.769367568348244E-7,116.0,55.172413793103445,-6.047819971870601,116.0,616360.0,50.0,0.0
117.0,2.443610428,3.793092433202101E-7,117.0,54.700854700854705,-6.932229694774941,117.0,616360.0,50.0,0.0
118.0,2.458459747,3.8167700840899305E-7,118.0,55.08474576271186,-6.541737649063021,118.0,616360.0,50.0,0.0
119.0,2.473316825,3.840460106918402E-7,119.0,54.621848739495796,-7.2072072072072375,119.0,616360.0,50.0,0.0
120.0,2.488249664,3.8642709327620764E-7,120.0,54.166666666666664,-8.055009823182715,120.0,616360.0,50.0,0.0
121.0,2.50355441,3.8886747746294985E-7,121.0,54.54545454545454,-7.668662028797939,121.0,616360.0,50.0,0.0
122.0,2.518987366,3.913283050896931E-7,122.0,54.91803278688525,-7.2913335465302085,122.0,616360.0,50.0,0.0
123.0,2.534379688,3.937826535124663E-7,123.0,54.47154471544715,-7.9285490441868,123.0,616360.0,50.0,0.0
124.0,2.5493031,3.961622329355445E-7,124.0,54.03225806451613,-8.738461538461541,124.0,616360.0,50.0,0.0
125.0,2.564329686,3.985582637390039E-7,125.0,53.6,-9.35143288084463,125.0,616360.0,50.0,0.0
126.0,2.579135504,4.0091909247271713E-7,126.0,53.17460317460318,-10.133333333333326,126.0,616360.0,50.0,0.0
127.0,2.594058558,4.032986148117027E-7,127.0,53.54330708661418,-9.755383037937573,127.0,616360.0,50.0,0.0
128.0,2.609148325,4.057047200008005E-7,128.0,53.90625,-9.385863267670915,128.0,616360.0,50.0,0.0
129.0,2.631143639,4.0921193380676825E-7,129.0,53.48837209302325,-9.97442455242967,129.0,616360.0,50.0,0.0
130.0,2.647190375,4.117706303564024E-7,130.0,53.07692307692308,-10.72326165875453,130.0,616360.0,50.0,0.0
131.0,2.66293241,4.1428074148671076E-7,131.0,53.43511450381679,-10.357685402568704,131.0,616360.0,50.0,0.0
132.0,2.677653067,4.1662799106283937E-7,132.0,53.78787878787878,-10.000000000000016,132.0,616360.0,50.0,0.0
133.0,2.69251764,4.1899818844421867E-7,133.0,54.13533834586466,-9.649952696310319,133.0,616360.0,50.0,0.0
134.0,2.708710757,4.215802258501885E-7,134.0,53.73134328358209,-10.21491111700717,134.0,616360.0,50.0,0.0
135.0,2.723454709,4.239311898786595E-7,135.0,54.074074074074076,-8.335490551384947,135.0,616360.0,50.0,0.0
136.0,2.738210834,4.2628409492573385E-7,136.0,53.67647058823529,-9.063136456211813,136.0,616360.0,50.0,0.0
137.0,2.753358774,4.2869947596098394E-7,137.0,54.01459854014598,-8.716463030608388,137.0,616360.0,50.0,0.0
138.0,2.769493704,4.3127223528846266E-7,138.0,54.347826086956516,-8.376963350785351,138.0,616360.0,50.0,0.0
139.0,2.784584785,4.3367854999850397E-7,139.0,54.67625899280576,-8.044417026526828,139.0,616360.0,50.0,0.0
140.0,2.799308735,4.360263246526134E-7,140.0,55.00000000000001,-7.71861260381044,140.0,616360.0,50.0,0.0
141.0,2.81539242,4.385909128227498E-7,141.0,55.319148936170215,-7.399347116430893,141.0,616360.0,50.0,0.0
142.0,2.831125223,4.4109955188505966E-7,142.0,55.633802816901415,-7.0864256643523955,142.0,616360.0,50.0,0.0
143.0,2.846710318,4.4358463849720436E-7,143.0,55.94405594405595,-6.7796610169491665,143.0,616360.0,50.0,0.0
144.0,2.861656479,4.4596784531141106E-7,144.0,55.55555555555556,-7.3375262054507,144.0,616360.0,50.0,0.0
145.0,2.876466327,4.483293166397987E-7,145.0,55.172413793103445,-8.022922636103159,145.0,616360.0,50.0,0.0
146.0,2.89154069,4.507329656183843E-7,146.0,54.794520547945204,-8.562415502478602,146.0,616360.0,50.0,0.0
147.0,2.906652053,4.531425143495636E-7,147.0,54.421768707483,-9.227015637129849,147.0,616360.0,50.0,0.0
148.0,2.921496724,4.555095383018586E-7,148.0,54.729729729729726,-8.919156414762737,148.0,616360.0,50.0,0.0
149.0,2.936788581,4.5794786730181217E-7,149.0,55.033557046979865,-8.617125448808604,149.0,616360.0,50.0,0.0
150.0,2.952255041,4.604140372342554E-7,150.0,55.333333333333336,-8.320758784220756,150.0,616360.0,50.0,0.0
151.0,2.967104303,4.627817932342303E-7,151.0,55.62913907284768,-8.029898558462376,151.0,616360.0,50.0,0.0
152.0,2.982048599,4.6516470266901577E-7,152.0,55.92105263157895,-7.744392721117192,152.0,616360.0,50.0,0.0
153.0,2.99671383,4.67503114415759E-7,153.0,55.55555555555556,-8.262226847034338,153.0,616360.0,50.0,0.0
154.0,3.011588393,4.698749047303386E-7,154.0,55.1948051948052,-8.895265423242453,154.0,616360.0,50.0,0.0
155.0,3.027042573,4.723391165827318E-7,155.0,55.483870967741936,-8.611759926881293,155.0,616360.0,50.0,0.0
156.0,3.042468508,4.747988246915572E-7,156.0,55.769230769230774,-8.333333333333307,156.0,616360.0,50.0,0.0
157.0,3.058228727,4.773118353110862E-7,157.0,55.4140127388535,-8.833432362844098,157.0,616360.0,50.0,0.0
158.0,3.07430436,4.798751395674961E-7,158.0,55.06329113924051,-9.443902439024377,158.0,616360.0,50.0,0.0
159.0,3.090238422,4.824158699354074E-7,159.0,55.34591194968554,-9.167391935015951,159.0,616360.0,50.0,0.0
160.0,3.105292724,4.848163201319178E-7,160.0,55.625,-8.895705521472365,160.0,616360.0,50.0,0.0
